,dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
0,bitbrains_fast_storage/5T/long,PatchTST-ABR,3397745.6317900694,3397745.6317900694,355.24326675667226,3.1199411656193337,4.935612640424273,0.9548650049304116,124.79764660891276,1843.2974886843604,4.871284867726264,0.9388018810509786,0.9388018513548252,Web/CloudOps,2
1,bitbrains_fast_storage/5T/medium,PatchTST-ABR,2914577.971847352,2914577.971847352,301.327924926842,2.499896937674537,5.152883973839678,0.9004769293945133,99.99587745149805,1707.213510914013,5.186986141888095,0.91551745623348,0.915517464671292,Web/CloudOps,2
2,bitbrains_fast_storage/5T/short,PatchTST-ABR,1783225.5691752804,1783225.5691752804,206.1108540358453,1.7354151938709788,3.561605664585996,0.8083456659770313,69.41660774204061,1335.3746924272905,4.192746266335004,0.6471371058703528,0.6471371038606583,Web/CloudOps,2
3,bitbrains_fast_storage/H/short,PatchTST-ABR,3658746.6040151143,3658746.6040151143,398.0246143720707,1.6667900940607918,6.001368536320837,0.6709613150750477,66.67160378184646,1912.785038632181,5.452058822352528,1.134499468822958,1.1344994671361617,Web/CloudOps,2
4,bitbrains_rnd/5T/long,PatchTST-ABR,2320008.5813763984,2320008.5813763984,237.36469581792383,7.227747865168524,3.3935071986131966,0.9398173124113182,289.1099143989209,1523.1574381449866,5.834873173628744,0.909290701873404,0.9092906943191318,Web/CloudOps,2
5,bitbrains_rnd/5T/medium,PatchTST-ABR,2331364.425876607,2331364.425876607,193.26232642286453,7.535202603324938,2.760002055662795,0.9083355081438732,301.40810388172514,1526.8806193925598,6.424365047904874,0.813153117001233,0.8131531105407972,Web/CloudOps,2
6,bitbrains_rnd/5T/short,PatchTST-ABR,1346566.5586940842,1346566.5586940842,144.6520820250736,2.97583614352918,2.1971370138095936,0.7560472150361403,119.03344561732082,1160.4165453379594,4.748089517864712,0.591874561906155,0.5918745598701982,Web/CloudOps,2
7,bitbrains_rnd/H/short,PatchTST-ABR,2757180.4618728952,2757180.4618728952,269.1014289672222,6.211783274834109,5.556389765790381,0.7047957050480718,248.4713295212951,1660.47597449433,7.267055325299982,1.1777195228721236,1.177719524006246,Web/CloudOps,2
8,bizitobs_application/10S/long,PatchTST-ABR,131258686.57777776,131258686.57777776,6468.572777777777,19.193248186181098,0.289278801812066,0.2941057671440972,767.7299276088031,11456.818344452258,0.4418436893338363,0.2494669964145615,0.2494669969712383,Web/CloudOps,2
9,bizitobs_application/10S/medium,PatchTST-ABR,762867165.8666667,762867165.8666667,10626.323333333334,21.337225208946386,0.3062075042724609,0.3408819325764974,853.4890080531567,27620.0500699522,1.0845580755824955,0.4172644421617195,0.417264436985035,Web/CloudOps,2
10,bizitobs_application/10S/short,PatchTST-ABR,12373328.782222224,12373328.782222224,1439.278611111111,9.07971063633745,0.137206802368164,0.1213359154595269,363.1884258639128,3517.5742752957217,0.135658779651949,0.0555072230695315,0.0555072166934536,Web/CloudOps,2
11,bizitobs_l2c/5T/long,PatchTST-ABR,319.18968253968256,319.18968253968256,12.502907986111111,1.2427096671051696,0.9073294128654456,1.2544617280505952,49.708386674574925,17.865880402031202,1.0031424750348708,0.7020195915391222,0.7020196736406826,Web/CloudOps,7
12,bizitobs_l2c/5T/medium,PatchTST-ABR,162.26441326530613,162.26441326530613,8.728354857568027,0.8738795342155337,0.5769271425582614,0.90876082855017,34.95518136868068,12.738304960445332,0.6702221658063396,0.459239821524968,0.4592398484836421,Web/CloudOps,7
13,bizitobs_l2c/5T/short,PatchTST-ABR,12.15140904017857,12.15140904017857,2.163696434384301,0.2252990754011861,0.113061638669457,0.1832299187069847,9.011963015371505,3.485887123843595,0.1197194736390311,0.0743100935389781,0.0743100931516741,Web/CloudOps,7
14,bizitobs_l2c/H/long,PatchTST-ABR,98.40706225198412,98.40706225198412,6.699615575396826,0.7108681088874542,1.0477724675393263,0.8040983654203869,28.43472434314722,9.920033379580138,0.605944269804216,0.4092318556265384,0.4092318737002665,Web/CloudOps,7
15,bizitobs_l2c/H/medium,PatchTST-ABR,77.12101469494047,77.12101469494047,5.704685174851191,0.5890783986373247,0.6844437318422228,0.7896680559430803,23.563135951680625,8.781857132460107,0.5317547882454536,0.3454273522564339,0.3454273462622737,Web/CloudOps,7
16,bizitobs_l2c/H/short,PatchTST-ABR,70.30321490575396,70.30321490575396,5.434285966176836,0.547065186575393,0.6209514078190572,0.6510261656746031,21.88260744349641,8.38470124129381,0.4519569177004273,0.2929219616174404,0.292921969025707,Web/CloudOps,7
17,bizitobs_service/10S/long,PatchTST-ABR,128506.81227513228,128506.81227513228,79.75391534391534,3.235743918773195,0.7720964058366402,0.2009365570229828,129.42975670223788,358.4784683563746,0.2655723096269774,0.0590842501553591,0.0590842510775564,Web/CloudOps,2
18,bizitobs_service/10S/medium,PatchTST-ABR,124221.7853968254,124221.7853968254,99.79943452380952,3.709224336564088,0.4713249085441468,0.1715339200458829,148.36897344806303,352.4511106477399,0.2652629797331951,0.0751113972341326,0.0751113951227537,Web/CloudOps,2
19,bizitobs_service/10S/short,PatchTST-ABR,22634.07736772487,22634.07736772487,46.67882585152116,1.977259611774293,0.2108234603316695,0.1218242681594122,79.09038448687342,150.4462607302849,0.1114554028716347,0.0345811674919806,0.0345811657693869,Web/CloudOps,2
