dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
m4_yearly/A/short,CHARM,12794364.830271902,12794364.830271902,2131.5180438348784,8.704099180486502,0.3331248528107567,0.3884020225837287,115.24649893592698,3576.921138391494,0.5735758832988131,0.34179879775312416,0.24657569715512262,Econ/Fin,1
m4_quarterly/Q/short,CHARM,2356744.500208333,2356744.500208333,729.4636612548828,1.7136344197840505,0.1407096984187762,0.13232671548922856,14.983980801287053,1535.1692089826233,0.2569602926643999,0.12209937170920751,0.08977010206958924,Econ/Fin,1
m4_monthly/M/short,CHARM,1960873.505564815,1960873.505564815,599.8648057816117,1.0306307561438435,0.1751458052440926,0.14149766650685558,8.206341934152542,1400.311931522693,0.29103289072470523,0.12467249942003879,0.09201563863810928,Econ/Fin,1
m4_weekly/W/short,CHARM,315071.8011570602,315071.8011570602,282.4271681487037,2.2419375267964154,0.07286739737619188,0.06953436224369158,20.7445141959964,561.3125699261154,0.10226244340531504,0.051453849149916325,0.03824782407429248,Econ/Fin,1
m4_daily/D/short,CHARM,462042.78270641115,462042.78270641115,217.38553270957956,3.961635368574793,0.044809955167739765,0.03501331984660388,30.242503542563988,679.7372894776416,0.1050006252415792,0.03358005689303943,0.02468767715120596,Econ/Fin,1
m4_hourly/H/short,CHARM,580313.314370418,580313.314370418,180.92508695052635,1.0427828458449715,0.10487672480216156,0.09951258166400706,7.953778480529522,761.7829837758376,0.10400020784783505,0.0247002716632999,0.018503949343784812,Econ/Fin,1
electricity/15T/short,CHARM,170826.5898713313,170826.5898713313,59.24979830355257,1.1014573524015774,0.17288951517486156,0.17610525303058797,13.663672702145094,413.31173449507975,0.8147189181043161,0.11679303427167502,0.09164172711057014,Energy,1
electricity/15T/medium,CHARM,300321.8914047368,300321.8914047368,56.69996176449887,0.8565083138008587,0.12593374041809227,0.13372590925886824,7.225755666932197,548.0163240312617,0.9442872969242672,0.09769974229317609,0.07275115449631658,Energy,1
electricity/15T/long,CHARM,346054.2935481888,346054.2935481888,60.82078607709272,0.897760419249403,0.12681785298599177,0.13442787825667465,7.2083219372055956,588.263795884286,0.928058243075048,0.09595224500311257,0.0706900470166978,Energy,1
electricity/H/short,CHARM,2033325.0029434122,2033325.0029434122,194.68131268475506,1.0460949017246661,0.20270792845002214,0.13842605367437139,10.878198371889564,1425.94705474762,0.6731488479266498,0.09190348330975398,0.06928785631520629,Energy,1
electricity/H/medium,CHARM,6125070.690275901,6125070.690275901,251.22254988386825,1.0987057555010415,0.25555344181425943,0.13275356344274572,9.108725370831202,2474.888015704125,0.9660303448277563,0.09806043948367282,0.0726765634430823,Energy,1
electricity/H/long,CHARM,7558739.992396397,7558739.992396397,271.0251054804805,1.1848064160791967,0.28763483786989097,0.14253696494345908,9.67300080430495,2749.316277258111,1.084329570882132,0.10689222580714526,0.07880472460688383,Energy,1
electricity/D/short,CHARM,1624235723.6376216,1624235723.6376216,4592.947986486486,1.4844124826036964,0.5013976728194629,0.099485327368384,12.407140858539412,40301.80794502427,0.6622925785972462,0.07547739221730672,0.0551512639229652,Energy,1
electricity/W/short,CHARM,107543485636.95856,107543485636.95856,39324.81306306306,1.78770942005825,0.2669197729440106,0.11108765156419427,13.569716817902686,327938.2344847251,0.7482468565003183,0.08972624922230638,0.06458286550187377,Energy,1
solar/10T/short,CHARM,24.400108497044176,24.400108497044176,2.1697429573448903,0.953752918076361,5.005675208578994,1.5437832500522735,4.13614015284373,4.939646596371463,1.4369426320199161,0.6311779790530149,0.4256706423482395,Energy,1
solar/10T/medium,CHARM,19.055086462826257,19.055086462826257,1.952551480136965,0.8538247085232854,3.262658931473015,1.4698571373682796,4.257557276714578,4.365213220774703,0.9686581732186169,0.4332789383262054,0.29542348742550245,Energy,1
solar/10T/long,CHARM,20.653542791337184,20.653542791337184,2.0533982375145734,0.8964404075334063,3.0891506569268143,1.4804473010407808,4.430918014522095,4.544616902593351,0.9822462228935002,0.443809171625425,0.300593550853743,Energy,1
solar/H/short,CHARM,782.8803769088552,782.8803769088552,12.206776528462877,0.9436072626117545,3.9226359188897835,1.426377226470115,5.9515399867916505,27.979999587363384,1.0313521079867531,0.4499458502508056,0.3263290299432838,Energy,1
