dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/5T/long,CastStar,3352804.526461761,3352804.526461761,319.1565834057615,0.8167153908960898,3.5634193191305443,0.8085730228309247,14.423814622512515,1831.0664997377241,4.838962136831824,0.8434355732259318,0.6154550422903563,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,CastStar,2985002.868666961,2985002.868666961,246.87355815577615,0.9085762350867324,2.221366959340749,0.7983486452045363,19.868957601415676,1727.7160845077992,5.249278670669629,0.7500700576904213,0.5565229406171525,Web/CloudOps,2
bitbrains_fast_storage/5T/short,CastStar,1626894.4172261998,1626894.4172261998,147.87628411290856,0.6266989184974425,1.842513551297576,0.7073498385757822,12.138099654448684,1275.4977135323293,4.004747369429053,0.46429495993534253,0.35657330135340254,Web/CloudOps,2
bitbrains_fast_storage/H/short,CastStar,2585339.1414201134,2585339.1414201134,280.51172146106984,0.9296859844324383,3.4233862671027646,0.5617329178501658,18.22861969376391,1607.8989835870018,4.583034256410286,0.7995495002507671,0.5776354289995604,Web/CloudOps,2
bitbrains_rnd/5T/long,CastStar,2404527.312450495,2404527.312450495,165.92498874560508,3.246353299529552,1.3054981463190054,0.6771643318842706,114.66429735814803,1550.6538338554144,5.940205479679413,0.6356212494646887,0.5898290410234153,Web/CloudOps,2
bitbrains_rnd/5T/medium,CastStar,2457864.3491282854,2457864.3491282854,156.03838266951425,4.320155189590338,0.9106129076606566,0.6906182661750065,158.04875944236272,1567.7577456763802,6.596356337830896,0.6565330500235333,0.6059712130032443,Web/CloudOps,2
bitbrains_rnd/5T/short,CastStar,1563160.7393218903,1563160.7393218903,112.22432049523385,1.566950519550213,0.8492591312718903,0.631986096602206,50.94570144415739,1250.2642677937695,5.115720447427292,0.45918952164343585,0.3700884283093131,Web/CloudOps,2
bitbrains_rnd/H/short,CastStar,1870097.4914965262,1870097.4914965262,143.8498172499041,5.776670392152601,1.1191285820272117,0.5220700689941552,195.5577005039446,1367.5150790746427,5.984915050605,0.6295571796314634,0.5813506717460268,Web/CloudOps,2
bizitobs_application/10S/long,CastStar,5592887.182222222,5592887.182222222,1445.2133333333334,3.058635121048015,0.044202490912543406,0.0451468743218316,41.34535824869747,2364.9285786725613,0.09120584238971517,0.05573610158388003,0.0495042035046285,Web/CloudOps,2
bizitobs_application/10S/medium,CastStar,3096560.8533333335,3096560.8533333335,980.3822916666667,2.1918917985730877,0.03140872001647949,0.03194992701212565,16.887737022760383,1759.7047631160556,0.06909842692699374,0.0384967271562588,0.03211790180561072,Web/CloudOps,2
