dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/5T/long,CleanTS-65M,5488182.517148061,5488182.517148061,417.7214097307747,0.9766023740693816,5.350978519272389,0.8205310833753562,18.26306155646523,2342.687029278145,6.191022350175815,1.1039129646724686,0.7326658660220792,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,CleanTS-65M,3732160.358360173,3732160.358360173,311.66779368017416,1.1878145329818788,5.392097438028544,0.8106531956909149,22.990637599623486,1931.880006201258,5.869585016674671,0.9469328354209515,0.6663037056398805,Web/CloudOps,2
bitbrains_fast_storage/5T/short,CleanTS-65M,1728140.8981336788,1728140.8981336788,160.21010091409664,0.8210056031312811,2.1954628914194774,0.7351953053431415,15.704410189030739,1314.587729340906,4.1274803599533305,0.5030200953728761,0.39408421209140043,Web/CloudOps,2
bitbrains_fast_storage/H/short,CleanTS-65M,2349041.8300321284,2349041.8300321284,271.34103433090985,1.6635248535212532,3.4192269532863664,0.5932220897962239,12887.523738577462,1532.6584192285404,4.368574369354714,0.7734100912901811,0.901442216509749,Web/CloudOps,2
bitbrains_rnd/5T/long,CleanTS-65M,2212210.4735384285,2212210.4735384285,159.03522338438958,3.3781216704958763,1.1769168586921777,0.7024461351546175,117.64601634111567,1487.350151624838,5.697703374411028,0.6092281148037341,0.5724758116529886,Web/CloudOps,2
bitbrains_rnd/5T/medium,CleanTS-65M,2257006.7955528204,2257006.7955528204,147.9236898690365,4.45054545828052,0.48410432953184873,0.7207701120949027,162.32105483150028,1502.333783003238,6.321084055135416,0.62239036889577,0.585655498281893,Web/CloudOps,2
bitbrains_rnd/5T/short,CleanTS-65M,1729522.6961120467,1729522.6961120467,126.17161989084374,1.922932251274716,1.4504602211670892,0.6651300214191744,52.96299675505438,1315.113187566776,5.381063537009379,0.516257847323543,0.4390736306343669,Web/CloudOps,2
bitbrains_rnd/H/short,CleanTS-65M,1734649.0702123663,1734649.0702123663,151.34637706971725,5.619562557039445,1.4062218881076785,0.5853200599355576,194.99397840816366,1317.060769369571,5.764102379858145,0.6623658015932248,0.5840054322420504,Web/CloudOps,2
bizitobs_application/10S/long,CleanTS-65M,8503036.737537434,8503036.737537434,1727.9619401041666,3.816936660064947,0.056564937167697484,0.05646290461222331,69.70237104523383,2915.996697106743,0.11245834584517234,0.06664059038898695,0.061655565697102385,Web/CloudOps,2
bizitobs_application/10S/medium,CleanTS-65M,11207147.073972829,11207147.073972829,1703.2339238357545,3.5762804943269515,0.055665247837702436,0.05404658357302348,46.98213520274279,3347.707734252324,0.13145463298204493,0.06688098487498421,0.05553268386511726,Web/CloudOps,2
