dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/5T/long,Cobra-Agent,3254065.186789369,3254062.2381867925,329.26487950434336,0.8429638776074092,3.9443089343410853,0.8153915696819287,14.670497014629554,1803.9027653366934,4.767176433979177,0.8701487709162227,0.646434133059247,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,Cobra-Agent,2565541.3797208876,2565538.5474987417,262.6126521865297,0.9288649982919887,3.378301642825443,0.8001711041045937,20.065729692579207,1601.7307450757407,4.866500378903134,0.7978897672405426,0.5891460433742735,Web/CloudOps,2
bitbrains_fast_storage/5T/short,Cobra-Agent,1535594.4964094635,1535590.426814769,148.85738795396597,0.6444503569588691,1.8930183676065362,0.71757825664486,12.540153064569378,1239.1910653363602,3.890753486310931,0.46737538491517877,0.36433548860283416,Web/CloudOps,2
bitbrains_fast_storage/H/short,Cobra-Agent,2717065.351921484,2717064.816725599,305.46105072735145,0.9413551275972444,3.7179524259237295,0.5700805411084489,18.09778187186998,1648.3523142585398,4.698339565383901,0.8706632240581507,0.642263080056698,Web/CloudOps,2
bitbrains_rnd/5T/long,Cobra-Agent,2357754.3321489724,2357750.805587391,173.0152549545923,3.263937837266844,1.525545375803682,0.6872711356517524,114.41853809335853,1535.4980729877104,5.882147219774362,0.6627824670137851,0.6345187345581849,Web/CloudOps,2
bitbrains_rnd/5T/medium,Cobra-Agent,2294347.8625760167,2294340.426515193,161.87942859037477,4.343568436673698,1.1151944536020397,0.7148629481143508,158.47227026373955,1514.7104880392214,6.373159197403143,0.6811092795208784,0.7197563966474493,Web/CloudOps,2
bitbrains_rnd/5T/short,Cobra-Agent,1541020.367641512,1541018.4969871691,115.89879441320147,1.595689417006093,0.95541611878137,0.6394236778761015,51.28107831673851,1241.3784143610328,5.079362129137146,0.47422441082003286,0.3820462952134806,Web/CloudOps,2
bitbrains_rnd/H/short,Cobra-Agent,1854216.7587291116,1854216.7650336528,148.20017036142633,5.780161221016878,1.3024861744911072,0.5362094684464926,197.91035803548095,1361.6962799130765,5.959449236042231,0.6485964638884882,0.6273216236864841,Web/CloudOps,2
bizitobs_application/10S/long,Cobra-Agent,6121629.619905288,6121629.619905288,1504.8000283474391,3.1631638695637188,0.04590038881277624,0.046910152138317264,43.99761479518074,2474.1927208496286,0.09541972903917106,0.05803412553640613,0.051438626244684864,Web/CloudOps,2
bizitobs_application/10S/medium,Cobra-Agent,3344980.109225711,3344980.109225711,1014.1645996077856,2.2335315314377264,0.03192312117680913,0.03253923227506461,19.65536515663172,1828.9286780040688,0.07181664687407742,0.039823259265477175,0.03344778310292521,Web/CloudOps,2
bizitobs_application/10S/short,Cobra-Agent,378272.0240979603,378272.0240979603,328.8968110063341,1.0533232409470974,0.014746161272659515,0.014889146624867773,5.9627171523452205,615.0382297857267,0.023719567493809716,0.01268423608379826,0.009869686181529103,Web/CloudOps,2
