dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/5T/long,EFG-base,5126541.065382116,5126541.065382116,392.54289619211045,0.8703285380800128,5.10306051559786,0.8266004072450777,33.66452687983472,2264.1866233555297,5.983569207289848,1.0373736696291178,0.7042170531538452,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,EFG-base,4477008.5946068745,4477008.5946068745,316.9292512048172,0.9589058089692837,4.951176584956728,0.8077498823684843,22.073776563527144,2115.894277748034,6.428671155803927,0.9629185905353481,0.6962345852780683,Web/CloudOps,2
bitbrains_fast_storage/5T/short,EFG-base,1995832.9657558703,1995832.9657558703,166.41618818635555,0.7546971265664578,2.2445529000015756,0.7447515975758745,16.509974461660526,1412.7395250915401,4.435652713061192,0.5225056732084278,0.4076777384640741,Web/CloudOps,2
bitbrains_fast_storage/H/short,EFG-base,2687041.4444778003,2687041.4444778003,296.0692614013833,1.008609706467526,4.140900387962003,0.576751016769904,22.351747285794552,1639.21976698605,4.672308831675098,0.8438935722308055,0.6640431116065315,Web/CloudOps,2
bitbrains_rnd/5T/long,EFG-base,2576444.7621659655,2576444.7621659655,171.90679026688275,3.2834501103354317,1.353896099108396,0.7068157116144949,128.95908638973754,1605.1307617032219,6.148894333089739,0.6585361851579298,0.6083005686030845,Web/CloudOps,2
bitbrains_rnd/5T/medium,EFG-base,2824969.3207207173,2824969.3207207173,180.585857633462,4.355883064073673,1.5061813269175217,0.7328374792999693,162.24676156624787,1680.7645048372235,7.0718331366010885,0.7598167669167452,0.6783160366409824,Web/CloudOps,2
bitbrains_rnd/5T/short,EFG-base,1910325.75411003,1910325.75411003,134.05949408363622,1.631342773936009,1.2453287258263424,0.6756270800912038,53.86361343682083,1382.1453447847045,5.655339774864417,0.5485327516025353,0.4278819528489623,Web/CloudOps,2
bitbrains_rnd/H/short,EFG-base,1795280.9640033634,1795280.9640033634,155.39626554558484,5.7914201429652525,1.805164727773588,0.5505855175434723,200.13234366804318,1339.8809514294035,5.863974689324455,0.6800900983051728,0.6335196456567801,Web/CloudOps,2
bizitobs_application/10S/long,EFG-base,5565534.435555556,5565534.435555556,1439.6490277777777,3.1349084547019697,0.045313245985243056,0.0462050543891059,37.29480578420466,2359.1384943566914,0.0909825419812805,0.055521508559767195,0.04874669140090761,Web/CloudOps,2
bizitobs_application/10S/medium,EFG-base,3129978.6666666665,3129978.6666666665,986.51625,2.109378971470533,0.030209134419759115,0.03084511121114095,18.15440718743069,1769.1745721286711,0.06947027845560588,0.03873758964669073,0.029836251287954734,Web/CloudOps,2
bizitobs_application/10S/short,EFG-base,453879.0755555556,453879.0755555556,352.65541666666667,0.9369897451516666,0.013825128343370225,0.013927225536770291,9.165218076151561,673.7054813162466,0.025982127536598364,0.01360050981684748,0.010626689591521516,Web/CloudOps,2
bizitobs_l2c/5T/long,EFG-base,186.30797619047618,186.30797619047618,9.456356646825396,0.8768135236335247,0.6800038643825794,1.0549605499751984,5.335378451151664,13.649467981957253,0.76639722119561,0.5309602884406632,0.41638983445660693,Web/CloudOps,7
bizitobs_l2c/5T/medium,EFG-base,125.15863095238095,125.15863095238095,7.145115858843537,0.6794056543507327,0.47020368916734806,0.8086573594281462,4.958690213266375,11.187431830066316,0.5886234325713376,0.3759381676542876,0.2999365541640153,Web/CloudOps,7
bizitobs_l2c/5T/short,EFG-base,28.24441208612351,28.24441208612351,3.2593656267438615,0.32724315523538267,0.1753538669502355,0.22159913608006068,2.6969152567152794,5.314547213650803,0.18252305933660698,0.11193980630406272,0.0892083781736216,Web/CloudOps,7
bizitobs_l2c/H/long,EFG-base,81.38827504960318,81.38827504960318,5.270368303571429,0.5666766973388675,0.6144890668673622,0.7788304889012897,4.838753467242177,9.021545047806566,0.5510620093024687,0.3219293072017908,0.2595340963004266,Web/CloudOps,7
bizitobs_l2c/H/medium,EFG-base,71.94966517857142,71.94966517857142,4.854914783296131,0.49262073665430384,0.48645819753799163,0.7582643781389509,3.4605837010301355,8.482314847880348,0.5136170479355463,0.29397246432067076,0.23186604176893347,Web/CloudOps,7
bizitobs_l2c/H/short,EFG-base,52.74486917162698,52.74486917162698,4.350199381510417,0.42833338236774576,0.37674030697317146,0.5874349200536334,2.683120591893104,7.262566293785343,0.39147096387512437,0.23448691220706766,0.18313053032545198,Web/CloudOps,7
bizitobs_service/10S/long,EFG-base,130228.78201058201,130228.78201058201,75.16877976190476,1.327247095374828,0.09860049373889096,0.08654176096436839,24.904983176767637,360.8722516495027,0.26734571653676403,0.05568743840731465,0.05140062789882552,Web/CloudOps,2
bizitobs_service/10S/medium,EFG-base,8153.110952380953,8153.110952380953,31.185220734126982,1.002500029866255,0.07826733543759301,0.06470117841448103,17.432560338813825,90.29457875410324,0.06795782371273608,0.023470730605698268,0.018167166953795038,Web/CloudOps,2
bizitobs_service/10S/short,EFG-base,1783.9125225281084,1783.9125225281084,17.63665191488922,0.6752381455324662,0.06778010595412481,0.051303576691440804,7.3019378096873675,42.23638860660448,0.03129006691922206,0.013065795558136728,0.01032041523148545,Web/CloudOps,2
car_parts/M/short,EFG-base,1.3689259044619153,1.3689259044619153,0.44790881210167255,0.8270178761515397,0.8701484559040885,1.9162326597099968,14.345455950273802,1.170011070230498,2.8055665261627776,1.074039384736951,0.9468581611920389,Sales,1
covid_deaths/D/short,EFG-base,605236.8105503016,605236.8105503016,141.9159304817219,44.196687161240334,0.12211756429062869,0.4073171304879631,892.5816787370205,777.969671999045,0.29271486132403224,0.053396556968456244,0.042293404380046425,Healthcare,1
electricity/15T/long,EFG-base,341678.99241809594,341678.99241809594,57.98952502890464,0.8626335291957868,0.12272307416470729,0.12988771012452272,7.825769232758619,584.5331405644131,0.9221726953700028,0.09148558548364866,0.07315762624290774,Energy,1
electricity/15T/medium,EFG-base,266445.01794765674,266445.01794765674,52.34203568068496,0.8108850847736782,0.12098575878964146,0.12730555496129903,7.76323295948211,516.1831244312979,0.8894354931490353,0.09019059731827926,0.07243865493452216,Energy,1
electricity/15T/short,EFG-base,135515.93792597624,135515.93792597624,50.50936311943037,0.9879113140385386,0.1600350602997628,0.16491488468942342,13.541203832378969,368.1248944665061,0.7256467442996584,0.09956391283284612,0.08453197768875177,Energy,1
electricity/D/short,EFG-base,1139660951.3983424,1139660951.3983424,4087.864149493243,1.3653329089055193,0.23536445962978797,0.09202802029171506,11.396125325976977,33758.86478242926,0.5547702773244704,0.06717718568129934,0.053287560041625576,Energy,1
electricity/H/long,EFG-base,6223109.275779279,6223109.275779279,253.644807080518,1.1271549839460417,0.28168116983236585,0.1349812391126478,9.939502214604653,2494.6160577891096,0.9838758792304634,0.10003744135270168,0.0790121539171838,Energy,1
electricity/H/medium,EFG-base,5072328.182987401,5072328.182987401,234.5309609655432,1.0376224427143463,0.23361302642228032,0.1257781073961172,9.189554867290033,2252.182981684082,0.8791012322170207,0.09154516238448861,0.07253487585101386,Energy,1
electricity/H/short,EFG-base,2101777.7237995365,2101777.7237995365,185.05598262013615,1.0075165975911002,0.1786370725256574,0.1325317113463943,13.470490809332814,1449.7509178474545,0.6843859657880228,0.08735963939128182,0.0735772576207421,Energy,1
electricity/W/short,EFG-base,46422048524.10811,46422048524.10811,28466.8689893018,1.5458819916362723,0.2467995556526115,0.09910274394997605,12.472338437646428,215457.7650587421,0.49160352324231166,0.06495200155354183,0.0507323885565788,Energy,1
ett1/15T/long,EFG-base,8.316414310515873,8.316414310515873,1.5431121341765872,0.9877045998757737,0.7072389920773773,0.3895314050099206,6.993504021480794,2.8838193963068965,0.5496588282912663,0.2941186985148061,0.22798334658844166,Energy,7
ett1/15T/medium,EFG-base,8.879939856150793,8.879939856150793,1.555095486111111,0.9774851261724249,0.6858030384550389,0.383893074156746,6.727644229885498,2.9799227936560357,0.5679761637240146,0.29640270221305354,0.22733518076583112,Energy,7
ett1/15T/short,EFG-base,4.25193852015904,4.25193852015904,1.0101019723074778,0.6469445943141648,0.43634991989453825,0.2242758660089402,4.666042003489471,2.062022919406824,0.3898081530862128,0.19095131317317582,0.14780430715774462,Energy,7
ett1/D/short,EFG-base,40064.038095238095,40064.038095238095,135.95162450396825,1.6851209746674978,1.3053291441902282,0.48186480809771826,10.842121716126284,200.1600312131223,0.5257269613573321,0.35708145132112923,0.27239195444909026,Energy,7
ett1/H/long,EFG-base,173.2171626984127,173.2171626984127,8.255442915013228,1.5271799736884826,3050579566540.526,0.515602458974041,9.037013077908165,13.161199136036682,0.6302613214464917,0.3953352811519843,0.29959573429438097,Energy,7
ett1/H/medium,EFG-base,151.47916666666666,151.47916666666666,7.587915620349702,1.366012066140845,3082597644479.2524,0.4639856247674851,8.606617905177146,12.307687299678468,0.5895090463847598,0.36344317112421554,0.27585011041508894,Energy,7
ett1/H/short,EFG-base,90.73653273809524,90.73653273809524,4.819833156040737,0.8074530930877977,0.440681030636742,0.25756512142363047,5.999656163932295,9.525572567467808,0.44459744245520777,0.22496133214658495,0.1756509046095645,Energy,7
ett1/W/short,EFG-base,1625121.7142857143,1625121.7142857143,929.5588727678571,1.5950729839580902,0.6428322792053223,0.5382036481584821,8.776301040281751,1274.802617774891,0.507274388281454,0.3698936619521275,0.28087131506380925,Energy,7
ett2/15T/long,EFG-base,11.52257564484127,11.52257564484127,2.140332496279762,0.8859911503845249,0.1345510406484915,0.16334011501736112,7.419888494477564,3.394491956809041,0.18089860889952092,0.114062185471612,0.09186800895176349,Energy,7
ett2/15T/medium,EFG-base,10.94194816468254,10.94194816468254,2.058623511904762,0.8492725535949535,0.12849342655094317,0.15626459030877976,6.755000731666298,3.307861569758103,0.17628191906630256,0.10970776607804686,0.0874939432462757,Energy,7
ett2/15T/short,EFG-base,7.113072858537946,7.113072858537946,1.676523917061942,0.7192777861351491,0.10090928716164878,0.12181118783496675,4.982220786970462,2.6670344689444767,0.12661361759226508,0.07959055669917035,0.06258598814633971,Energy,7
ett2/D/short,EFG-base,114001.54920634921,114001.54920634921,223.2341021825397,1.7818252508005197,0.44716138082837303,0.1769502670045883,15.813259971730673,337.64115449149443,0.19324091913303146,0.12776275200385184,0.10120657957276974,Energy,7
