dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/5T/long,EXAONE-Forecast-Agent,3177511.7907198044,3177511.7907198044,307.1620422138858,0.8165893508828165,4.112746807240175,0.6768785826226078,14.66074738160535,1782.557654248469,4.710767611972478,0.8117375595902071,0.607447290173064,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,EXAONE-Forecast-Agent,2806611.318379256,2806611.318379256,272.20229620199746,0.9147410952854164,3.887964517975404,0.6719401788552786,20.222089265952416,1675.29439752518,5.090007056725789,0.8270257517555543,0.5825135517898654,Web/CloudOps,2
bitbrains_fast_storage/5T/short,EXAONE-Forecast-Agent,1666901.3644217397,1666901.3644217397,146.6571049476101,0.6144031123067197,1.717701282059274,0.5667847685975027,12.24982549100172,1291.0853435856743,4.053688648123737,0.4604670360843332,0.3510103561769142,Web/CloudOps,2
bitbrains_fast_storage/H/short,EXAONE-Forecast-Agent,2831595.9414665964,2831595.9414665964,307.1235605139573,1.01579522379618,3.484257845574485,0.4530203549136362,20.96893020818434,1682.7346616346251,4.796340452572148,0.8754019221308065,0.6273686313965873,Web/CloudOps,2
bitbrains_rnd/5T/long,EXAONE-Forecast-Agent,2304834.881307448,2304834.881307448,158.3173178426322,3.2345343591301243,0.9888402874726514,0.5687774102056241,114.71450549429724,1518.1682651496333,5.815760735630673,0.6064779919430028,0.5763356847387787,Web/CloudOps,2
bitbrains_rnd/5T/medium,EXAONE-Forecast-Agent,2257699.7400086788,2257699.7400086788,142.33442441683613,4.312590144426522,0.36252497651559,0.5917239612578209,159.08633122586414,1502.564387974332,6.3220542324861,0.5988734709239653,0.6148795350065023,Web/CloudOps,2
bitbrains_rnd/5T/short,EXAONE-Forecast-Agent,1574898.1259338392,1574898.1259338392,113.47517697602608,1.5736635922814908,0.9344463111492765,0.4949149598910482,51.280739489506814,1254.949451545296,5.134890897166249,0.4643076680029085,0.3738628492425512,Web/CloudOps,2
bitbrains_rnd/H/short,EXAONE-Forecast-Agent,1932002.031626956,1932002.031626956,177.6346843731352,5.76618735336495,2.210093644569903,0.502779415995272,194.51820618739688,1389.964759131308,6.083165851898172,0.7774162898681699,0.6634427037723596,Web/CloudOps,2
bizitobs_application/10S/long,EXAONE-Forecast-Agent,6296706.844444444,6296706.844444444,1520.12875,3.230862017344616,0.0468719948662651,0.0479183748033311,77.205191510543,2509.3239815624534,0.096774595914258,0.058625289759235,0.0547339024718467,Web/CloudOps,2
bizitobs_application/10S/medium,EXAONE-Forecast-Agent,4336232.106666666,4336232.106666666,1151.5430208333332,2.480241851790498,0.0358266735076904,0.0365795771280924,44.86636805495124,2082.362145897458,0.0817682327114004,0.0452177052345081,0.0406860125948315,Web/CloudOps,2
