dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/5T/long,EXAONE-Forecast,3612081.1319252495,3612081.1319252495,358.2364419491409,0.8583468609808098,4.324376955815493,0.817913346652184,14.848982805974368,1900.547587387711,5.022579773697747,0.9467119473752759,0.666400228699064,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,EXAONE-Forecast,2788507.340686212,2788507.340686212,278.8871608569678,0.9422374881109278,3.995460498308055,0.8029184192765983,20.430096413793724,1669.8824331928915,5.073564014426603,0.8473362167802811,0.6190571114768769,Web/CloudOps,2
bitbrains_fast_storage/5T/short,EXAONE-Forecast,1712745.1702962674,1712745.1702962674,157.69149812684296,0.6620164820420446,1.999565223658965,0.7330963942737486,12.774095654162197,1308.7189042327873,4.109053667157012,0.4951123014742753,0.386292371383251,Web/CloudOps,2
bitbrains_fast_storage/H/short,EXAONE-Forecast,2921696.098741304,2921696.098741304,323.45500237657285,1.0174863337644982,4.030126512351662,0.5757347946937202,18.402017662782526,1709.296960373271,4.872051633222408,0.9219518370047306,0.6733281080648943,Web/CloudOps,2
bitbrains_rnd/5T/long,EXAONE-Forecast,2265509.7142599802,2265509.7142599802,170.868430729931,3.2717464398466327,1.671586010423305,0.7090977927059248,114.72801095212651,1505.1610260234552,5.765932931739956,0.6545584789311997,0.6007109571244893,Web/CloudOps,2
bitbrains_rnd/5T/medium,EXAONE-Forecast,2232233.859454162,2232233.859454162,149.67899995043405,4.3481300468145205,0.6594960844423727,0.7284183467166457,158.93913065034258,1494.0662165560675,6.286298093838583,0.6297758437005453,0.6051565499813613,Web/CloudOps,2
bitbrains_rnd/5T/short,EXAONE-Forecast,1584726.6489996258,1584726.6489996258,119.99851419813078,1.6221342073780283,1.0767345084641344,0.657065573519169,51.56172447701719,1258.8592649695302,5.150888725076368,0.49099928086403605,0.3903919423619454,Web/CloudOps,2
bitbrains_rnd/H/short,EXAONE-Forecast,1821995.5361640172,1821995.5361640172,155.95057940168044,5.806977147478336,1.5839341909551519,0.5539083777393513,194.44528621130732,1349.8131486113243,5.90744275934543,0.6825160371640884,0.6191017470477412,Web/CloudOps,2
bizitobs_application/10S/long,EXAONE-Forecast,5722731.727231843,5722731.727231843,1458.1152525108757,3.113627416855441,0.04492611100420972,0.04588897790308177,55.005643855997796,2392.2231767190624,0.09225848593674234,0.05623367703611304,0.04967612994064204,Web/CloudOps,2
bizitobs_application/10S/medium,EXAONE-Forecast,3315121.874083706,3315121.874083706,1007.7351039911495,2.1697769956285935,0.03103176455182568,0.031660813068653065,17.780776589249264,1820.7476140541023,0.07149540002348571,0.039570791592104394,0.03202529590698454,Web/CloudOps,2
