dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,Falcon,34.79869146671827,34.79869146671827,3.165793782048181,0.5046073830735429,0.08382794328026236,0.06722808952055971,3.8139705395168426,5.899041571875745,0.10115554243974227,0.05428637573978302,0.04289543563594564,Transport,1
loop_seattle/5T/medium,Falcon-2.0,60.59137658023736,60.59137658023736,4.388246188483617,0.7041743514447301,0.13631773185926818,0.10037255585378169,8.544005019427189,7.784046285848856,0.1384941747068546,0.07807591475777867,0.06506148644686013,Transport,1
loop_seattle/5T/long,Falcon-2.0,73.95734434124527,73.95734434124527,4.802549664602683,0.7677627802510621,0.15227183755446624,0.10848003606596147,12.006719287114102,8.599845599849179,0.15204702897155165,0.08491006024619396,0.0730340878939035,Transport,1
loop_seattle/D/short,Falcon-2.0,15.076015866873066,15.076015866873066,2.6270803099200206,0.8033056653400341,0.04869412480247033,0.04835370106101651,6.868063492434749,3.8827845506637457,0.06939055289737296,0.04694943869084615,0.038015975819795544,Transport,1
loop_seattle/H/short,Falcon-2.0,40.64532497555809,40.64532497555809,3.3482676690395685,0.6868969866820331,0.08963196934561242,0.0772387918090323,6.8415756193450035,6.375368614876954,0.11285050768131803,0.05926774264037615,0.0484208833899116,Transport,1
loop_seattle/H/medium,Falcon-2.0,48.26443820949432,48.26443820949432,3.6793952367131064,0.7623743117062425,0.10235719159168602,0.08426667362051729,9.356399539146672,6.947261202048929,0.12279205021902835,0.06503289160178427,0.054512001334198784,Transport,1
loop_seattle/H/long,Falcon-2.0,51.56273219814241,51.56273219814241,3.839823325163399,0.8095582622460344,0.10447665051492087,0.08916455699604403,11.070211168454621,7.180719476357673,0.12832907065900873,0.06862278361317496,0.0581217283868111,Transport,1
m_dense/D/short,Falcon-2.0,8674.094814814815,8674.094814814815,45.55155092592592,0.6853955817612742,0.11651462020478132,0.09952957718460648,10.401116937077054,93.13482063554326,0.16123015096473303,0.07885647260979364,0.06747896231821313,Transport,1
m_dense/H/short,Falcon-2.0,54124.142222222225,54124.142222222225,94.56653645833333,0.8050151004532052,0.28703004334164284,0.22568796793619791,13.134046208015205,232.6459589638776,0.41265595954466555,0.16773747120657367,0.14482291045249038,Transport,1
m_dense/H/medium,Falcon-2.0,46964.386666666665,46964.386666666665,87.09888020833333,0.7270532074005347,0.2562844903284179,0.20666976928710937,12.194340540538349,216.7126822930921,0.37705268845164003,0.1515410477881675,0.13075591175691062,Transport,1
m_dense/H/long,Falcon-2.0,45889.16938271605,45889.16938271605,88.2125,0.7512031268188484,0.25346617856783493,0.20985303337191358,13.33853775378148,214.21757486890763,0.37084228921392354,0.15270887767869748,0.13257494938715797,Transport,1
sz_taxi/15T/short,Falcon-2.0,16.633131164625304,16.633131164625304,2.7266202933622368,0.5442053589310183,1143445482134.7913,0.3939945654118017,3.8949839860331963,4.078373593066886,0.38134537343316016,0.2549506587013649,0.20071765385122864,Transport,1
sz_taxi/15T/medium,Falcon-2.0,16.39965110844017,16.39965110844017,2.7539915948851497,0.5370642470957374,9214619230642.105,0.4033317109458467,9.994368633012147,4.049648269719257,0.3768873662156792,0.25630488616443164,0.22639228108541248,Transport,1
sz_taxi/15T/long,Falcon-2.0,15.524302216880342,15.524302216880342,2.685399973290598,0.5068881624678674,7429975276354.37,0.3960309411725427,11.584713760299929,3.940089112809549,0.3646876297331482,0.24855583797861816,0.22608029047867997,Transport,1
sz_taxi/H/short,Falcon-2.0,6.8082823142027245,6.8082823142027245,1.795709463266226,0.5466106453802798,1.0426271226671007,0.2897816845494458,3.8867593692577254,2.6092685400707083,0.24306946601094293,0.16728141762483761,0.1319079357262729,Transport,1
bitbrains_fast_storage/5T/short,Falcon-2.0,2201486.737455432,2201486.737455432,172.76466763022978,0.6969032169474898,2.0091388434684587,0.7439674069644906,13.216810675455976,1483.7407918687927,4.658579191644683,0.5424383356474909,0.4164219187059169,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,Falcon-2.0,4139307.211098591,4139307.211098591,283.69814437936753,0.9776772771803262,3.112100839480604,0.8079191507889922,27.397760470622327,2034.5287442301205,6.181460596341249,0.8619533666995652,0.7442830286615542,Web/CloudOps,2
bitbrains_fast_storage/5T/long,Falcon-2.0,5147134.577059565,5147134.577059565,341.5196792777566,0.8659361057978853,2.2133547938299802,0.8276890082888793,24.055503707170686,2268.729727636054,5.9955753214964185,0.9025345487126983,0.8226082910956422,Web/CloudOps,2
bitbrains_fast_storage/H/short,Falcon-2.0,2715613.992134283,2715613.992134283,234.92044529556418,1.0602525448788722,1.6753076932930182,0.5816294175711599,20.7684805900993,1647.9120098276737,4.697084403806289,0.6695995618409338,0.5235735799103081,Web/CloudOps,2
