dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/5T/long,Falcon-Agent,3142903.3020147844,3142903.3020147844,302.3615234869982,0.8179214180466294,2.9929140678411588,0.8116133501405909,14.572584614243182,1772.8235394462654,4.685043318991954,0.7990512332521554,0.6212326323143874,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,Falcon-Agent,2933074.595316561,2933074.595316561,263.9360584493662,0.9163343907131575,3.3366532197859713,0.7970680760046763,20.12662475247449,1712.6221402622823,5.203419064113787,0.8019106409731197,0.5889954701054845,Web/CloudOps,2
bitbrains_fast_storage/5T/short,Falcon-Agent,1494368.0180492778,1494368.0180492778,142.89916335015712,0.6382343450948941,1.6717429263031423,0.7184198737201598,12.14914392657354,1222.443462107462,3.8381701539476554,0.44866803316131515,0.35205404259604456,Web/CloudOps,2
bitbrains_fast_storage/H/short,Falcon-Agent,2164947.0798635976,2164947.0798635976,255.17415835317365,0.9388908355453248,2.7058177711230247,0.5666841645361337,18.925380449492387,1471.3759138519285,4.193899333173213,0.7273292450185558,0.5483062081669459,Web/CloudOps,2
bitbrains_rnd/5T/long,Falcon-Agent,2235634.9914927348,2235634.9914927348,158.89168063173463,3.247677580781208,1.2005332330351133,0.6776469227094932,114.47352869834971,1495.2039966147545,5.727789690136188,0.6086782353654664,0.6456553408429372,Web/CloudOps,2
bitbrains_rnd/5T/medium,Falcon-Agent,2262473.179833173,2262473.179833173,158.6097867164003,4.321044503708415,0.992660527997988,0.7105069910869981,158.20099058419927,1504.1519802975938,6.328734172782422,0.6673522293480039,0.7416236910049806,Web/CloudOps,2
bitbrains_rnd/5T/short,Falcon-Agent,1592272.46361415,1592272.46361415,118.99538166563815,1.579341036266037,1.04367879016587,0.6437880416208657,50.736058372599594,1261.8527899934088,5.163137363990371,0.48689475198082355,0.39168375367458896,Web/CloudOps,2
bitbrains_rnd/H/short,Falcon-Agent,1885709.2457584795,1885709.2457584795,149.15832896433943,5.723854200958403,1.2864436838596167,0.528446803047771,195.23889003141068,1373.2112895539708,6.00984455283918,0.652789834787983,0.6415382366500032,Web/CloudOps,2
bizitobs_application/10S/long,Falcon-Agent,5901843.731647187,5901843.731647187,1470.4046652729662,3.0857611623868366,0.044808366362661174,0.04582453079032981,56.48580721579031,2429.3710568061,0.09369113651601078,0.05670763378937556,0.051445648270934306,Web/CloudOps,2
bizitobs_application/10S/medium,Falcon-Agent,3007611.410792567,3007611.410792567,959.3096865451421,2.1164096516176,0.0301870899827134,0.030766152280101183,24.635758209207676,1734.2466407038437,0.06809876190683575,0.0376692682607392,0.03251325512367623,Web/CloudOps,2
bizitobs_application/10S/short,Falcon-Agent,376634.9650114341,376634.9650114341,319.22462870112884,1.0269437851236622,0.014219591300999146,0.014391302428545801,5.905141907644629,613.7059271438025,0.023668185903354254,0.012311218651888904,0.009648041794124393,Web/CloudOps,2
bizitobs_l2c/5T/long,Falcon-Agent,102.35166124521689,102.35166124521689,6.995384363922716,0.660184414194852,0.5375952687702318,0.8650921547809195,3.7334379371768476,10.116899784282579,0.5680488012723067,0.3927803761127328,0.27735221594527404,Web/CloudOps,7
bizitobs_l2c/5T/medium,Falcon-Agent,64.33034849539845,64.33034849539845,5.224683777450775,0.5033204087285441,0.38623614811925916,0.6637361121091269,3.2285089345820595,8.020620206405392,0.42200258299466736,0.27489520668909756,0.20638155151374804,Web/CloudOps,7
bizitobs_l2c/5T/short,Falcon-Agent,11.040782970106916,11.040782970106916,1.9524276981045172,0.2023430711977379,0.09918842620007152,0.17277467736842467,1.680492904741394,3.3227673662335913,0.11411727730901003,0.06705426787158413,0.05306642894176915,Web/CloudOps,7
bizitobs_l2c/H/long,Falcon-Agent,77.89019036290773,77.89019036290773,4.996869023344341,0.5357613459115129,0.5878030028833596,0.7657523945033191,4.421684681938219,8.825541930267383,0.5390896061133986,0.3052232004424155,0.24711024314267233,Web/CloudOps,7
bizitobs_l2c/H/medium,Falcon-Agent,65.20811118477683,65.20811118477683,4.521362712057041,0.4507078572812344,0.4204626510558973,0.7432577844526266,2.92707063567723,8.07515394186246,0.4889628434409229,0.27377538358176207,0.21490023853103227,Web/CloudOps,7
bizitobs_l2c/H/short,Falcon-Agent,46.750072204892625,46.750072204892625,4.0070459410015316,0.38826467940835896,0.3420522792714272,0.5743706202800117,2.635802506047576,6.837402445731319,0.368553530201966,0.21599005455055023,0.1703332293570392,Web/CloudOps,7
bizitobs_service/10S/long,Falcon-Agent,131352.29412948005,131352.29412948005,76.87018108608437,1.300443305843919,0.07316654487607235,0.07139835618265752,20.76290357354762,362.4255704685861,0.2684964551797635,0.05694788892504237,0.05275241215334594,Web/CloudOps,2
bizitobs_service/10S/medium,Falcon-Agent,14210.525911862662,14210.525911862662,33.95683699171163,0.9622867988956804,0.058632660444511944,0.05236873645870931,9.200422217875236,119.20791044164251,0.08971867708032247,0.025556714159669383,0.01937129879117175,Web/CloudOps,2
bizitobs_service/10S/short,Falcon-Agent,1876.4574488580715,1876.4574488580715,16.886940722560993,0.6871112643831122,0.04829698502549092,0.03895790713615984,4.917027020191721,43.318096089949194,0.03209143115992101,0.012510385834465896,0.009744001420746771,Web/CloudOps,2
car_parts/M/short,Falcon-Agent,1.391103235198325,1.391103235198325,0.46656543519771726,0.8712101470669266,0.8072897336875315,1.8849312457417686,46.750173884895865,1.179450395395383,2.8282010596180465,1.118776053116667,1.081771262597024,Sales,1
covid_deaths/D/short,Falcon-Agent,264901.752618796,264901.752618796,78.53583381066812,31.278605014639005,0.08130967844121835,0.3508613586241546,812.426475344997,514.6860719106318,0.19365313017615476,0.029549488277333755,0.025173475636501443,Healthcare,1
electricity/15T/long,Falcon-Agent,306629.69315324153,306629.69315324153,55.804798586572836,0.843562038119624,0.1213512742311136,0.12728037926701982,6.974512307465792,553.7415400285963,0.8735951756698955,0.08803891220070403,0.07033560699410796,Energy,1
electricity/15T/medium,Falcon-Agent,241714.41723799426,241714.41723799426,50.746224418629794,0.7961740426866758,0.11645641020417923,0.12530654340275757,6.86465116572374,491.64460460580085,0.8471531545958224,0.08744085401799313,0.07035561190129608,Energy,1
electricity/15T/short,Falcon-Agent,127297.6524376958,127297.6524376958,47.83729809490308,0.9266159354550535,0.15046598625759758,0.15597308392619494,10.391597086592695,356.7879656570493,0.7032994160601815,0.09429674499834814,0.07865141000436193,Energy,1
electricity/D/short,Falcon-Agent,1282827067.675376,1282827067.675376,4086.9385038827786,1.3161134442626699,0.3111307449990961,0.0890399919843596,10.303976553526123,35816.575320309115,0.5885852921795292,0.06716197380444726,0.05266475471255582,Energy,1
