dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,Falcon-X,51.851103344298245,51.851103344298245,3.8760408352280056,0.6123303143170724,0.0937253666613001,0.08394900736301922,4.27104607627025,7.200771024293041,0.12347732933760781,0.0664655450260555,0.05207181637015924,Transport,1
loop_seattle/5T/medium,Falcon-X,71.11773163377192,71.11773163377192,4.7188239829237615,0.7505629814087333,0.14019795452232084,0.10850667616900275,5.75926029297916,8.433132966683967,0.1500427602206504,0.08395757284871683,0.06657170425826121,Transport,1
loop_seattle/5T/long,Falcon-X,87.59126533654397,87.59126533654397,5.178715026946451,0.8190195001509841,0.15007840382589438,0.1181889362333018,7.9055563392455195,9.359020532969462,0.165469397049025,0.09156074078252593,0.07427440506249353,Transport,1
loop_seattle/D/short,Falcon-X,23.75669827141383,23.75669827141383,3.2816442530959753,1.0001806020700112,0.06127369096281605,0.05940832053421698,10.726749428893601,4.874084352102847,0.08710640614943055,0.0586473717929802,0.04846422027599041,Transport,1
loop_seattle/H/short,Falcon-X,71.24225327250014,71.24225327250014,4.440701529486448,0.8978158618126129,0.11257757707264,0.10230211242705617,9.136956924854548,8.440512619059351,0.14940565662802902,0.07860493288095519,0.06498322645741358,Transport,1
loop_seattle/H/medium,Falcon-X,75.21081656346749,75.21081656346749,4.622205156733746,0.9449652171395647,0.11593023876902735,0.10592138016802116,9.453377953146246,8.672416996631764,0.15328398233489401,0.08169694952032475,0.06763251088022257,Transport,1
loop_seattle/H/long,Falcon-X,64.52472910216719,64.52472910216719,4.28125349372205,0.8936120663364576,0.1171260491244195,0.0991916988492217,10.56365061833355,8.032728621220015,0.14355561475576004,0.07651173171628559,0.0640842453245177,Transport,1
m_dense/D/short,Falcon-X,7780.406666666667,7780.406666666667,43.418703703703706,0.6689223519488037,0.11932257672784238,0.09672740794994213,7.353843172447714,88.2066135086631,0.15269869545077755,0.0751641985786955,0.06160307910368515,Transport,1
m_dense/H/short,Falcon-X,40603.05777777778,40603.05777777778,83.86604166666666,0.7423955984822854,0.2677821571728349,0.20307830810546876,9.16898991471556,201.50200440138997,0.35741434472687167,0.14875745983855543,0.12468070650788851,Transport,1
m_dense/H/medium,Falcon-X,33098.602222222224,33098.602222222224,75.53665798611111,0.6405197735993573,0.23815519035041113,0.1831080796983507,7.115651950170703,181.93021250529617,0.31653558531902637,0.13142424185307178,0.10829552974642516,Transport,1
