dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,FastCastrage,41.19430119974079,41.19430119974079,3.45414891671101,0.54726079698134,0.09090018395422905,0.07359176225829543,3.946283327631072,6.4182786788780675,0.11005930942268399,0.059231028042985974,0.0463561985297961,Transport,1
loop_seattle/5T/medium,FastCastrage,63.56675482939887,63.56675482939887,4.498372209389513,0.7167614661639417,0.13925317014334002,0.10361101384748492,5.399168902915272,7.972876195539403,0.1418538496765736,0.08003528457359232,0.06317566563645825,Transport,1
loop_seattle/5T/long,FastCastrage,78.42191810715514,78.42191810715514,5.021095082541423,0.794770173985753,0.15408357997947214,0.11427958282551187,5.842507776863342,8.855615060917854,0.15656909427829754,0.08877399299210763,0.0703366793147947,Transport,1
loop_seattle/D/short,FastCastrage,18.283351524203432,18.283351524203432,2.874329532902799,0.8657988645416135,0.05331839983677347,0.05307423145778408,7.317860694544731,4.2759035915468715,0.07641611042436565,0.051368109284909244,0.04179515115341846,Transport,1
loop_seattle/H/short,FastCastrage,40.530665954122405,40.530665954122405,3.447700925241385,0.7108936281733236,0.09522570385807827,0.07891810277680157,5.485450450641451,6.366369919673409,0.11269122379434764,0.061027813564796356,0.04851809963749263,Transport,1
loop_seattle/H/medium,FastCastrage,57.817522393414606,57.817522393414606,4.106665895696272,0.8441321730834369,0.10979087955565399,0.09332368888107001,6.457768798966375,7.603783426256603,0.13439602201091014,0.07258486061078728,0.05798754511888234,Transport,1
loop_seattle/H/long,FastCastrage,53.54655760878913,53.54655760878913,3.948493953845244,0.829554187911207,0.11653224340123247,0.09131570874434958,6.326913280485013,7.317551339675665,0.13077441789311198,0.07056486171390096,0.056189396181283664,Transport,1
m_dense/D/short,FastCastrage,8291.319259259259,8291.319259259259,41.915109953703706,0.6278074925526909,0.11757117540770941,0.09073853669343171,6.867757314169771,91.05668157394744,0.1576325848520762,0.07256125538679535,0.060477476582284403,Transport,1
m_dense/H/short,FastCastrage,41312.165972222225,41312.165972222225,82.6966455078125,0.7476359346059814,0.28114886064757516,0.19862240897284614,8.494873362859057,203.25394454283594,0.3605218916148469,0.14668325938636667,0.12218023468405691,Transport,1
m_dense/H/medium,FastCastrage,35828.94666666666,35828.94666666666,78.31220703125,0.6800037750053671,0.25344668517220054,0.1855306879679362,6.5484187596968395,189.2853577714522,0.3293326088582661,0.1362533465382495,0.11246852025882416,Transport,1
m_dense/H/long,FastCastrage,33635.002469135805,33635.002469135805,78.39029320987655,0.6790437973117749,0.2509745367503638,0.18467954282407406,6.781185569967449,183.39848000770291,0.3174898801185245,0.1357051857388042,0.11312760738401474,Transport,1
sz_taxi/15T/short,FastCastrage,16.520855765057426,16.520855765057426,2.7034855191669767,0.5389394909573454,1054808192893.589,0.3864859323652964,3.7675676330275345,4.06458555883099,0.38005614385652414,0.2527874654167855,0.19838734064348143,Transport,1
sz_taxi/15T/medium,FastCastrage,16.14658954326923,16.14658954326923,2.7360689603365387,0.5334246653257207,9758823592811.213,0.4028419820671408,3.7200109726477786,4.018281914359572,0.3739681960353803,0.2546368809189264,0.20076199651764337,Transport,1
sz_taxi/15T/long,FastCastrage,15.363464877136753,15.363464877136753,2.680176337695869,0.5053486082558106,6131311689681.322,0.3965045983295495,3.673759003155968,3.919625604204661,0.36279353580089896,0.24807232840798069,0.1963937236337567,Transport,1
sz_taxi/H/short,FastCastrage,7.1196345467852735,7.1196345467852735,1.836950448843149,0.5596342335951101,1.1397913174751477,0.2932959784809341,3.850774153050068,2.6682643322551973,0.24856528508948478,0.17112326784582008,0.13465027976785754,Transport,1
bitbrains_fast_storage/5T/short,FastCastrage,1512765.835470374,1512765.835470374,141.2491331444533,0.6164004669103343,1.708301986968903,0.7098468610857241,14.00673292104372,1229.9454603641473,3.8617245368478743,0.443487342203721,0.34802792963312185,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,FastCastrage,3039741.776586875,3039741.776586875,281.5877167157957,0.9355163478111875,4.1565145119055495,0.7984115653344701,20.084581850112244,1743.485525201421,5.297190535397299,0.8555412513096284,0.6116539767786436,Web/CloudOps,2
bitbrains_fast_storage/5T/long,FastCastrage,3796918.1568456357,3796918.1568456357,361.57668940853955,0.8468309708512165,4.470021546602853,0.814928134051732,16.615855658339218,1948.5682325352725,5.14948399995265,0.955539224019151,0.6925432594115273,Web/CloudOps,2
bitbrains_fast_storage/H/short,FastCastrage,2944049.3809774737,2944049.3809774737,319.48458417075267,0.9818806132304431,3.553786126534555,0.5707958747574764,22.45785822601557,1715.823237101501,4.890653642077376,0.9106348552556858,0.6675016816929562,Web/CloudOps,2
bitbrains_rnd/5T/short,FastCastrage,1553206.1311708223,1553206.1311708223,114.72405625509553,1.5831986054227711,1.0002550962164123,0.6351031140326419,50.62902250374372,1246.2769079024222,5.099405352029564,0.46941772150654315,0.37897999549261413,Web/CloudOps,2
bitbrains_rnd/5T/medium,FastCastrage,2174550.633913909,2174550.633913909,148.0075646181303,4.344804523767966,0.6205841421481009,0.706899436040495,158.54758871769317,1474.6357631340388,6.2045442726519475,0.6227432633322834,0.7014832592994561,Web/CloudOps,2
bitbrains_rnd/5T/long,FastCastrage,2257962.721797056,2257962.721797056,166.3044279989401,3.268459648965034,1.4713410218575218,0.6874767652727659,114.66535414844085,1502.6518964141549,5.756321021257201,0.6370748122721603,0.6564031869447605,Web/CloudOps,2
bitbrains_rnd/H/short,FastCastrage,1918497.4295639573,1918497.4295639573,155.95182080767017,5.797440007178452,1.5562617100482912,0.540926111887231,197.4710949480483,1385.098346531378,6.0618680493786,0.6825214701640802,0.6825295666992588,Web/CloudOps,2
bizitobs_application/10S/short,FastCastrage,366101.3333333333,366101.3333333333,319.50892361111113,1.0247777704621108,0.01411889182196723,0.014277707205878364,6.397594155110124,605.0630821107278,0.02333486457075246,0.012322182070013921,0.009682397413764948,Web/CloudOps,2
bizitobs_application/10S/medium,FastCastrage,3650326.1866666665,3650326.1866666665,1053.1103125,2.2709312439114457,0.032569831212361657,0.03324223836263021,29.561666013490704,1910.5826824994167,0.07502295876092868,0.041352542483028776,0.03601139230885129,Web/CloudOps,2
bizitobs_application/10S/long,FastCastrage,6103024.64,6103024.64,1499.4341666666667,3.1523568626960548,0.04578873952229818,0.04681169721815321,65.53290923377199,2470.430051630687,0.09527461250027075,0.05782718239868197,0.05286984414191079,Web/CloudOps,2
bizitobs_l2c/5T/short,FastCastrage,13.155865478515626,13.155865478515626,1.9934882027762277,0.205789259036265,0.09488551412267753,0.177967103322347,1.670731623790579,3.627101525807573,0.1245693428214927,0.0684644511810138,0.05413350368663204,Web/CloudOps,7
bizitobs_l2c/5T/medium,FastCastrage,55.80449617346939,55.80449617346939,4.680579028486394,0.46898581661711014,0.3404406574206572,0.6071006307796556,3.2127901566256005,7.4702407038508065,0.39304451566957366,0.24626728779385526,0.19228644065291212,Web/CloudOps,7
bizitobs_l2c/5T/long,FastCastrage,58.589151785714286,58.589151785714286,4.927420944940476,0.4859586015750577,0.38507596971236097,0.711544673859127,3.2760231968406788,7.654355086205126,0.4297805948090076,0.2766673195508621,0.21682690197041565,Web/CloudOps,7
