dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
m4_yearly/A/short,ForecastMate,3562082.3424160643,3562082.3424160643,881.670794974754,3.2863659497865565,0.1626112858281423,0.1480134357272107,28.874077033064637,1887.347965377891,0.3026449939627821,0.1413799984513558,0.1142629667632315,Econ/Fin,1
ett1/W/short,ForecastMate,1187463.142857143,1187463.142857143,869.7410714285714,1.5254311014259223,0.650486809866769,0.547579776469356,7.83350237167525,1089.7078245369917,0.4336207522560394,0.3460907310829613,0.2536451594287692,Energy,7
bizitobs_l2c/H/short,ForecastMate,52.20160202752976,52.20160202752976,4.327699691530258,0.4228174299600484,0.3857334420549498,0.5977355016221089,2.661492204383502,7.225067614045543,0.3894496481150092,0.2332740968039429,0.1813283473425352,Web/CloudOps,7
bizitobs_l2c/H/medium,ForecastMate,75.47127976190477,75.47127976190477,4.847642880394345,0.4896302274653198,0.4648029144008244,0.7601968712469144,3.30178955489376,8.687420777302362,0.5260365235000659,0.2935321395545814,0.2330548421028876,Web/CloudOps,7
bizitobs_l2c/H/long,ForecastMate,84.93072296626984,84.93072296626984,5.294771902901786,0.563654521057535,0.604458924450728,0.7818999486173528,4.707967376267452,9.215786616793482,0.562926844951881,0.3234199494820141,0.2618888927660075,Web/CloudOps,7
ett2/D/short,ForecastMate,106004.45714285714,106004.45714285714,194.92859623015872,1.2894209906728828,0.4211259629991319,0.1328995517000546,12.875762505092416,325.5832568527705,0.1863398881213163,0.1115627786400525,0.0922192852861472,Energy,7
solar/W/short,ForecastMate,1491917.6058394162,1491917.6058394162,982.2324931569344,1.0716656559305306,0.2198901837759644,0.1927804930900934,6.917718512159276,1221.4407909675426,0.2493265971588634,0.2004982042098778,0.1448269748565653,Energy,1
jena_weather/D/short,ForecastMate,377.7685515873016,377.7685515873016,9.793348524305555,1.1100161196748894,0.6183684424902178,0.4622938002364674,6.817230693064239,19.43626897290994,0.1170381063255654,0.058971964602288,0.0463352763645733,Nature,21
saugeen/M/short,ForecastMate,396.8841145833333,396.8841145833333,12.398030598958334,0.726459262945435,0.3533946900140671,0.3551695836620855,4.494497650482305,19.921950571752088,0.598116721455952,0.3722260723241699,0.2871837872407861,Nature,1
kdd_cup_2018/H/short,ForecastMate,4320.155582883195,4320.155582883195,22.06641575452899,0.9205038151174076,0.8507422052005891,0.4864512138771678,7.151367752365163,65.72789044905667,1.3758037823986662,0.4618900447229889,0.3676196761420844,Nature,1
kdd_cup_2018/H/medium,ForecastMate,5129.7374425717335,5129.7374425717335,25.02234937284164,1.0322698698623134,0.959233616866198,0.5514036462067833,8.753619597105343,71.6221854076775,1.4991820501003372,0.5237630884561423,0.4181728180146358,Nature,1
kdd_cup_2018/H/long,ForecastMate,4139.970649193525,4139.970649193525,24.142360327892384,1.0181453069627824,1.0092548732840838,0.6096174200873341,7.408192059068289,64.34260368677603,1.5097374387567863,0.5664773129854982,0.4391323806746697,Nature,1
loop_seattle/H/short,ForecastMate,46.60821527898891,46.60821527898891,3.7120332469777537,0.7604689956351997,0.1023924109742938,0.0847463607214259,5.90907755361013,6.827020966643424,0.1208452159248994,0.0657067645526774,0.0523000723729464,Transport,1
loop_seattle/H/medium,ForecastMate,50.43700587348426,50.43700587348426,3.95381879776993,0.8203606883508827,0.1065544793726366,0.0893509059952452,6.244147136065663,7.101901567431378,0.1255253180517173,0.0698833062379985,0.05552974839731,Transport,1
loop_seattle/H/long,ForecastMate,50.036873414387685,50.036873414387685,3.8814426082247593,0.818609354633097,0.1153459846173769,0.089512074994664,6.316553385042914,7.073674675470147,0.1264160142895635,0.0693665635948757,0.0550618117866816,Transport,1
ett1/H/short,ForecastMate,90.85816766648064,90.85816766648064,4.767987133207775,0.7920101754261,0.4414334251767113,0.2548789188159199,5.420063264963271,9.531955081014631,0.4448953163334265,0.2225414540745384,0.1702176687092064,Energy,7
ett1/H/medium,ForecastMate,131.5671875,131.5671875,6.746500651041667,1.234810160318623,3937735891945.3696,0.4342898395328882,8.801056165772186,11.470274081293786,0.549398999491247,0.3231414246494851,0.2501843944736915,Energy,7
ett1/H/long,ForecastMate,140.8122023809524,140.8122023809524,7.084879298941799,1.3605542332002734,3715218298562.891,0.476067423610937,9.68235423386806,11.866431745935776,0.5682577154060346,0.3392795248431006,0.2648557581131165,Energy,7
ett1/D/short,ForecastMate,42255.14603174603,42255.14603174603,137.3414310515873,1.669078808885385,1.3663824172247023,0.473965168348626,10.453536055405303,205.56056536151584,0.5399116434356356,0.3607318243188048,0.2744754095846182,Energy,7
covid_deaths/D/short,ForecastMate,382123.7694235589,382123.7694235589,101.4062343358396,30.793597948713387,0.081332112225244,0.3544035375212288,421.69637628870754,618.1616046177237,0.2325863010913623,0.0381545873693699,0.0316697079140542,Healthcare,1
m4_quarterly/Q/short,ForecastMate,1699063.67875,1699063.67875,541.4375333658854,1.1465827729627955,0.1100089089969793,0.0987563392053672,8.652583740015357,1303.4813687774752,0.2181798280240545,0.0906271088679472,0.0722673079913696,Econ/Fin,1
ett2/15T/short,ForecastMate,6.8303957984561015,6.8303957984561015,1.62761964343843,0.7031810733786431,0.0998397385398211,0.1201059622102499,4.583684565039324,2.613502592012509,0.1240722757346239,0.0772689010559881,0.0605863197122332,Energy,7
ett2/15T/medium,ForecastMate,11.141999240451389,11.141999240451389,2.0709896414620537,0.8523623520627788,0.1270829152713993,0.1550041661728392,6.324719757396509,3.3379633371940125,0.1778861083908927,0.1103667867566283,0.0871502576971576,Energy,7
ett2/15T/long,ForecastMate,10.742801339285714,10.742801339285714,2.0668598090277777,0.8609670963197652,0.130690470762208,0.159136956459074,6.930877099922151,3.277621292841153,0.174670360077029,0.1101466932315043,0.0894034420740194,Energy,7
bizitobs_l2c/5T/short,ForecastMate,16.579894438244047,16.579894438244047,2.297886875697545,0.2370276636976545,0.1235947273936813,0.1940981708404768,2.034099160690606,4.071841651911829,0.1398435183142285,0.0789187333045615,0.0630066482976028,Web/CloudOps,7
bizitobs_l2c/5T/medium,ForecastMate,75.41215986394558,75.41215986394558,5.871153539540816,0.5780764718342458,0.4195272972351408,0.7095219547573144,4.13301168574904,8.684017495603378,0.4569070242764832,0.308909015231728,0.2389820616427463,Web/CloudOps,7
bizitobs_l2c/5T/long,ForecastMate,103.30632936507936,103.30632936507936,7.111050967261905,0.6761569687833446,0.567957457590072,0.8544550053510991,4.468721515697676,10.163972125359226,0.5706918396732971,0.3992748807714626,0.2925791730999208,Web/CloudOps,7
solar/10T/short,ForecastMate,18.67073086555277,18.67073086555277,1.754893948445935,0.7682228121520241,4.675131535247499,1.4973739781816346,3.821168281497479,4.320964112967471,1.2569679680955383,0.5104984496356657,0.3860578875456831,Energy,1
solar/10T/medium,ForecastMate,19.442033487820726,19.442033487820726,1.8290494105848056,0.8016704988697467,3.58245914354654,1.4471638446933477,3.9904491251675247,4.409312133181402,0.9784438878738368,0.4058733340600908,0.3002472814485162,Energy,1
solar/10T/long,ForecastMate,18.02785048535077,18.02785048535077,1.7632751118334349,0.7714515833715481,3.281738551895508,1.443730474441937,4.160194552775403,4.245921629676032,0.9176880270738432,0.3811037036711155,0.2859332320368341,Energy,1
temperature_rain/D/short,ForecastMate,181.25648700809535,181.25648700809535,5.67772251336927,1.313967071206074,20.290029646752828,1.5095533139032733,18.60990602106828,13.463152937113035,1.5849690526708458,0.6684180529908266,0.5410153156411324,Nature,1
m4_hourly/H/short,ForecastMate,1004925.8916003708,1004925.8916003708,187.88206730103917,0.6623431061098937,0.0849281906505713,0.0761425331879867,5.001805286710255,1002.4599201964988,0.136857927099929,0.0256500531861955,0.0203358369286573,Econ/Fin,1
m4_daily/D/short,ForecastMate,353424.87620399473,353424.87620399473,180.27869976226384,3.336491658890602,0.0368985134476586,0.0302553195145292,25.926917280997294,594.4954803898804,0.0918331215758373,0.0278480767287657,0.022067996730635,Econ/Fin,1
ett2/H/short,ForecastMate,105.04558454241072,105.04558454241072,6.317551095145089,0.7247263705569594,0.1170564595482747,0.1082172133903695,5.070691677147816,10.249174822511844,0.129988054087782,0.0801241258617527,0.063226154163935,Energy,7
ett2/H/medium,ForecastMate,251.20662202380956,251.20662202380956,9.804265485491072,1.0501119447576424,0.1733793632457466,0.1692067634398203,7.745937276157588,15.849499109555785,0.2135821795484491,0.1321187740248724,0.1061324436751878,Energy,7
ett2/H/long,ForecastMate,221.03569775132277,221.03569775132277,9.210278191137569,1.02223064535381,0.176131005960536,0.1746034349732381,8.756879798836056,14.86726934414396,0.2035958109724854,0.1261276710740064,0.1034612199649502,Energy,7
car_parts/M/short,ForecastMate,1.3658228921465811,1.3658228921465811,0.4571657121236919,0.8432324994541037,0.8284323729692802,1.8954694735889257,30.815739171186426,1.1686842568232796,2.8023849637173703,1.0962364814128798,0.9920132787146216,Sales,1
loop_seattle/5T/short,ForecastMate,39.0947644433493,39.0947644433493,3.3633017084300825,0.5331051852317809,0.091810633056058,0.0716460352760718,3.890380700959352,6.252580622698863,0.1072179535781989,0.0576731989884013,0.0454069905149531,Transport,1
loop_seattle/5T/medium,ForecastMate,66.94680128918344,66.94680128918344,4.748602374286475,0.7548481426812126,0.1505394878722073,0.1092094160374428,5.460814701521041,8.182102498085895,0.1455764160258126,0.0844873936670931,0.0664034153889328,Transport,1
loop_seattle/5T/long,ForecastMate,79.6161653085942,79.6161653085942,5.139522759807505,0.8133517564602939,0.1627579291043731,0.117212391588803,5.863163653738298,8.922789099188336,0.1577567457801037,0.0908678190683408,0.0714794855386787,Transport,1
