dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/long,HistRoute-CV,82.70713524,82.70713524,5.281368458,0.835361429,0.174551911,0.119513586,5.822248716,9.094346334,0.160789913,0.09337568,0.073588404,Transport,1
loop_seattle/5T/medium,HistRoute-CV,67.67068411,67.67068411,4.831554017,0.767870819,0.16073309,0.111294174,5.355745824,8.226219309,0.146361345,0.085963274,0.067556303,Transport,1
loop_seattle/5T/short,HistRoute-CV,38.30612645,38.30612645,3.371492284,0.535075001,0.091086749,0.071716466,3.910562303,6.189194329,0.106131018,0.057813649,0.045431726,Transport,1
loop_seattle/D/short,HistRoute-CV,18.31875546,18.31875546,2.898775783,0.873849574,0.053875514,0.053562352,7.16081179,4.280041525,0.076490059,0.051804995,0.042099305,Transport,1
loop_seattle/H/long,HistRoute-CV,57.92128326,57.92128326,4.057704523,0.848697407,0.118102372,0.094018037,6.554625795,7.610603344,0.136011648,0.0725166,0.057871011,Transport,1
loop_seattle/H/medium,HistRoute-CV,66.3243604,66.3243604,4.322083027,0.8842841,0.112427543,0.098745822,7.014872712,8.14397694,0.143943883,0.076392335,0.061293463,Transport,1
loop_seattle/H/short,HistRoute-CV,57.39709916,57.39709916,3.956748227,0.803934889,0.107001434,0.090967451,6.751233625,7.576087325,0.134104451,0.070038468,0.056357645,Transport,1
m_dense/D/short,HistRoute-CV,8307.151795,8307.151795,43.32493853,0.641532532,0.118407576,0.092648616,6.940585002,91.14357792,0.157783015,0.075001877,0.062376852,Transport,1
m_dense/H/long,HistRoute-CV,34187.87516,34187.87516,77.40135333,0.675731801,0.250547422,0.184357373,7.151304787,184.8996354,0.320088619,0.133993192,0.110566144,Transport,1
m_dense/H/medium,HistRoute-CV,36583.76587,36583.76587,78.28337751,0.681160741,0.257394287,0.186227066,7.436063514,191.2688314,0.332783614,0.136203192,0.112470359,Transport,1
m_dense/H/short,HistRoute-CV,42990.96192,42990.96192,85.30328437,0.762278376,0.284034892,0.203097694,8.094894972,207.3426197,0.367774176,0.151306785,0.125010608,Transport,1
sz_taxi/15T/long,HistRoute-CV,15.39948735,15.39948735,2.674398446,0.504426245,6.29575E+12,0.395789006,3.759794658,3.924218055,0.363218611,0.247537541,0.196717313,Transport,1
sz_taxi/15T/medium,HistRoute-CV,16.21120749,16.21120749,2.733556217,0.533266714,9.80167E+12,0.402598593,3.755646699,4.026314381,0.374715749,0.254403027,0.200785741,Transport,1
sz_taxi/15T/short,HistRoute-CV,16.53300728,16.53300728,2.707151543,0.53994794,1.07808E+12,0.38943602,3.779206363,4.066080088,0.38019589,0.253130255,0.198684929,Transport,1
sz_taxi/H/short,HistRoute-CV,7.161664106,7.161664106,1.836062132,0.559094319,1.108945929,0.293689563,3.844549021,2.676128567,0.249297892,0.171040519,0.134456762,Transport,1
bitbrains_fast_storage/5T/long,HistRoute-CV,3244938.051,3244938.051,304.0314666,0.828176754,3.586029866,0.809839658,14.57572641,1801.371159,4.760486127,0.80346439,0.624910598,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,HistRoute-CV,2585746.054,2585746.054,253.2372266,0.923240211,3.038085888,0.796434555,20.04092987,1608.025514,4.885625625,0.769404635,0.584265548,Web/CloudOps,2
bitbrains_fast_storage/5T/short,HistRoute-CV,1463547.846,1463547.846,143.559204,0.625519964,1.780083062,0.714486625,14.59623969,1209.771816,3.798384313,0.450740397,0.35985841,Web/CloudOps,2
bitbrains_fast_storage/H/short,HistRoute-CV,2912033.56,2912033.56,315.4734076,0.965118962,3.675941423,0.571813616,20.26375657,1706.468154,4.863988574,0.899201691,0.656694306,Web/CloudOps,2
bitbrains_rnd/5T/long,HistRoute-CV,2213482.117,2213482.117,151.2374806,3.254863101,1.083576096,0.666358383,114.3487783,1487.777576,5.699340743,0.579356719,0.564919813,Web/CloudOps,2
