dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
m4_yearly/A/short,samay-agentic,3426374.766587111,3426374.766587111,873.9192621753791,3.2812051451008624,0.1640653483397955,0.1453872914195184,27.91824536699693,1851.046937975132,0.296823953290195,0.1401370029757891,0.1125265291142284,Econ/Fin,1
m4_quarterly/Q/short,samay-agentic,1743054.9953987706,1743054.9953987706,552.2917557136882,1.1722414213321029,0.1117725308902263,0.1002146409640564,8.902215490103176,1320.248081005525,0.2209862811029966,0.0924439148482291,0.0736583340607427,Econ/Fin,1
m4_monthly/M/short,samay-agentic,1785273.218643579,1785273.218643579,542.8164132020478,0.9094723812315676,0.1540991551309116,0.1278176097959187,7.423193079347096,1336.1411671839091,0.2776960022400349,0.1128158847273476,0.0897767024948638,Econ/Fin,1
m4_weekly/W/short,samay-agentic,230534.24410321692,230534.24410321692,246.5164928890755,1.972384306713629,0.0598806139027559,0.0597725486591791,14.818910863946314,480.13981724412,0.0874740338123158,0.0449114846547057,0.0357992834570237,Econ/Fin,1
m4_daily/D/short,samay-agentic,347432.0132320521,347432.0132320521,174.8310844889236,3.2584015299972577,0.0382408111964769,0.029908374190613,24.42125810030524,589.4336376828626,0.0910512072774208,0.0270065708752476,0.0212990463272123,Econ/Fin,1
m4_hourly/H/short,samay-agentic,663108.6356556679,663108.6356556679,175.3532331637217,0.7040695939820947,0.0899250454062766,0.0800371127980879,5.6614214011449295,814.3148258847237,0.1111719478741608,0.0239395868491807,0.0195143057944333,Econ/Fin,1
electricity/15T/short,samay-agentic,124732.09064344651,124732.09064344651,47.74913488999746,0.9236110401104844,0.1537804371744333,0.1572336302668523,10.131180750283567,353.1743063183484,0.6961761763104043,0.0941229572909085,0.0785471758892922,Energy,1
electricity/H/short,samay-agentic,1581776.6862988477,1581776.6862988477,165.41931279772058,0.9009343379194178,0.1675378234012537,0.1221296217329731,10.03965826320032,1257.6870382964307,0.593718144151903,0.0780897348947613,0.0639810572983682,Energy,1
electricity/D/short,samay-agentic,1290386745.5346234,1290386745.5346234,4154.931503474101,1.3643983541162252,0.3402098714480294,0.0919545744238064,10.915372285553625,35921.95353171405,0.5903170216388917,0.0682793264035326,0.0536763733848107,Energy,1
electricity/W/short,samay-agentic,38535924425.94016,38535924425.94016,27009.694755175497,1.432356251682741,0.1603243152912733,0.0940178544449888,11.10043924582504,196305.6912724136,0.4479048063933098,0.0616272102028421,0.0479834378788082,Energy,1
