dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/5T/long,LS-Agent,3957995.65451133,3957995.65451133,378.1091916214635,0.8603110564828469,4.78856334982787,0.7836829184466452,14.76672140811546,1989.4711997189927,5.257578423141691,0.9992297087494124,0.6890139974591692,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,LS-Agent,3046908.21216372,3046908.21216372,283.92922759148496,0.9253888651363296,4.3538482239211245,0.7790054676781556,20.24382714306673,1745.539518934968,5.303431006179388,0.8626553869648287,0.6129913607603669,Web/CloudOps,2
bitbrains_fast_storage/5T/short,LS-Agent,1536760.927994002,1536760.927994002,138.85716332620837,0.6132535387532211,1.64003308762096,0.6949932051659394,13.054603417842044,1239.6616183434903,3.892230869756011,0.4359771485925495,0.3498899165010743,Web/CloudOps,2
bitbrains_fast_storage/H/short,LS-Agent,2889684.6192195974,2889684.6192195974,304.3594145448027,0.9851514459573376,3.472238754292412,0.543035668515421,21.040732057215344,1699.907238416143,4.845287875222897,0.8675232081357006,0.6424921132338733,Web/CloudOps,2
bitbrains_rnd/5T/long,LS-Agent,2432862.306336082,2432862.306336082,182.2773081125668,3.270447965093801,1.8987919963236344,0.6615164060652982,114.86044806487024,1559.7635418024367,5.975102669521298,0.6982632951132953,0.6239613234009009,Web/CloudOps,2
bitbrains_rnd/5T/medium,LS-Agent,2241386.628366248,2241386.628366248,145.4174887738562,4.329574227647126,0.5185664402002764,0.6872756731830288,158.70774049034395,1497.1261230658718,6.299172877473534,0.6118455132682792,0.6315239808997499,Web/CloudOps,2
bitbrains_rnd/5T/short,LS-Agent,1640456.6432973067,1640456.6432973067,113.86891863500604,1.5729822871835444,0.9611660905756062,0.627635767943061,50.88278031335293,1280.8031243314902,5.240676663186286,0.4659187452124661,0.3703670700253367,Web/CloudOps,2
bitbrains_rnd/H/short,LS-Agent,1889922.432078769,1889922.432078769,149.67140888402562,5.783915379536049,1.315416683012418,0.5187313294400915,196.70725978198683,1374.744497017089,6.016554538091898,0.6550353147786403,0.6229009232934204,Web/CloudOps,2
bizitobs_application/10S/long,LS-Agent,5830039.893333334,5830039.893333334,1471.64375,3.1011581381389868,0.0449148686726888,0.0458903792586902,44.967749417334886,2414.547554581051,0.0931194479577907,0.0567554171093186,0.0502910239538342,Web/CloudOps,2
bizitobs_application/10S/medium,LS-Agent,3600785.493333333,3600785.493333333,1045.4473958333333,2.257646437453527,0.0324235788981119,0.0330677480082767,21.62780460074899,1897.57358047938,0.0745121296126768,0.0410516422988401,0.034995727451858,Web/CloudOps,2
bizitobs_application/10S/short,LS-Agent,343613.3688888889,343613.3688888889,319.8210763888889,0.9873614702129042,0.0140453550550672,0.0141374512990361,5.555577879521129,586.1854389942563,0.0226068293318461,0.0123342205549424,0.0096062542573531,Web/CloudOps,2
bizitobs_l2c/5T/long,LS-Agent,50.13316964285714,50.13316964285714,4.222515190972223,0.4208917426995313,0.3317486940509737,0.6244478393170686,2.696605604109132,7.080478065982349,0.397558258071185,0.2370879153015399,0.1858439079002455,Web/CloudOps,7
bizitobs_l2c/5T/medium,LS-Agent,53.20044642857143,53.20044642857143,4.454500159438775,0.4468260571383269,0.325594082591225,0.5367297300679814,2.9040060763688422,7.293863614612727,0.3837644870382265,0.2343722146482013,0.184156492445978,Web/CloudOps,7
bizitobs_l2c/5T/short,LS-Agent,13.164534505208334,13.164534505208334,1.955175199962797,0.2022068563885345,0.0894763666717897,0.1760956695140235,1.720287588594516,3.628296364026557,0.1246103784006342,0.0671486276376062,0.0534874565344546,Web/CloudOps,7
bizitobs_l2c/H/long,LS-Agent,81.89657738095238,81.89657738095238,5.137902638268849,0.5500563761469538,0.5976975114160816,0.7699710752612535,4.526565101764602,9.049672777562312,0.552780132217577,0.3138379220456556,0.2525634921135263,Web/CloudOps,7
bizitobs_l2c/H/medium,LS-Agent,80.12965029761905,80.12965029761905,4.944983491443453,0.5049966293789051,0.479287718514104,0.7703552116639161,3.5365857411197403,8.951516647899341,0.5420279296033048,0.2994262614055025,0.2401109100782616,Web/CloudOps,7
bizitobs_l2c/H/short,LS-Agent,48.06599547371032,48.06599547371032,4.140051463293651,0.4078845075808299,0.3493336556340864,0.583716993367737,2.5957510774369346,6.9329644073592585,0.3737045371853771,0.2231593767265716,0.1725656791289994,Web/CloudOps,7
bizitobs_service/10S/long,LS-Agent,129345.95047619048,129345.95047619048,75.02758597883597,1.2738309981109517,0.0741342760520006,0.0714011147808529,17.388483273345408,359.64698035183125,0.2664379806696012,0.0555828342647564,0.050655009031713,Web/CloudOps,2
bizitobs_service/10S/medium,LS-Agent,15107.660952380951,15107.660952380951,35.39004464285714,0.973113617115478,0.0603562709263392,0.0534000591378665,8.830525862106175,122.91322529484349,0.0925073898205409,0.0266353815684997,0.0202747941678273,Web/CloudOps,2
bizitobs_service/10S/short,LS-Agent,2054.920985449736,2054.920985449736,17.469421761326057,0.6847117568951306,0.0501945426981285,0.0399957088702658,4.879507487037063,45.3312363106251,0.0335828305018801,0.0129419066790146,0.0100778428660964,Web/CloudOps,2
car_parts/M/short,LS-Agent,1.3653892358967676,1.3653892358967676,0.4496594146854202,0.8279382921727588,0.8387945872953542,1.9001135270424767,15.1933926186243,1.1684987102674815,2.801940042110014,1.0782371501551953,0.9270841521886972,Sales,1
covid_deaths/D/short,LS-Agent,250855.23709273184,250855.23709273184,77.12606320488722,29.61038205044786,0.0784960991201781,0.18086106456124,654.2473140738424,500.8545069106714,0.1884489367781598,0.0290190552511857,0.0252272476736643,Healthcare,1
electricity/15T/long,LS-Agent,306676.35469359986,306676.35469359986,55.84609484093468,0.8422626511597023,0.1207682124233708,0.1221109332664096,6.983177500364498,553.7836713858579,0.8736616553456794,0.0881040633452104,0.070296510814374,Energy,1
electricity/15T/medium,LS-Agent,250125.23585870635,250125.23585870635,50.640209806974944,0.7915869312922478,0.1161167977370708,0.1235635843427054,6.876727004469255,500.1252201786132,0.8617661240622522,0.0872581816839202,0.0703209220952097,Energy,1
electricity/15T/short,LS-Agent,130464.39181227125,130464.39181227125,48.40498797442462,0.9367558608159033,0.15084476052069504,0.15233505494376662,10.219997908966004,361.19854901739467,0.7119935547820836,0.0954157749272544,0.07827247442410573,Energy,1
electricity/D/short,LS-Agent,1313758661.0992432,1313758661.0992432,4209.099009009009,1.3752613382787593,0.3189439179757143,0.0919931788690879,11.021579627583876,36245.808876327246,0.5956390407296719,0.0691694784524389,0.0541287077823848,Energy,1
electricity/H/long,LS-Agent,6814130.150594595,6814130.150594595,254.2253903903904,1.1319826282460623,0.2829012810657926,0.1350234263105263,9.201230387923982,2610.388888766307,1.0295365995481638,0.1002664181830106,0.0792235968287892,Energy,1
electricity/H/medium,LS-Agent,4911892.669842342,4911892.669842342,228.4539922050957,1.0272765159259465,0.2083109521103022,0.1237729618391151,8.455244234014065,2216.2790144389182,0.865086742093055,0.0891731224034947,0.0708781242725574,Energy,1
electricity/H/short,LS-Agent,1852544.0665695383,1852544.0665695383,172.41281274194117,0.9322898829650196,0.1517289012211305,0.1228204299695353,9.997871891530826,1361.081947044166,0.6425278845635001,0.0813911609681555,0.0654201365420972,Energy,1
electricity/W/short,LS-Agent,43409032692.6991,43409032692.6991,27561.452364864865,1.4212109229186658,0.1970286438575058,0.0930124696362316,11.131868218035754,208348.34458833383,0.4753821832950293,0.062886141120437,0.0487702913320353,Energy,1
