dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/5T/long,LS-MoE,3728307.7092704624,3728307.7092704624,354.39523601563764,0.8259948419607899,4.629544826219376,0.8064609728474427,14.749771788983224,1930.8826244157003,5.102746310266313,0.9365608038976404,0.6478041750999607,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,LS-MoE,3154493.491087794,3154493.491087794,290.15978866929595,0.9170276145826584,4.486320942755844,0.7922024527434128,20.01482183948849,1776.0893815030238,5.396249923551594,0.8815855517921013,0.6173907033362273,Web/CloudOps,2
bitbrains_fast_storage/5T/short,LS-MoE,1563429.768078651,1563429.768078651,138.46299405010097,0.6037989281529795,1.618955270822488,0.7078549072399617,12.35686417588766,1250.3718519219196,3.92585835417548,0.4347395545574735,0.3487187212899824,Web/CloudOps,2
bitbrains_fast_storage/H/short,LS-MoE,2855292.394436162,2855292.394436162,305.0408014086451,0.9483097669843946,3.32359948789752,0.565779078700304,18.76986469202532,1689.7610465495295,4.816367932228365,0.8694653820585484,0.6438041646851036,Web/CloudOps,2
bitbrains_rnd/5T/long,LS-MoE,2421532.5422851834,2421532.5422851834,168.42175827126795,3.244582283109864,1.3228665225726095,0.6799227689067157,114.54781482211992,1556.127418396445,5.961173500075046,0.64518580572105,0.6211868643501002,Web/CloudOps,2
bitbrains_rnd/5T/medium,LS-MoE,2216247.53188629,2216247.53188629,144.61856869857564,4.314496666763872,0.5444936153252998,0.7074353680006171,158.460316497007,1488.7066641505603,6.263747921335756,0.6084840491992596,0.6460077593137432,Web/CloudOps,2
bitbrains_rnd/5T/short,LS-MoE,1690470.4817569857,1690470.4817569857,114.63391671058515,1.5710678592948046,0.9657056993778368,0.6325478439250481,50.89175053716066,1300.180941929617,5.319965099122128,0.4690488965104359,0.3726615219705259,Web/CloudOps,2
bitbrains_rnd/H/short,LS-MoE,1952851.547333873,1952851.547333873,155.2851822655817,5.775957793712425,1.4939687377046296,0.5372390063763132,197.8258385350068,1397.4446491127558,6.115901510131359,0.6796039337386774,0.6480180677769581,Web/CloudOps,2
bizitobs_application/10S/long,LS-MoE,5988061.297777778,5988061.297777778,1489.3725,3.173559364634136,0.0460977088080512,0.0470578730557505,62.94001814606373,2447.051551924842,0.0943729972131502,0.0574391441329796,0.0518658353074658,Web/CloudOps,2
bizitobs_application/10S/medium,LS-MoE,3609208.7466666666,3609208.7466666666,1043.7508333333333,2.3424105956119714,0.0336540285746256,0.0342641159536782,26.36734660285985,1899.791764027486,0.0745992311521066,0.0409850232827468,0.0351746802963003,Web/CloudOps,2
bizitobs_application/10S/short,LS-MoE,350039.64444444445,350039.64444444445,318.11875,1.038221761976496,0.014361392127143,0.014495485486518,5.95195022732377,591.6414830321185,0.0228172471419552,0.012268568630516,0.0095735209449911,Web/CloudOps,2
bizitobs_l2c/5T/long,LS-MoE,54.87479662698413,54.87479662698413,4.603836185515873,0.4578156574035252,0.3709165505648367,0.7005453178368788,3.460423395174992,7.407752467988123,0.4159342264676994,0.258498519069255,0.2025027596654323,Web/CloudOps,7
bizitobs_l2c/5T/medium,LS-MoE,51.3702699829932,51.3702699829932,4.430681999362245,0.4388646113560877,0.3197375773384397,0.6019725144050424,2.853809940712271,7.167305629244033,0.377105675892059,0.2331190291669632,0.1821919602606134,Web/CloudOps,7
bizitobs_l2c/5T/short,LS-MoE,13.556345331101191,13.556345331101191,1.999431501116072,0.2062250515557447,0.094319342681403,0.178394340676672,1.6848537018644478,3.681894258544261,0.1264511469727793,0.0686685680945103,0.0538280534848828,Web/CloudOps,7
bizitobs_l2c/H/long,LS-MoE,81.18557787698413,81.18557787698413,5.145545014880953,0.5510932345672781,0.6044052846098219,0.779611420642597,4.883352801323022,9.010303983605889,0.550375372657382,0.31430474046638,0.2541462754649292,Web/CloudOps,7
bizitobs_l2c/H/medium,LS-MoE,74.60234840029761,74.60234840029761,4.784514799572173,0.4837802799006076,0.4583721320023838,0.7575158153396742,3.2800451024868247,8.637265099572758,0.5229995210314387,0.2897096383747504,0.2292110763716878,Web/CloudOps,7
bizitobs_l2c/H/short,LS-MoE,48.60490296378968,48.60490296378968,4.132374596974207,0.408561697575885,0.3516443193101768,0.5862618931791043,2.648419849736994,6.971721664251212,0.3757936525909038,0.2227455739711591,0.1730292262724394,Web/CloudOps,7
bizitobs_service/10S/long,LS-MoE,128850.67851851851,128850.67851851851,75.12880291005291,1.2732779882998204,0.0734941367497519,0.0709429267320037,17.860918786755537,358.9577670402446,0.265927389414782,0.0556578190032258,0.050670270771378,Web/CloudOps,2
bizitobs_service/10S/medium,LS-MoE,17502.504126984128,17502.504126984128,36.22362103174604,0.9690905936985134,0.0593281870039682,0.0528183057821484,9.00976809463669,132.29702992502942,0.0995698623156047,0.0272627508020966,0.0206405671257626,Web/CloudOps,2
