dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/5T/long,Metamorph1.0-4.5M,6449042.012718761,6449042.012718761,437.31996291481545,0.9471446796583155,6.318849422805691,0.8296225416463898,17.91091796636964,2539.4964092746345,6.711130763621636,1.1557060864290807,0.8731031558121145,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,Metamorph1.0-4.5M,5365513.799949208,5365513.799949208,384.363729985111,1.0319248730486204,6.638137360219224,0.8204585177866996,22.65189273071637,2316.3578738936712,7.037734925242768,1.1678031607291126,0.9084414265789802,Web/CloudOps,2
bitbrains_fast_storage/5T/short,Metamorph1.0-4.5M,2980964.441493772,2980964.441493772,241.0680277304164,0.7734879523828617,4.472134406385496,0.7767242291170646,15.171472104208645,1726.5469705437417,5.42093049700919,0.7568939887955185,0.5913511230996735,Web/CloudOps,2
bitbrains_fast_storage/H/short,Metamorph1.0-4.5M,5897606.913806078,5897606.913806078,449.59067389877805,1.134388720013129,6.184561396378463,0.6084321882731321,22.584083826913496,2428.4989013392774,6.922010833713785,1.281479482551039,0.9105754543298672,Web/CloudOps,2
bitbrains_rnd/5T/long,Metamorph1.0-4.5M,3931868.3057551985,3931868.3057551985,243.8181349103673,3.4048849578317646,4.2384390759836545,0.7221853967039833,118.53371881618202,1982.893921962342,7.596019664914736,0.93401231751678,0.8304833414318888,Web/CloudOps,2
bitbrains_rnd/5T/medium,Metamorph1.0-4.5M,3750012.914192856,3750012.914192856,228.37606304528694,4.512050718184483,3.341990565310458,0.7570311299259124,162.91749347023818,1936.495007531095,8.147821781805602,0.9608945304205847,0.8784081405955452,Web/CloudOps,2
bitbrains_rnd/5T/short,Metamorph1.0-4.5M,2033539.5978004255,2033539.5978004255,147.7664570544152,1.7690852624902598,1.3326354962790128,0.7038003446348939,55.22761099778739,1426.0222991946605,5.834871557484232,0.6046176822788432,0.5052010106432113,Web/CloudOps,2
bitbrains_rnd/H/short,Metamorph1.0-4.5M,4815998.156748833,4815998.156748833,315.33491906281967,6.292146651632272,6.533035391373419,0.6508212988943424,214.00782472956502,2194.5382559319473,9.604373135094674,1.3800598905112527,1.121250862329672,Web/CloudOps,2
bizitobs_application/10S/long,Metamorph1.0-4.5M,7052741.973333334,7052741.973333334,1604.851111111111,3.439779678977736,0.04982071770562066,0.05096668297072264,79.30619371713901,2655.699902724955,0.10241973011221761,0.061892692582334985,0.05754856602100042,Web/CloudOps,2
bizitobs_application/10S/medium,Metamorph1.0-4.5M,5077281.706666667,5077281.706666667,1237.6715625,2.6758511829719622,0.03879650115966797,0.03964887823103956,56.34516079310571,2253.2824294053034,0.08847976919630166,0.04859971957431369,0.044615500934684776,Web/CloudOps,2
