dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/5T/long,Metamorph1.0,3207176.5661606207,3207176.5661606207,296.9445743132994,0.9336047467788449,3.936642116018931,0.8261410942396373,17.360118661265403,1790.8591698290015,4.7327060881550125,0.7847358510224672,0.5824543618910742,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,Metamorph1.0,3305066.302004097,3305066.302004097,297.9891811068718,1.0455333030252318,4.583100507717254,0.8169233764647246,21.933886195676635,1817.9841313950178,5.523537905919625,0.9053734347696107,0.6449085630597231,Web/CloudOps,2
bitbrains_fast_storage/5T/short,Metamorph1.0,1913008.4446957838,1913008.4446957838,178.58532532626714,0.7515252070336655,2.530857601823778,0.762412358342208,14.284347006435008,1383.1154849454126,4.342640545630688,0.560713753159305,0.4345517867399288,Web/CloudOps,2
bitbrains_fast_storage/H/short,Metamorph1.0,4211571.669687813,4211571.669687813,398.08320983054415,1.1708948297375406,5.086151524607238,0.6033451683500736,22.24822491582939,2052.2114095988777,5.849469193493817,1.1346664683079815,0.7968552062923265,Web/CloudOps,2
bitbrains_rnd/5T/long,Metamorph1.0,2484565.9500015047,2484565.9500015047,183.56084085182636,3.4015012060451526,1.905437818752039,0.7191834526517943,116.51888153098629,1576.2505987315294,6.03826086098904,0.7031802188165921,0.5953276520072316,Web/CloudOps,2
bitbrains_rnd/5T/medium,Metamorph1.0,2129923.502619162,2129923.502619162,158.89620853869948,4.4667239175325255,1.067944285318085,0.7337482305302888,161.6543584571079,1459.425744126491,6.140548107477829,0.6685573531606464,0.5890369717352876,Web/CloudOps,2
bitbrains_rnd/5T/short,Metamorph1.0,1714501.2578766602,1714501.2578766602,132.19192514091478,1.7344513636254602,1.3312589187570523,0.6909293606538864,54.25950785543633,1309.3896508971882,5.3576444354650885,0.5408911943510156,0.44563605027880776,Web/CloudOps,2
bitbrains_rnd/H/short,Metamorph1.0,2044324.1146867573,2044324.1146867573,186.9760446884632,5.80552895985124,2.6996983262546914,0.5933411047322895,197.4659733221198,1429.7986273202102,6.257498395428627,0.8182986591716892,0.6973773170512173,Web/CloudOps,2
bizitobs_application/10S/long,Metamorph1.0,6696742.684444444,6696742.684444444,1552.7219444444445,4.94722542050855,0.0666963619656033,0.06873028292774873,70.16651466828237,2587.806539222831,0.09980135445947037,0.05988227899023577,0.054946700310885305,Web/CloudOps,2
bizitobs_application/10S/medium,Metamorph1.0,5106973.44,5106973.44,1270.5426041666667,4.504450762601503,0.057816937764485675,0.060382784708927904,54.77618827781459,2259.8613762795276,0.08873810507705483,0.049890468635307474,0.04489062472880037,Web/CloudOps,2
