dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
ett1/W/short,MoiraiAgent-leaking,1922959.1008590756,1922959.1008590756,1023.2215715135846,1.7678688932404552,0.6523123413431963,0.6174924906567194,10.592081938419708,1386.708008507586,0.5518042141837641,0.4071642853008308,0.3176080006270214,Energy,7
saugeen/M/short,MoiraiAgent-leaking,442.6092938609176,442.6092938609176,13.155999881880623,0.7708285039004029,0.4059140170041235,0.376905313222615,6.120241012309893,21.03828162804457,0.6316323287276547,0.3949825840840487,0.3164227285413208,Nature,1
us_births/M/short,MoiraiAgent-leaking,36880588.98640951,36880588.98640951,5135.903645833333,0.5796021824032279,0.0158337987051696,0.0159895124982955,3.116167384532352,6072.93907316791,0.018862507356484,0.0159520817078096,0.0116857772064188,Healthcare,1
bizitobs_application/10S/long,MoiraiAgent-leaking,5800082.536261333,5800082.536261333,1464.715584081014,3.035268031373664,0.0438796853778002,0.0449018324974507,51.59158666862463,2408.336051356067,0.092879895106491,0.056488225442494,0.0503907930633193,Web/CloudOps,2
bizitobs_l2c/H/long,MoiraiAgent-leaking,82.31742262811916,82.31742262811916,5.29689035225837,0.5646743036295974,0.6109710678291644,0.7847466165328574,5.301016690912072,9.0728949419752,0.55419860904321,0.3235493504829356,0.2631600366379862,Web/CloudOps,7
ett1/D/short,MoiraiAgent-leaking,41145.4073356658,41145.4073356658,134.282200280778,1.6076143842723154,1.417166829902787,0.454428059923752,12.384847189063422,202.84330734748383,0.5327746751294115,0.3526966532235528,0.2730852757697575,Energy,7
bizitobs_application/10S/medium,MoiraiAgent-leaking,2828606.770918675,2828606.770918675,938.2000554243724,2.1229976863180413,0.0301435773739771,0.0307052242576038,19.857662706714244,1681.846238786018,0.0660411518278822,0.0368403548887631,0.0303350781574969,Web/CloudOps,2
bizitobs_l2c/H/medium,MoiraiAgent-leaking,70.95556323788983,70.95556323788983,4.829649629224358,0.4854082092213864,0.4647784520085575,0.7602969887287452,3.552974919534388,8.42351252375693,0.510056477894272,0.2924426208660596,0.2310871259677409,Web/CloudOps,7
ett2/W/short,MoiraiAgent-leaking,3344984.803398259,3344984.803398259,1254.9863880702428,0.8198858253264116,0.1308706122168081,0.1447069959259727,6.41122158920198,1828.929961315703,0.153419184549162,0.105274117845128,0.0838331148615692,Energy,7
ett2/D/short,MoiraiAgent-leaking,104282.32720071592,104282.32720071592,189.30453249537757,1.237825686492234,0.4110022840284508,0.1285059927702507,10.336576525749434,322.9277430025422,0.184820067481461,0.1083439785787208,0.0888575059495718,Energy,7
saugeen/W/short,MoiraiAgent-leaking,968.515666503706,968.515666503706,15.271628594398498,1.2386532215612605,0.3978034767671309,0.4018297114926435,12.194035216392564,31.120984343425032,0.9394127902929924,0.4609868078678916,0.3785246081972413,Nature,1
