dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_application/10S/long,MoiraiAgent,5800082.536261333,5800082.536261333,1464.715584081014,3.035268031373664,0.0438796853778002,0.0449018324974507,51.59158666862463,2408.336051356067,0.092879895106491,0.056488225442494,0.0503907930633193,Web/CloudOps,2
us_births/M/short,MoiraiAgent,36880588.98640951,36880588.98640951,5135.903645833333,0.5796021824032279,0.0158337987051696,0.0159895124982955,3.116167384532352,6072.93907316791,0.018862507356484,0.0159520817078096,0.0116857772064188,Healthcare,1
bizitobs_application/10S/medium,MoiraiAgent,2828606.770918675,2828606.770918675,938.2000554243724,2.1229976863180413,0.0301435773739771,0.0307052242576038,19.857662706714244,1681.846238786018,0.0660411518278822,0.0368403548887631,0.0303350781574969,Web/CloudOps,2
bizitobs_l2c/H/medium,MoiraiAgent,72.07051698999693,72.07051698999693,4.835437862036217,0.4850538975787488,0.4969215201972978,0.74767048624491,3.753297796672709,8.48943561080458,0.5140482209464263,0.2927931071546384,0.2328573630165054,Web/CloudOps,7
saugeen/M/short,MoiraiAgent,442.6092938609176,442.6092938609176,13.155999881880623,0.7708285039004029,0.4059140170041235,0.376905313222615,6.120241012309893,21.03828162804457,0.6316323287276547,0.3949825840840487,0.3164227285413208,Nature,1
ett1/W/short,MoiraiAgent,1922959.1008590756,1922959.1008590756,1023.2215715135846,1.7678688932404552,0.6523123413431963,0.6174924906567194,10.592081938419708,1386.708008507586,0.5518042141837641,0.4071642853008308,0.3176080006270214,Energy,7
bizitobs_l2c/H/long,MoiraiAgent,81.09723495423373,81.09723495423373,5.21451426033108,0.5596533733963881,0.6168151419386397,0.7756236060731917,5.343061498901077,9.005400321708843,0.5500758428358709,0.3185175810359744,0.2601056723779683,Web/CloudOps,7
us_births/W/short,MoiraiAgent,1657965.44241333,1657965.44241333,1001.2321428571428,0.910554396027256,0.0136668304001199,0.0136704300942968,5.715512214382463,1287.6200691249458,0.0174793161815247,0.0135916281640429,0.0105582246634151,Healthcare,1
ett2/D/short,MoiraiAgent,103418.37348272692,103418.37348272692,188.2517880447327,1.2326275516819196,0.4107005380526799,0.1282410143251576,10.304021637110829,321.58727195386155,0.1840528805331654,0.1077414651538914,0.0884674189940187,Energy,7
ett2/W/short,MoiraiAgent,3344984.803398259,3344984.803398259,1254.9863880702428,0.8198858253264116,0.1308706122168081,0.1447069959259727,6.41122158920198,1828.929961315703,0.153419184549162,0.105274117845128,0.0838331148615692,Energy,7
ett1/D/short,MoiraiAgent,40896.95245237999,40896.95245237999,133.53619118072683,1.5868363194163402,1.408549837906799,0.4518335763168846,12.346651755565093,202.2299494446359,0.5311636702522917,0.3507372355768938,0.2713967824062409,Energy,7
us_births/D/short,MoiraiAgent,144092.22343805592,144092.22343805592,225.1733553059896,0.3314301858018498,0.0217307261985107,0.0215195303870016,3.065084319944368,379.5948148197706,0.0355839336550964,0.0211081748835481,0.0171657923453774,Healthcare,1
