dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
solar/H/short,PatchFM,724.6174188536464,724.6174188536464,11.126859317349172,0.8575973179441035,4.452235006822844,1.395785802851546,4.206524407988548,26.918718744651397,0.9922329354920881,0.4101397391157236,0.30626755419438084,Energy,1
solar/H/medium,PatchFM,758.7799384124088,758.7799384124088,13.02318872604927,0.9901205648217527,3.3536092157527495,1.4388180902087444,5.326359450885997,27.545960473586845,0.9922697888449885,0.4691256541835393,0.357677936974861,Energy,1
solar/H/long,PatchFM,772.0381690997567,772.0381690997567,13.883103805504867,1.0524861811265873,3.122135284873602,1.4546635589866765,5.642082377947269,27.785574838389735,0.9633766761488971,0.4813525894846121,0.3740006157810007,Energy,1
saugeen/W/short,PatchFM,984.7240234375,984.7240234375,14.830891418457032,1.2030633351118634,0.37440025806427,0.3917779302071381,11.096818137157173,31.38031267271727,0.9472408315507526,0.44768278972797376,0.36388463667632565,Nature,1
electricity/D/short,PatchFM,1109374853.3494775,1109374853.3494775,4076.5759031531534,1.4067102320349143,0.35881701062597676,0.09542886253717077,11.581170836643368,33307.27928470708,0.5473492265361743,0.06699168216154427,0.0527401233068385,Energy,1
electricity/H/short,PatchFM,1495850.1215075904,1495850.1215075904,162.46733770834433,0.8854861377018515,0.1783319818782984,0.11659914653375618,10.519978118831235,1223.0495171936377,0.5773667146128166,0.07669618579286554,0.06301168699230891,Energy,1
electricity/H/medium,PatchFM,7233242.662282517,7233242.662282517,260.99170330975505,1.100180925559821,0.21750813204734679,0.12855838462314892,15.287684014027118,2689.4688438951134,1.049788309206591,0.10187366161776633,0.08693102528384754,Energy,1
electricity/H/long,PatchFM,12446796.983608108,12446796.983608108,317.4000149680931,1.2810119396819606,0.3115791461420228,0.14480450286029917,19.960796056625576,3528.0018400800345,1.391442882031331,0.1251824720062992,0.10849083102397204,Energy,1
us_births/D/short,PatchFM,203116.2,203116.2,285.4854427083333,0.42031360728502365,0.02735003153483073,0.027035649237093888,4.160295052287719,450.684146603805,0.04224798165319486,0.026761943673157044,0.021940083677581965,Healthcare,1
solar/10T/short,PatchFM,36.662137887773724,36.662137887773724,2.7636757064039688,1.2245092860022335,4.7734784341438665,1.6276808635835156,6.196291898634582,6.054926745037774,1.7613775115962962,0.8039529532862401,0.6187295053407027,Energy,1
solar/10T/medium,PatchFM,33.068662301620215,33.068662301620215,2.5705089627312128,1.133416721629555,2.34618184177185,1.5643444104409538,8.278204547754754,5.750535827348632,1.2760667477265377,0.5704061518014559,0.4462497813355134,Energy,1
solar/10T/long,PatchFM,44.36836769122567,44.36836769122567,3.0947600254080494,1.36414628924018,1.6610693444578215,1.6433498816055174,11.941335538309284,6.660958466408995,1.4396596289000287,0.6688828780695818,0.5326893376008767,Energy,1
saugeen/M/short,PatchFM,455.59551711309524,455.59551711309524,12.968221028645834,0.7597028012707938,0.3467032341730027,0.36009670811844935,5.054449395459163,21.34468357959647,0.6408314345104883,0.3893448995786567,0.30205349671723547,Nature,1
m4_daily/D/short,PatchFM,355712.3825262872,355712.3825262872,170.6448504917764,3.1850054322129937,0.037243234073407884,0.029430653432250514,24.80729666310745,596.4162829151189,0.09212983259326016,0.02635991330060103,0.020785947508380392,Econ/Fin,1
electricity/15T/short,PatchFM,137529.23523531045,137529.23523531045,52.58589469428535,0.9782798989499464,0.16906653877655548,0.15948636098771152,10.757959304325157,370.849343042846,0.7310171655332278,0.10365716538967681,0.08566091613676849,Energy,1
electricity/15T/medium,PatchFM,284458.8824293191,284458.8824293191,58.36421987997519,0.9088658520125658,0.15342656813466138,0.13721045037700122,10.811726167887464,533.3468687723957,0.9190103731339878,0.10056742924736226,0.08415205174450434,Energy,1
electricity/15T/long,PatchFM,382873.1689803456,382873.1689803456,65.28469857870566,0.954960789903363,0.1550558109487234,0.1399952605217045,11.798902444106979,618.7674595357659,0.9761815391449963,0.10299461705531777,0.08647289950459122,Energy,1
kdd_cup_2018/H/short,PatchFM,4384.375982471763,4384.375982471763,23.183637606673553,0.9874269085198719,0.909129667531764,0.5446730441074953,10.737989759803058,66.21462060958865,1.3859919280071813,0.4852755220655925,0.39486095275269306,Nature,1
kdd_cup_2018/H/medium,PatchFM,5458.766502262027,5458.766502262027,28.281562372473047,1.2556179879597984,1.0011907053409594,0.8266774237512202,30.735791399526605,73.88346568930038,1.5465147593840118,0.5919843258490117,0.5337216575563225,Nature,1
kdd_cup_2018/H/long,PatchFM,4461.595192200655,4461.595192200655,28.010972497671094,1.3051042318884496,1.0271087271821617,0.9799047286367231,37.292137737545595,66.79517341994595,1.5672846840399568,0.6572506055887395,0.6053628218020807,Nature,1
m4_hourly/H/short,PatchFM,1233770.0839760131,1233770.0839760131,214.08154015226256,0.8053454396121129,0.09000430878809684,0.08487387529229658,6.126059002202303,1110.752035323822,0.15164218615893413,0.029226858680026127,0.0224208066557747,Econ/Fin,1
ett2/W/short,PatchFM,2505642.5714285714,2505642.5714285714,1046.197474888393,0.6543109161911567,0.10966650077274867,0.11175977376967297,8.343279553377617,1582.922162150929,0.13278290172866383,0.08775992895829846,0.07844372063380746,Energy,7
solar/D/short,PatchFM,120216.73868613139,120216.73868613139,252.2483120437956,0.9831342754670843,1.0190072832316377,0.43176281364020386,5.811213606761407,346.7228557308148,0.5008964532173172,0.3644129100358094,0.2760805928587312,Energy,1
jena_weather/10T/short,PatchFM,1192.141134091029,1192.141134091029,7.3541743036300415,0.3187182024011216,0.348086258257381,0.5879716963020907,2.3510571875084776,34.52739686236176,0.21445841147304728,0.04567864021546513,0.03543980767836233,Nature,21
jena_weather/10T/medium,PatchFM,3630.2454339009514,3630.2454339009514,12.108669352565837,0.8568989238636525,0.7562995820094215,0.6820006908129096,19.96941138118649,60.251518104533694,0.3697625325909022,0.07431069601171894,0.06390216065662789,Nature,21
jena_weather/10T/long,PatchFM,2202.7407510747353,2202.7407510747353,11.737958893952547,0.6771380367090555,0.8602234733849832,0.6774180708224999,16.778964823453453,46.93336500907148,0.2871933073154404,0.07182658297003308,0.06387974136073396,Nature,21
ett2/D/short,PatchFM,102093.23174603174,102093.23174603174,191.67589285714286,1.2764860990685762,0.4463401673332093,0.13401344614806104,10.712372588794432,319.52031507563294,0.18286990657693747,0.10970117067999188,0.08989749858270785,Energy,7
us_births/M/short,PatchFM,54415978.666666664,54415978.666666664,6248.962239583333,0.7062914942802826,0.01923838381965955,0.019482692758875157,3.454518480473793,7376.718692390721,0.02291203796473291,0.019409234111259523,0.01463743702041614,Healthcare,1
ett1/D/short,PatchFM,45185.5873015873,45185.5873015873,142.97073412698413,1.7577171908679716,1.2912023150731646,0.480913098709415,10.9267180999206,212.56901773679837,0.5583195760720555,0.3755173755722253,0.28599849746967904,Energy,7
covid_deaths/D/short,PatchFM,260595.76127819548,260595.76127819548,104.64043923284774,47.47053249441246,0.12887500887840114,0.20125166875519498,837.4172293867467,510.4858090860073,0.19207276092207418,0.03937147264394447,0.04036643990192747,Healthcare,1
electricity/W/short,PatchFM,48265230558.78919,48265230558.78919,29460.40489161036,1.563871254290718,0.2564152731386706,0.10095939406086246,12.454244161519021,219693.49229958814,0.5012680531712606,0.06721892237716635,0.052392061614012504,Energy,1
kdd_cup_2018/D/short,PatchFM,2951.445387305506,2951.445387305506,21.374943408855724,1.2046293765961569,0.5090705957316966,0.469259931627529,9.220514078884337,54.32720669522321,1.2169871355070334,0.4788214364986945,0.38129947812120657,Nature,1
m4_monthly/M/short,PatchFM,1935039.6698990162,1935039.6698990162,570.4386817107024,0.9667884292990908,0.1610003915379445,0.13391625736665896,8.330892044440919,1391.0570333020196,0.2891094061276809,0.11855674106342115,0.09552133926417197,Econ/Fin,1
car_parts/M/short,PatchFM,1.4105296802660123,1.4105296802660123,0.470842035323227,0.8476602602313043,0.8474678817780974,1.9068497311761712,20.0320853623839,1.1876572233881342,2.8478801912846405,1.1290309015221185,0.9915542970990529,Sales,1
bitbrains_fast_storage/H/short,PatchFM,2778078.0263517955,2778078.0263517955,292.0330087377886,1.067815452744784,3.1451811693679734,0.55491288774219,20.519307830190712,1666.756738804975,4.7507980668959835,0.832388926998447,0.6336750138481891,Web/CloudOps,2
solar/W/short,PatchFM,1838925.3576642335,1838925.3576642335,1098.0280494411497,1.205831683715427,0.25149113070355716,0.21456383927432846,6.844486683776416,1356.069820350056,0.2768077408636324,0.22413496651097636,0.1618473425306975,Energy,1
jena_weather/H/short,PatchFM,1125.7198853711834,1125.7198853711834,8.386477388335749,0.5151833612555099,1.253401538726636,0.6027770694906411,4.717324588510026,33.551749363798955,0.20567008244911023,0.05140857119592268,0.041004694524468234,Nature,21
jena_weather/H/medium,PatchFM,1128.639384920635,1128.639384920635,9.631915380084326,0.8055201295907237,2.350473146093703,0.6632224695875392,13.421745008769104,33.595228603488245,0.20557516594239836,0.058939399578855044,0.050457953504444986,Nature,21
jena_weather/H/long,PatchFM,1198.2752645502646,1198.2752645502646,11.35986328125,1.0205507142848613,2.350018925324839,0.6543012777417035,23.82303742083946,34.61611278798162,0.208427364032445,0.06839896709320706,0.059296893441810355,Nature,21
temperature_rain/D/short,PatchFM,188.40851641130124,188.40851641130124,5.854490403946662,1.3633006968266974,24.379335158004817,1.5191862682936395,19.785919465317164,13.726198177620097,1.6159364349138563,0.6892283084631412,0.5562330141578229,Nature,1
ett1/H/short,PatchFM,99.17892456054688,99.17892456054688,4.893570745558966,0.8109574851513892,0.4831116585504441,0.25966117816750095,5.557238399393917,9.958861609669395,0.46482081471364844,0.2284029671223743,0.1767466816562488,Energy,7
ett1/H/medium,PatchFM,160.3054501488095,160.3054501488095,7.3802106584821425,1.302116198764352,3299171186615.9185,0.4660744549445453,18.49797086472057,12.661178860943775,0.6064404542205775,0.3534945958136349,0.29196817053457214,Energy,7
