dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/5T/long,PatchTST-FM-r1,3963596.2731543984,3963596.2731543984,352.5434826670514,0.8797694476386504,4.1081854286411685,0.8293920098845844,16.133208144852304,1990.8782667843852,5.261296865393238,0.9316671698199084,0.6834124649451816,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,PatchTST-FM-r1,2921895.543833521,2921895.543833521,266.30640919626904,0.9766616998331876,3.337360413806344,0.8158660437705388,20.803837593154928,1709.355300642181,5.193493808348751,0.8091124687563876,0.6216008248673692,Web/CloudOps,2
bitbrains_fast_storage/5T/short,PatchTST-FM-r1,1697146.698417202,1697146.698417202,160.63920341217968,0.687624021348568,1.7001684981853635,0.7549356647945814,13.373434108661632,1302.745830320405,4.090299768255742,0.5043673763500158,0.3900113374237228,Web/CloudOps,2
bitbrains_fast_storage/H/short,PatchTST-FM-r1,2518220.652597486,2518220.652597486,283.5538990137864,1.0395623242658685,3.523696400636635,0.5770457850160442,22.46941555384954,1586.8902459204562,4.523152559246631,0.8082206991351422,0.6349661997734519,Web/CloudOps,2
bitbrains_rnd/5T/long,PatchTST-FM-r1,2195655.983634115,2195655.983634115,152.48983685401197,3.295938909839324,0.9695883816904296,0.695676242221646,115.5016216331991,1481.774606218542,5.676344924715512,0.5841542349722959,0.5610908192920235,Web/CloudOps,2
bitbrains_rnd/5T/medium,PatchTST-FM-r1,2252246.626834685,2252246.626834685,144.54221157691424,4.373931127052579,0.3871518981710227,0.7209210436750704,159.12556401543253,1500.7486887666053,6.314413932837834,0.6081626867284261,0.595316550063181,Web/CloudOps,2
bitbrains_rnd/5T/short,PatchTST-FM-r1,1631778.1516590363,1631778.1516590363,121.93695315818664,1.654129640210054,1.0066700704954157,0.6739013568166801,51.15528638640983,1277.410721600158,5.226795884019823,0.498930809096983,0.3990364964406948,Web/CloudOps,2
bitbrains_rnd/H/short,PatchTST-FM-r1,1854241.5317335152,1854241.5317335152,155.89833127317675,5.786635360098222,1.623052644088761,0.56780917666553,193.90873746621847,1361.7053762593123,5.959489226580281,0.6822874036207192,0.6155677518047236,Web/CloudOps,2
bizitobs_application/10S/long,PatchTST-FM-r1,4451116.373333333,4451116.373333333,1301.9711111111112,2.785832170430785,0.0401415210300021,0.0408913718329535,40.46877111177244,2109.766900236453,0.0813652763628114,0.0502118216282943,0.0437200696812821,Web/CloudOps,2
bizitobs_application/10S/medium,PatchTST-FM-r1,3442616.7466666666,3442616.7466666666,1015.4584375,2.199273533026733,0.0317380332946777,0.0323016611735026,30.304967364082973,1855.4289926231795,0.0728572356864973,0.0398740641678682,0.0344653873934104,Web/CloudOps,2
bizitobs_application/10S/short,PatchTST-FM-r1,396251.9111111111,396251.9111111111,335.6299305555556,0.8708288126948269,0.0129473718007405,0.0130046102735731,6.555705093572008,629.4854335972447,0.0242767370486586,0.0129439048703548,0.0101856385798053,Web/CloudOps,2
bizitobs_l2c/5T/long,PatchTST-FM-r1,157.21184523809524,157.21184523809524,8.811754092261905,0.8840677895623555,0.6809548739967544,0.9995436507936508,4.642079122308026,12.53841478170567,0.7040132450290019,0.4947668186844734,0.3626443482743184,Web/CloudOps,7
bizitobs_l2c/5T/medium,PatchTST-FM-r1,100.75716411564626,100.75716411564626,6.5881816007653065,0.6647171353147934,0.4385002691074258,0.7865620515784438,4.170532367329468,10.037786813618142,0.528135198444038,0.3466352356064204,0.2689970352129537,Web/CloudOps,7
bizitobs_l2c/5T/short,PatchTST-FM-r1,20.210028366815475,20.210028366815475,2.596833147321429,0.265623910275975,0.1404599538346777,0.2040685017903646,2.9512146631857896,4.49555651358266,0.1543956073159361,0.0891857614663426,0.0723064029577012,Web/CloudOps,7
bizitobs_l2c/H/long,PatchTST-FM-r1,83.54987599206349,83.54987599206349,5.243330698164683,0.5644076179043155,0.5760710067074558,0.7978568909660219,4.17785550972483,9.140562126700058,0.5583319159857263,0.3202777722282121,0.2538278972375415,Web/CloudOps,7
bizitobs_l2c/H/medium,PatchTST-FM-r1,76.89467075892857,76.89467075892857,4.865476771763393,0.4960727680655011,0.4530371210146007,0.7660351707821801,3.580428882335067,8.768960643025407,0.5309738862215401,0.2946120087651027,0.2315709156645362,Web/CloudOps,7
bizitobs_l2c/H/short,PatchTST-FM-r1,61.47789171006944,61.47789171006944,4.738043406653026,0.474215010550257,0.3937309137065348,0.6240475366985987,2.783165169019389,7.840783870893869,0.4226383312357205,0.2553926739574771,0.1951113630657894,Web/CloudOps,7
bizitobs_service/10S/long,PatchTST-FM-r1,128241.6965079365,128241.6965079365,72.5991798941799,1.2238110706500405,0.0855837609023644,0.0777257267381779,13.928026600548078,358.10849823473404,0.2652982239332185,0.053783793403052,0.047989600673952,Web/CloudOps,2
bizitobs_service/10S/medium,PatchTST-FM-r1,18247.91619047619,18247.91619047619,36.66415178571429,0.9934111057685164,0.0740190148732018,0.0610556950644841,9.588169038381151,135.08484811582753,0.1016680399812409,0.0275943046286886,0.0218422475219499,Web/CloudOps,2
bizitobs_service/10S/short,PatchTST-FM-r1,2442.651216931217,2442.651216931217,18.5728835978836,0.6732427289396902,0.0585957586702215,0.0500974269644923,5.304329267074427,49.4231850140318,0.0366142754779052,0.0137593859294764,0.0108681388895428,Web/CloudOps,2
car_parts/M/short,PatchTST-FM-r1,40.05825960137256,40.05825960137256,0.7061695409546466,2.008152544170945,0.8591699306386479,1.908908106597499,31.17455820027039,6.329159470369866,15.176675161985978,1.693322120027278,1.4839786785310778,Sales,1
covid_deaths/D/short,PatchTST-FM-r1,287003.0756892231,287003.0756892231,103.20888157894736,31.882086235616217,0.0865231223321659,0.3588205437911184,551.7273442670315,535.7266800237068,0.2015697705047671,0.0388328439662581,0.0311557439650033,Healthcare,1
electricity/15T/long,PatchTST-FM-r1,327372.61426426424,327372.61426426424,57.530309215465465,0.8614837323850127,0.1266968880795095,0.1298965532915728,7.14277252413473,572.1648488541255,0.9026601704201124,0.0907611133832402,0.0724784463493436,Energy,1
electricity/15T/medium,PatchTST-FM-r1,268713.65016216214,268713.65016216214,52.29111204954955,0.8138964655774179,0.1214987090762035,0.1279756491721213,7.1466404202918055,518.3759737508695,0.8932140023438907,0.0901028516866377,0.0726879971462578,Energy,1
