dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/5T/long,Prism,3281613.575843364,3281613.575843364,327.98420386739116,0.8390429477174025,4.026429791907657,0.8122528441087676,15.01857199059671,1811.5224469609434,4.78731297757318,0.8667643275674088,0.6609274914257548,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,Prism,2609094.5474075074,2609094.5474075074,268.46921664105366,0.9291167530193343,3.482363109836607,0.7989642178771484,20.400766926864975,1615.2691872896937,4.907633905475255,0.8156836275536025,0.6131443399848435,Web/CloudOps,2
bitbrains_fast_storage/5T/short,Prism,1551262.8657609464,1551262.8657609464,150.31377139349414,0.6420901493781022,1.9063717179090167,0.7183761224185564,12.898965575487082,1245.4970356291285,3.9105526735286875,0.47194806874356987,0.369257123937424,Web/CloudOps,2
bitbrains_fast_storage/H/short,Prism,2930043.825862075,2930043.825862075,318.2285295215437,0.9494885937276898,3.774907854099417,0.5696815067852489,18.134076407485125,1711.7370784855002,4.879006734067446,0.9070546861564319,0.6665940656554554,Web/CloudOps,2
bitbrains_rnd/5T/long,Prism,2333499.1406878578,2333499.1406878578,170.8973869600088,3.2592778684577053,1.4738939783564597,0.6818216550311001,114.75121913330085,1527.5795038844485,5.8518129653361814,0.6546693918134044,0.7163854028389554,Web/CloudOps,2
bitbrains_rnd/5T/medium,Prism,2245484.2355654687,2245484.2355654687,164.21835487457915,4.341916014670598,1.2533003805534917,0.7126149939763271,158.89308032007523,1498.4939891656118,6.304928119740367,0.6909503347442572,0.7850039333001886,Web/CloudOps,2
bitbrains_rnd/5T/short,Prism,1538172.574876284,1538172.574876284,115.68856021589136,1.5915829998309066,0.9354866151518638,0.6404331919446776,51.704587787905524,1240.2308554766262,5.074666649442173,0.4733641931718822,0.39032967733894636,Web/CloudOps,2
bitbrains_rnd/H/short,Prism,1848193.5439998263,1848193.5439998263,149.6148844970929,5.7794672959191535,1.3523302245812605,0.5331263903990637,194.86147780908865,1359.482822252575,5.949762062214651,0.6547879452043912,0.6883490737179009,Web/CloudOps,2
bizitobs_application/10S/long,Prism,6176734.084693508,6176734.084693508,1507.897010230226,3.177622767142275,0.04612801121358404,0.04714651825312057,39.09406947847323,2485.3036202229914,0.09584823204083849,0.05815356375542782,0.05136296159472434,Web/CloudOps,2
bizitobs_application/10S/medium,Prism,3278141.4140713518,3278141.4140713518,1002.1718309742977,2.247328301540805,0.032055072032281376,0.032660477560594356,15.576425849628958,1810.5638387174731,0.07109551368074593,0.03935233853447653,0.03220744491694415,Web/CloudOps,2
bizitobs_application/10S/short,Prism,372945.68907227117,372945.68907227117,328.5168995781193,1.059727015728156,0.014738622232139077,0.014894140181134708,5.988275838198538,610.6927943510315,0.023551981408763988,0.012669584417728088,0.00979933210628716,Web/CloudOps,2
bizitobs_l2c/5T/long,Prism,82.37120150931976,82.37120150931976,5.669981012759552,0.5571983913657516,0.42348027139967853,0.7261693136951185,3.651761938876635,9.075858169303869,0.5095958706243259,0.31836095901025097,0.24991089769650085,Web/CloudOps,7
bizitobs_l2c/5T/medium,Prism,65.92068063299658,65.92068063299658,5.170726279867485,0.507943817581403,0.3611396095566109,0.617187109113883,3.411289651011512,8.11915516744178,0.4271869711096198,0.272056248757404,0.21264521297228364,Web/CloudOps,7
bizitobs_l2c/5T/short,Prism,14.713548728473693,14.713548728473693,2.1512426185771187,0.22315638955961942,0.11421773788811977,0.1868348039644078,2.1907060418136357,3.835824387074269,0.13173773154772372,0.07388237676759092,0.05969743357520534,Web/CloudOps,7
bizitobs_l2c/H/long,Prism,81.22875972069458,81.22875972069458,5.2172830057579045,0.557918379843916,0.6116839042864521,0.7786507437336426,4.453729546978456,9.012699912939217,0.5505217565645246,0.3186867234645778,0.2557895720596079,Web/CloudOps,7
bizitobs_l2c/H/medium,Prism,72.4812068966838,72.4812068966838,4.7776629389276275,0.48475854923830264,0.4674018144165609,0.753035078869297,3.431510780611157,8.513589542412989,0.5155107853692561,0.28929475183250425,0.22968001570248495,Web/CloudOps,7
bizitobs_l2c/H/short,Prism,53.40052621094677,53.40052621094677,4.368979338657666,0.4345038139377939,0.397379226153205,0.5941503569649146,2.8060415294734584,7.307566367194127,0.39389657156951036,0.23549919306666003,0.18309069539461548,Web/CloudOps,7
bizitobs_service/10S/long,Prism,130229.32086930709,130229.32086930709,76.09429620454878,1.3128528155866257,0.07561247750331954,0.07323394102010006,17.76830574332229,360.87299825465897,0.2673462600229729,0.056373088587277756,0.051370302119944686,Web/CloudOps,2
bizitobs_service/10S/medium,Prism,9133.098597432378,9133.098597432378,31.841233619325397,0.9778819030986753,0.05992429862721985,0.053036219227244184,9.304792540336226,95.56724646777461,0.07192615736264657,0.02396446130418391,0.0185027084594734,Web/CloudOps,2
