dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/5T/long,RAES-MultiMetric-Router,3816042.9198732595,3816042.9198732595,314.3673533887795,0.8346131978963981,4.131599437953101,0.8021425787586404,24.459924354817133,1953.4694571129746,5.162436612641367,0.8307790680033887,0.6154203445767079,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,RAES-MultiMetric-Router,4095070.4742762395,4095070.4742762395,299.0401809776391,0.9260499097866374,4.5164970591999625,0.7856835641018651,20.11408071552894,2023.628047412923,6.148340946701149,0.908566666569122,0.5996874431271497,Web/CloudOps,2
bitbrains_fast_storage/5T/short,RAES-MultiMetric-Router,1622917.8898659262,1622917.8898659262,137.43670769161082,0.6140522177064889,1.44579239503953,0.7096527278450603,13.67376545952566,1273.9379458458432,3.999850084649077,0.43151727184732225,0.34353561258524723,Web/CloudOps,2
bitbrains_fast_storage/H/short,RAES-MultiMetric-Router,2942650.532211141,2942650.532211141,292.0852416366856,1.067530549075558,3.8830219704962157,0.5814351530194842,22.434349139149173,1715.4155567124665,4.889491578703148,0.8325378207383431,0.6148646641207637,Web/CloudOps,2
bitbrains_rnd/5T/long,RAES-MultiMetric-Router,2298642.4669177774,2298642.4669177774,154.90542889216866,3.240126610003472,1.329104937427155,0.6638509278505145,114.73588107755697,1516.1274573457792,5.807942709963698,0.5934077983411146,0.5722116385604511,Web/CloudOps,2
bitbrains_rnd/5T/medium,RAES-MultiMetric-Router,2214564.799986386,2214564.799986386,139.36633922417826,4.313934338292477,0.3241996512657265,0.686519068957464,158.7936769767215,1488.1413911273305,6.261369732679067,0.5863852610883319,0.6039890851685534,Web/CloudOps,2
bitbrains_rnd/5T/short,RAES-MultiMetric-Router,1711117.1871855566,1711117.1871855566,114.29208853184127,1.5796485208556081,1.0682971074181746,0.6331011803680187,50.51916333484332,1308.0967805118842,5.3523543939130445,0.4676502315092592,0.375683577264524,Web/CloudOps,2
bitbrains_rnd/H/short,RAES-MultiMetric-Router,2235573.0294696013,2235573.0294696013,196.98314415000294,5.809325524504389,3.010030253358116,0.5586869920028766,197.04698161166527,1495.1832762138565,6.543653627215469,0.8620946249355383,0.6697196831892436,Web/CloudOps,2
bizitobs_application/10S/long,RAES-MultiMetric-Router,5508384.300017633,5508384.300017633,1444.5293931749131,2.949662855319931,0.04264469994439019,0.043645824856228296,21.627559402395445,2346.994737961215,0.09051421292771793,0.055709729109900526,0.0453959746803575,Web/CloudOps,2
bizitobs_application/10S/medium,RAES-MultiMetric-Router,4205192.96,4205192.96,1126.6022916666666,2.3909847337096743,0.03416107813517252,0.034974956856962676,35.32206184271865,2050.656714323487,0.0805232537281513,0.04423835620508503,0.03936664776546983,Web/CloudOps,2
bizitobs_application/10S/short,RAES-MultiMetric-Router,350700.42903293227,350700.42903293227,331.1221064376831,0.9533217933281292,0.013955807901091046,0.014033775702118874,5.947966460577738,592.1996530165585,0.022838774825663807,0.012770056838446467,0.009682364086539587,Web/CloudOps,2
bizitobs_l2c/5T/long,RAES-MultiMetric-Router,118.33850847274537,118.33850847274537,6.077939966595362,0.6064908389649042,0.45039065444570825,0.7893094657716297,3.4539642405204383,10.878350448149083,0.6108031164940005,0.34126724370159867,0.26919251543454786,Web/CloudOps,7
bizitobs_l2c/5T/medium,RAES-MultiMetric-Router,111.44142581786022,111.44142581786022,6.146854371765033,0.6215585080121612,0.4235852684138554,0.7185434333321189,3.41221843990027,10.556582108706408,0.5554314759549612,0.32341494254791764,0.2518559736324187,Web/CloudOps,7
bizitobs_l2c/5T/short,RAES-MultiMetric-Router,15.351212565104166,15.351212565104166,2.180554489862351,0.2255713177590444,0.10809051315321785,0.19120059106694587,2.010312064417363,3.918062348292095,0.13456212015988447,0.07488906740035331,0.0597624375912477,Web/CloudOps,7
bizitobs_l2c/H/long,RAES-MultiMetric-Router,99.56886092897446,99.56886092897446,5.755020722888765,0.6107828837342615,0.7120026713910353,0.8073437221466548,15.002674188255908,9.978419761113202,0.6095107037503958,0.35153329032880004,0.32129082212114296,Web/CloudOps,7
bizitobs_l2c/H/medium,RAES-MultiMetric-Router,73.60548531668526,73.60548531668526,5.0403421674455915,0.5085751385579764,0.5616613788930584,0.79505371820359,10.486613907787998,8.579363922616015,0.5194935293908364,0.3052003814643358,0.27381498975557156,Web/CloudOps,7
bizitobs_l2c/H/short,RAES-MultiMetric-Router,46.108237888604876,46.108237888604876,4.123808488959358,0.4060164754519652,0.355563944835457,0.5910851796941151,2.7423540047059105,6.790304697773501,0.36601484338355766,0.22228385697112532,0.17298983955091907,Web/CloudOps,7
bizitobs_service/10S/long,RAES-MultiMetric-Router,131193.93185185184,131193.93185185184,75.72597222222223,1.286232755016694,0.07307256143559855,0.07106749974595827,21.26073078934347,362.2070289928839,0.2683345465455909,0.056100221120703946,0.052240652323467404,Web/CloudOps,2
bizitobs_service/10S/medium,RAES-MultiMetric-Router,20326.73523809524,20326.73523809524,38.32076884920635,1.0144252554441588,0.05998004247271825,0.05405418435652812,10.257975805132384,142.5718599096443,0.10730294148952196,0.0288411136690357,0.022917612889897732,Web/CloudOps,2
bizitobs_service/10S/short,RAES-MultiMetric-Router,1780.5178835978836,1780.5178835978836,16.917083746693123,0.7032064492669009,0.04826577322823661,0.038607342113607404,5.533290508045915,42.196183282352486,0.0312602824726319,0.012532716833561774,0.009903317260687316,Web/CloudOps,2
car_parts/M/short,RAES-MultiMetric-Router,1.379375353654826,1.379375353654826,0.45224767673542393,0.8265859812656304,0.846109142372646,1.907674105816412,15.108853375826527,1.1744681152142131,2.8162540628280923,1.0844435370460452,0.9362376936552526,Sales,1
covid_deaths/D/short,RAES-MultiMetric-Router,522286.2514853578,522286.2514853578,110.01644685009306,32.4033037623041,0.08602618876633475,0.36005442162093365,543.468551097237,722.6937466765281,0.27191702639845955,0.04139422157722273,0.035176403926279284,Healthcare,1
electricity/15T/long,RAES-MultiMetric-Router,319000.44490447093,319000.44490447093,57.84972011720437,0.8734206282026211,0.12517153733153313,0.1310267784102364,7.404760755454681,564.8012437171778,0.8910432135478713,0.09126502657258753,0.07349292563717101,Energy,1
