dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,RacineCast-1-NC,39.21305704500653,39.21305704500653,3.4012035673001724,0.5393770317958407,0.0892952264523973,0.0725084196795374,3.894842444283327,6.262032980191539,0.1073800406408071,0.0583231321903992,0.0458510233356869,Transport,1
loop_seattle/5T/medium,RacineCast-1-NC,62.60624488035346,62.60624488035346,4.545854751697143,0.7241214687470308,0.1418003313755472,0.1046162593672273,5.173969237210741,7.912410813421751,0.1407780462882866,0.0808800965653471,0.0636111682926294,Transport,1
loop_seattle/5T/long,RacineCast-1-NC,77.17978119445878,77.17978119445878,4.985287049578603,0.7901059862593817,0.1525585607863965,0.1136887826341074,5.703472614674587,8.785202399174352,0.1553241839474998,0.0881408996100771,0.0694704628003658,Transport,1
loop_seattle/D/short,RacineCast-1-NC,17.78185256627322,17.78185256627322,2.8424234774090555,0.8584336464243211,0.0527894922577313,0.0524641804650841,7.074170022840759,4.2168533963458135,0.0753608045362757,0.0507979054419985,0.0412591217613016,Transport,1
loop_seattle/H/short,RacineCast-1-NC,51.29476533379756,51.29476533379756,3.7773424388596872,0.7698400681953009,0.1041093171371278,0.0866202726530411,6.269875072374381,7.162036395732541,0.1267753298156074,0.0668628036850332,0.053443450378554,Transport,1
loop_seattle/H/medium,RacineCast-1-NC,55.58056620468911,55.58056620468911,4.012950879107811,0.8242623141347286,0.1092488504415695,0.0913133642867868,6.38331430579029,7.455237501561511,0.1317704893982879,0.0709284581692495,0.0565470127387216,Transport,1
loop_seattle/H/long,RacineCast-1-NC,53.69724667827657,53.69724667827657,3.932209580995227,0.825371095606186,0.1157841701133578,0.0908433962081526,6.30382482928875,7.327840519435216,0.1309582992806408,0.0702738382169192,0.0558400685932816,Transport,1
m_dense/D/short,RacineCast-1-NC,8398.611851851852,8398.611851851852,42.35759548611111,0.6337240950915833,0.1186114651260771,0.0915815113208912,6.854104158193452,91.64394061721622,0.158649217122966,0.0733272632955766,0.0610223878459531,Transport,1
m_dense/H/short,RacineCast-1-NC,41289.28916666667,41289.28916666667,82.6237353515625,0.7363048546132152,0.2699575980798061,0.1980408096313476,8.234659254784347,203.19766033758032,0.3604220574483197,0.1465539349222914,0.1213807972159611,Transport,1
m_dense/H/medium,RacineCast-1-NC,35749.1,35749.1,77.8464453125,0.6765608452935511,0.2535897909444464,0.1848298602634006,6.505331762218617,189.0743240104272,0.3289654367753654,0.1354429799903654,0.1118107114665909,Transport,1
m_dense/H/long,RacineCast-1-NC,33301.36098765432,33301.36098765432,77.32811728395062,0.6684560006291135,0.2511057115980757,0.1831459780092592,6.619523903536467,182.48660495404675,0.3159112896010011,0.1338664021928727,0.1115212032348926,Transport,1
sz_taxi/15T/short,RacineCast-1-NC,16.52114473186861,16.52114473186861,2.7068826957208914,0.5398706375111004,1090686279552.029,0.3886887663304442,3.7763630965002144,4.064621105572893,0.3800594676290119,0.2531051159625528,0.1987186820684886,Transport,1
sz_taxi/15T/medium,RacineCast-1-NC,16.177560346554486,16.177560346554486,2.7329661833934296,0.5328234506558843,9948413188645.637,0.4022676255967882,3.764082327054876,4.022133805152992,0.3743266787605949,0.2543481157399656,0.2004391931376478,Transport,1
sz_taxi/15T/long,RacineCast-1-NC,15.42734375,15.42734375,2.6803930733618233,0.5056159285329425,6295080452236.034,0.3960327496216168,3.9298044530664153,3.927765745306102,0.3635469727028679,0.2480923890735966,0.1976138739035983,Transport,1
sz_taxi/H/short,RacineCast-1-NC,7.105368980994592,7.105368980994592,1.831783074599046,0.5578478473798386,1.1346210169995952,0.2927889925801856,3.844522318731545,2.6655897998369125,0.248316135893509,0.1706418950535435,0.1342184838512632,Transport,1
bitbrains_fast_storage/5T/short,RacineCast-1-NC,1526038.9901936525,1526038.9901936525,139.82069698433816,0.6211655653174548,1.6697573651032709,0.7088997507485076,13.573338308935131,1235.3295067283273,3.878629110767701,0.4390024059633739,0.3510944071348423,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,RacineCast-1-NC,3323658.2012090883,3323658.2012090883,287.0641196111594,0.9214467901547028,4.396362867984058,0.7919334202776147,19.98693056989653,1823.0902888252924,5.539051792256425,0.8721800757598582,0.6052314413058304,Web/CloudOps,2
bitbrains_fast_storage/5T/long,RacineCast-1-NC,3616300.228678349,3616300.228678349,340.4008811366413,0.8271596990801724,4.568817265400053,0.807381033286255,20.032010094493177,1901.6572321736503,5.025512233529236,0.899577885811185,0.6454067435383669,Web/CloudOps,2
bitbrains_fast_storage/H/short,RacineCast-1-NC,2896608.256321278,2896608.256321278,314.61438406970007,0.9308869739236764,3.4311038834852283,0.5678803733069536,24.989800644610337,1701.9424950101215,4.8510890177058,0.8967532027947397,0.6588561212202122,Web/CloudOps,2
bitbrains_rnd/5T/short,RacineCast-1-NC,1626434.506442706,1626434.506442706,114.83517673726676,1.577614496677107,0.965223112681528,0.6343604147650856,50.789628590975674,1275.3174139964945,5.218230720021823,0.4698723944431201,0.377537233799028,Web/CloudOps,2
bitbrains_rnd/5T/medium,RacineCast-1-NC,2192732.911824517,2192732.911824517,145.27050014305223,4.320249192400397,0.5517071521941115,0.702207013634367,158.1875449414876,1480.7879361422813,6.2304296002405914,0.6112270380125933,0.6640566037829252,Web/CloudOps,2
bitbrains_rnd/5T/long,RacineCast-1-NC,2373485.7254611454,2373485.7254611454,170.26323922854684,3.244382923772648,1.5148718807664174,0.6817698719091372,114.37131363845894,1540.612126870727,5.901738115575837,0.6522401265771933,0.6358773303160027,Web/CloudOps,2
bitbrains_rnd/H/short,RacineCast-1-NC,1907758.3017774175,1907758.3017774175,153.20586849918482,5.768953436823789,1.4790907490642538,0.5309196567450036,192.7137877811795,1381.2162400498405,6.044878052023069,0.6705038393542467,0.6503268202133674,Web/CloudOps,2
bizitobs_application/10S/short,RacineCast-1-NC,365177.4577777778,365177.4577777778,322.7004166666667,0.9548585850222758,0.0135602611965603,0.0136694367726643,5.671873478351552,604.2991459350061,0.023305402605995,0.0124452652004043,0.0097142932943232,Web/CloudOps,2
bizitobs_application/10S/medium,RacineCast-1-NC,3927394.986666667,3927394.986666667,1089.0348958333334,2.360774310724525,0.0338903872172037,0.034597962697347,28.215491883179087,1981.7656235454956,0.0778181033518947,0.0427631951381624,0.0371628970018422,Web/CloudOps,2
bizitobs_application/10S/long,RacineCast-1-NC,6177462.044444445,6177462.044444445,1508.040277777778,3.212752446223704,0.0466856808132595,0.0476945877075195,67.49120511915446,2485.4500687892414,0.0958538745253518,0.0581590857046283,0.0532996621124005,Web/CloudOps,2
bizitobs_l2c/5T/short,RacineCast-1-NC,13.293511962890625,13.293511962890625,2.0382191249302455,0.2095998801825781,0.1026823609947457,0.1802609886441911,1.6511371111396491,3.646026873583165,0.1252193158421813,0.0700006920435534,0.0551008169926736,Web/CloudOps,7
bizitobs_l2c/5T/medium,RacineCast-1-NC,55.165428358843535,55.165428358843535,4.77666248139881,0.4725742567164778,0.3480776786170593,0.6232893548044217,3.062729196731803,7.427343290763093,0.3907874809073809,0.2513226903854147,0.1953719290570531,Web/CloudOps,7
bizitobs_l2c/5T/long,RacineCast-1-NC,62.21342261904762,62.21342261904762,5.070457899305556,0.4948150832910403,0.3878264430304307,0.6976811290922619,2.849154287441045,7.88754858108954,0.4428740609218663,0.2846986306978304,0.2153209530143032,Web/CloudOps,7
bizitobs_l2c/H/short,RacineCast-1-NC,55.09467618427579,55.09467618427579,4.402817499069941,0.43221605596358,0.3794287080101544,0.5894146268329923,2.637462216688632,7.422578809569878,0.4000960073886848,0.2373231390103617,0.1847817125018463,Web/CloudOps,7
