dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,RacineCast-1,39.30093652746872,39.30093652746872,3.404547541158734,0.5399312764713017,0.0894125551139115,0.0725518343249341,3.914439656427525,6.269045902485379,0.1075002967754051,0.0583804739594333,0.0458896753000992,Transport,1
loop_seattle/5T/medium,RacineCast-1,62.89202610011933,62.89202610011933,4.557561486148736,0.7259580275097635,0.1424782037488939,0.1048531365173151,5.205387334832857,7.930449300015688,0.1410989880291255,0.0810883834254929,0.0637633229783042,Transport,1
loop_seattle/5T/long,RacineCast-1,77.37155648004816,77.37155648004816,4.99800002329148,0.7920962927599993,0.1536106688669277,0.1139494703231827,5.706220952252856,8.796110303995064,0.1555170379465168,0.0883656675980844,0.0696145527715141,Transport,1
loop_seattle/D/short,RacineCast-1,17.756026720926858,17.756026720926858,2.8425516827310693,0.8582679904119545,0.0528028277543799,0.0524598386388568,6.991294810087333,4.213790066071975,0.0753060587312171,0.0508001966424042,0.0412052457729092,Transport,1
loop_seattle/H/short,RacineCast-1,50.25507609878266,50.25507609878266,3.7455177980517975,0.7638368919115264,0.1035435304501347,0.0858424795968251,6.17308449992228,7.089081470739538,0.1254839534295321,0.0662994751689861,0.0529317349024328,Transport,1
loop_seattle/H/medium,RacineCast-1,54.1347382127193,54.1347382127193,3.9654856836340624,0.8152198377338041,0.1090162972055598,0.0902624502270583,6.302573913262046,7.357631290892423,0.1300453105363826,0.0700895161455177,0.0558166864607765,Transport,1
loop_seattle/H/long,RacineCast-1,52.919401176040594,52.919401176040594,3.908042665736799,0.8207873202445313,0.1154094322054993,0.0902382398250384,6.2835920971069745,7.274572233199736,0.130006323844973,0.0698419431568795,0.0554664432993932,Transport,1
m_dense/D/short,RacineCast-1,8543.536296296295,8543.536296296295,42.58192708333333,0.6350016292963128,0.1189624512080708,0.0917824526186342,6.8428023388897214,92.43125172957626,0.1600121691170302,0.0737156144733583,0.0612973807197907,Transport,1
m_dense/H/short,RacineCast-1,41011.64666666667,41011.64666666667,82.26494357638889,0.7333646597950015,0.2685264958205495,0.1973980776468912,8.14748870337353,202.51332466449375,0.3592082163496113,0.1459175276448219,0.1207910108034129,Transport,1
m_dense/H/medium,RacineCast-1,35771.113333333335,35771.113333333335,77.97645399305556,0.6774418469861534,0.2536949597371263,0.1850410842895508,6.504483578325137,189.1325284908266,0.3290667052179056,0.1356691786696805,0.1121492632305313,Transport,1
m_dense/H/long,RacineCast-1,33451.40938271605,33451.40938271605,77.66315586419753,0.6700039352641116,0.2511762197794436,0.1834395495756172,6.640434170882399,182.8972645577731,0.3166222020815796,0.1344464035029883,0.1121696801376738,Transport,1
sz_taxi/15T/short,RacineCast-1,16.530653137281554,16.530653137281554,2.707060230520619,0.5398824335186866,1088950052788.5436,0.388461677728264,3.7836347547542823,4.065790591912175,0.3801688196064686,0.2531217162260749,0.1987203754423738,Transport,1
sz_taxi/15T/medium,RacineCast-1,16.18489499866453,16.18489499866453,2.733309127938034,0.532918487118058,10011822633499.13,0.4023030859792334,3.795398371535482,4.023045488018316,0.3744115260669234,0.2543800324534813,0.2005726825702422,Transport,1
sz_taxi/15T/long,RacineCast-1,15.454377003205128,15.454377003205128,2.6812000589832623,0.5057917882694111,6299093791735.248,0.3958386021801549,3.983315806249118,3.931205540696789,0.3638653540122664,0.2481670822194492,0.1980117237726673,Transport,1
sz_taxi/H/short,RacineCast-1,7.1042966924162,7.1042966924162,1.8305586953448432,0.5574602963713677,1.1206366567530184,0.292542676640372,3.853337584990771,2.6653886569159475,0.2482973981894184,0.1705278365718933,0.1341413192616596,Transport,1
bitbrains_fast_storage/5T/short,RacineCast-1,1536026.9690133743,1536026.9690133743,139.1220074951675,0.6175600308082011,1.657633359155812,0.7077959672348664,13.63970647368965,1239.365551003163,3.8913012915352314,0.4368086937778196,0.3506017498882164,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,RacineCast-1,3384266.435564848,3384266.435564848,288.48564633417453,0.919296588527603,4.451430141784613,0.7909921614582217,20.004365658057615,1839.6375826680776,5.589327040925503,0.8764990665367389,0.6063054077299461,Web/CloudOps,2
bitbrains_fast_storage/5T/long,RacineCast-1,3664615.753251825,3664615.753251825,340.6385417418145,0.8243728684545701,4.616449924164492,0.8052902290086416,20.448617065487745,1914.318613306527,5.058972483199949,0.9002059518256689,0.6453583557933933,Web/CloudOps,2
bitbrains_fast_storage/H/short,RacineCast-1,2899700.43652696,2899700.43652696,313.8336967338369,0.9378277413818248,3.4032188144604114,0.5665465677370506,25.15602097077159,1702.8506794569394,4.853677638419441,0.8945279902670713,0.6583670513582712,Web/CloudOps,2
bitbrains_rnd/5T/short,RacineCast-1,1646473.3235103516,1646473.3235103516,114.7997268184864,1.573556279495222,0.9592471234915928,0.6340570889508657,50.797535757666445,1283.1497665940449,5.250278445933838,0.4697273436085814,0.3774167594955464,Web/CloudOps,2
bitbrains_rnd/5T/medium,RacineCast-1,2192871.619151344,2192871.619151344,145.6116667606167,4.3189361207534365,0.5668534278078967,0.701934224755269,158.23925480186725,1480.8347710502155,6.230626658569874,0.6126624998642243,0.670291793823554,Web/CloudOps,2
bitbrains_rnd/5T/long,RacineCast-1,2382440.880976938,2382440.880976938,169.98593325289053,3.241854707524042,1.48894207192056,0.6789948572134261,114.40997845114306,1543.515753394483,5.912861254898033,0.6511778298331504,0.6390514806115839,Web/CloudOps,2
bitbrains_rnd/H/short,RacineCast-1,1914282.0746771237,1914282.0746771237,153.04654220867877,5.766891753850004,1.4689043817166616,0.5292730603365026,192.65944259356348,1383.5758290303877,6.055204767874448,0.6698065495536609,0.6526873267071677,Web/CloudOps,2
bizitobs_application/10S/short,RacineCast-1,361735.85777777777,361735.85777777777,320.3545833333333,0.9416831151875436,0.0133871195051405,0.0134911325242784,5.684130669997832,601.4448085882675,0.0231953222236437,0.0123547957853015,0.0096426645415948,Web/CloudOps,2
bizitobs_application/10S/medium,RacineCast-1,3971387.7333333334,3971387.7333333334,1095.6421875,2.375877346367096,0.0341091887156168,0.0348243331909179,27.628136269633544,1992.8340957875375,0.0782527296803794,0.0430226440354911,0.0373523502168704,Web/CloudOps,2
bizitobs_application/10S/long,RacineCast-1,6270087.9644444445,6270087.9644444445,1519.3554166666668,3.231717577836178,0.0469949086507161,0.0480142084757487,68.00791108143243,2504.014369855821,0.0965698254138577,0.05859546538367,0.0537766739486151,Web/CloudOps,2
