dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
solar/W/short,RegLab-AH-1,1521262.218978102,1521262.218978102,997.4002052919708,1.0930875226955818,0.22525989226181142,0.1961852024941549,6.455335942917309,1233.3945917580886,0.25176666670317666,0.20359431339607773,0.14713962487251397,Energy,1
us_births/D/short,RegLab-AH-1,111863.70666666667,111863.70666666667,207.75748697916666,0.3058830594033866,0.019994036356608073,0.019869988759358723,2.2236701213340297,334.46032151313057,0.03135294115288744,0.01947557854952868,0.015265972467616561,Healthcare,1
us_births/M/short,RegLab-AH-1,51936053.333333336,51936053.333333336,5853.505208333333,0.6609950558646267,0.01800210525592168,0.018242611239353817,3.6798655882492,7206.667283379561,0.022383859447740108,0.018180947268389,0.014216289059859435,Healthcare,1
us_births/W/short,RegLab-AH-1,1652217.5714285714,1652217.5714285714,992.8351702008929,0.9031510992231011,0.013462028333118983,0.013481666999203818,5.243084237677894,1285.3861565415164,0.017448991037249752,0.013477640083594731,0.010488175522236444,Healthcare,1
covid_deaths/D/short,RegLab-AH-1,297573.0531328321,297573.0531328321,88.14983063126566,29.07261875863896,0.07784103202077022,0.3504323858963816,588.6322260052086,545.5025693182683,0.20524798674940664,0.0331668011976173,0.027290780836313477,Healthcare,1
saugeen/M/short,RegLab-AH-1,397.9769810267857,397.9769810267857,12.414746965680804,0.7274733639490283,0.3558540798368908,0.3529611769176665,4.56764251504015,19.949360416484176,0.5989396472235733,0.37272794780180896,0.2874738855311329,Nature,1
solar/D/short,RegLab-AH-1,124065.15231143552,124065.15231143552,247.2524787104623,0.963909037171697,1.0630588800657694,0.4217996490552768,5.240455620979463,352.2288351504396,0.5088507072887112,0.3571956243076163,0.27247407816014685,Energy,1
saugeen/D/short,RegLab-AH-1,1171.8810416666668,1171.8810416666668,12.527967122395834,2.782905305002405,0.27531580607096356,0.3162065124511719,34.88606510110618,34.232748088148966,1.108806867055191,0.40578384007572904,0.3391715100730702,Nature,1
saugeen/W/short,RegLab-AH-1,972.21572265625,972.21572265625,14.601608276367188,1.1846094197260413,0.3722128391265869,0.37862234115600585,9.538674632458077,31.18037399801757,0.94120551640087,0.440761687429252,0.3498878897021702,Nature,1
m4_weekly/W/short,RegLab-AH-1,226047.82858367258,226047.82858367258,241.19035917077352,1.851711438614664,0.05804062870500531,0.057642867842552264,12.918619339607094,475.44487438994713,0.08661868122078376,0.043941142201492846,0.034764055208845894,Econ/Fin,1
m4_hourly/H/short,RegLab-AH-1,553532.212665825,553532.212665825,170.88777698756417,0.6443694157395036,0.08227089464952404,0.07463718497234842,4.983872574248178,743.9974547441847,0.10157209018785868,0.02332995709259746,0.01863551101112899,Econ/Fin,1
solar/H/medium,RegLab-AH-1,314.78520377128956,314.78520377128956,7.3849325435295015,0.5647136175388019,2.5512671300771426,1.361458541238975,3.427399076220588,17.74218711916007,0.6391149904995429,0.26602250673484396,0.20186465460121933,Energy,1
solar/H/long,RegLab-AH-1,326.6578821978913,326.6578821978913,7.817926139243714,0.5944353339187818,3.361640619213963,1.362083555099351,3.6643406230651516,18.073679265658427,0.6266474810844902,0.27106178274228615,0.20902090077057034,Energy,1
hospital/M/short,RegLab-AH-1,2438.3925195567144,2438.3925195567144,16.966789447862343,0.7411528197790037,0.1887698465717818,0.16975759434109405,4.8418285093947695,49.38008221496512,0.17926116519510488,0.061593385624661046,0.04829741987920306,Healthcare,1
electricity/W/short,RegLab-AH-1,35876531902.27027,35876531902.27027,26107.013992117118,1.396895470416266,0.17009604031095454,0.09147690421826131,10.858273367889906,189411.01314936858,0.43217344082565917,0.05956759260750776,0.047406443015613885,Energy,1
kdd_cup_2018/D/short,RegLab-AH-1,2886.623381291974,2886.623381291974,21.05030046878117,1.1860984627165831,0.523134225606522,0.4610495033063774,9.066434035224157,53.72730573267167,1.2035486922302936,0.47154908020727376,0.37466055577064883,Nature,1
hierarchical_sales/W/short,RegLab-AH-1,454.13042385295284,454.13042385295284,8.81309677382647,0.7159716516831602,0.5227930122398312,0.4511611097950046,6.64426619511863,21.310336080244085,0.9783679531046927,0.4046135836926423,0.34083038713637787,Sales,1
restaurant/D/short,RegLab-AH-1,137.01639383661097,137.01639383661097,7.02993768428547,0.6751699268694675,0.6724631827096038,0.3892426159888008,4.558508741746927,11.70540019976297,0.5387096383328552,0.32353402043277624,0.2530096693599421,Sales,1
hierarchical_sales/D/short,RegLab-AH-1,28.398628856190573,28.398628856190573,2.2955448524377324,0.7406694412946057,0.6328467878314612,1.04946028672747,6.8707764683958095,5.329036390961369,1.634889349228976,0.7042477391021922,0.5704492261071215,Sales,1
kdd_cup_2018/H/medium,RegLab-AH-1,5146.089178912911,5146.089178912911,25.740637978952844,1.0511609985440125,1.0466775891444524,0.5577621208541399,8.547867630595942,71.73624731551624,1.501569589640051,0.5387981760061933,0.4250989427745536,Nature,1
electricity/D/short,RegLab-AH-1,1221085363.5182703,1221085363.5182703,4116.243614864865,1.3511797209598695,0.3101039884265112,0.09066871546839808,10.554442234574578,34944.03187267134,0.5742465203324247,0.06764355588072016,0.05329159111227358,Energy,1
kdd_cup_2018/H/long,RegLab-AH-1,4129.28095321096,4129.28095321096,24.69834611973506,1.0366794318922463,1.1056190214196504,0.619972234501973,7.617776586544345,64.25948142656429,1.5077871583426574,0.5795230257840847,0.45290845140007413,Nature,1
loop_seattle/D/short,RegLab-AH-1,17.71208785837526,17.71208785837526,2.8416894682420666,0.8589345877340532,0.05280941509486967,0.052440458283950914,7.030494330604374,4.208573138057037,0.07521282525699814,0.050784787717438946,0.04121216819519159,Transport,1
loop_seattle/H/medium,RegLab-AH-1,56.08068311000387,56.08068311000387,4.02441984477796,0.82641739097318,0.10950532171133256,0.09160475224041226,6.41788054250229,7.488703700241041,0.13236200071866888,0.07113117085532177,0.056717023574083626,Transport,1
car_parts/M/short,RegLab-AH-1,1.4102977726331853,1.4102977726331853,0.46635386521587874,0.880056121521604,0.8124351256128346,1.8897833643609567,30.25578799828413,1.1875595869821376,2.847646069198646,1.11826873000316,1.0250957039505966,Sales,1
loop_seattle/H/long,RegLab-AH-1,52.63535270467836,52.63535270467836,3.9022755888265395,0.8198399648822813,0.11512643966963498,0.09008114463404605,6.254608114627109,7.2550225847118055,0.1296569455102886,0.06973887778830538,0.05540887963653498,Transport,1
sz_taxi/15T/medium,RegLab-AH-1,16.18353949652778,16.18353949652778,2.7329227806156515,0.5328347745872317,9999544521929.299,0.40223953377487315,3.775267056725298,4.022877017325757,0.37439584705725615,0.25434407638711426,0.20052502058206978,Transport,1
sz_taxi/15T/long,RegLab-AH-1,15.46691818019943,15.46691818019943,2.6822436036547366,0.5060223288402929,6331672105233.066,0.39583009899172006,3.998620800489026,3.9328002975233094,0.3640129618519579,0.2482636708478948,0.19823006772109675,Transport,1
sz_taxi/15T/short,RegLab-AH-1,16.541604588174412,16.541604588174412,2.706871805901347,0.5398774081185876,1090346720171.8138,0.38846942356654574,3.7812955365003584,4.0671371489260615,0.38029472844976236,0.25310409771782316,0.19873380369540364,Transport,1
sz_taxi/H/short,RegLab-AH-1,7.107637486906133,7.107637486906133,1.8308626240135257,0.5575294920867597,1.1332224250858665,0.29256937952123135,3.845179546602729,2.6660152825717507,0.2483557722353839,0.1705561494025468,0.13413431889897448,Transport,1
m_dense/D/short,RegLab-AH-1,8377.355555555556,8377.355555555556,42.25791666666667,0.6321699540129505,0.11819305306810021,0.09135140878182871,6.826475662633791,91.52789495861661,0.15844832492252864,0.07315470451468951,0.0608893214172659,Transport,1
m_dense/H/medium,RegLab-AH-1,35510.58222222222,35510.58222222222,77.56901692708334,0.6742141942427411,0.2532847044767133,0.18441039191351996,6.538500032985823,188.4425170236861,0.3278661724387676,0.13496028964909285,0.11156446453041578,Transport,1
m_dense/H/long,RegLab-AH-1,33164.38913580247,33164.38913580247,77.04166666666667,0.6654396662851554,0.2518992461066906,0.18292540750385802,6.642957485469553,182.11092536089774,0.31526093268971783,0.13337051382925305,0.11102271377078586,Transport,1
solar/H/short,RegLab-AH-1,327.3159469817478,327.3159469817478,7.400350310063908,0.5698968203032952,2.64915951926786,1.363540815992596,2.999555683999257,18.091875164884037,0.6668725469589839,0.2727793782946245,0.19394794527310694,Energy,1
ett1/15T/long,RegLab-AH-1,7.801760912698413,7.801760912698413,1.504150390625,0.9689304396493352,0.7519453201107378,0.37562399243551586,6.886536238825826,2.793163244906823,0.5323796761988108,0.2866925516707368,0.22215495632214644,Energy,7
ett1/H/medium,RegLab-AH-1,131.9491722470238,131.9491722470238,6.763207426525297,1.2419431791606863,3501708344822.209,0.4347833179292225,8.261057432675582,11.486913086074248,0.5501959071915284,0.3239416036039046,0.24935506922494552,Energy,7
ett1/H/long,RegLab-AH-1,137.609375,137.609375,6.982910672949735,1.3332529107433344,3581849038951.761,0.464345134755291,9.108259935150924,11.730702238144143,0.5617579232475979,0.3343964681930518,0.25623927095357746,Energy,7
ett1/15T/medium,RegLab-AH-1,8.625198993985615,8.625198993985615,1.5257864573645212,0.9593466093614182,0.7301781295120803,0.3694177645728702,6.41588730777806,2.9368689099082403,0.5597701345744313,0.2908164159759749,0.22252604366539064,Energy,7
ett1/D/short,RegLab-AH-1,37845.2507936508,37845.2507936508,130.1640625,1.6038074144697037,1.2229319738963293,0.47166336301773315,10.313262444545213,194.538558629519,0.5109619771503474,0.34188022774231364,0.2611663574368168,Energy,7
ett1/H/short,RegLab-AH-1,93.3053455171131,93.3053455171131,4.7727425711495535,0.7896863193259498,0.4605476742699033,0.25366508620125905,5.267752653277437,9.659469215081804,0.45084692232932466,0.22276340980653989,0.17088828346690832,Energy,7
ett1/W/short,RegLab-AH-1,1191843.2857142857,1191843.2857142857,869.1262555803571,1.536517796489447,0.6085477556501117,0.5611170360020229,7.573135595686862,1091.7157531675934,0.43441975498289226,0.34584608118268656,0.25219771757804343,Energy,7
ett1/15T/short,RegLab-AH-1,4.945662616548084,4.945662616548084,1.0582301911853609,0.6664584514743755,0.47057856911346274,0.22832633200145902,4.490835211239368,2.223884578063368,0.42040676634731877,0.2000495606272718,0.15617937640561264,Energy,7
m_dense/H/short,RegLab-AH-1,41586.64388888889,41586.64388888889,82.82559678819445,0.7382198520243621,0.2698284245195702,0.19853663126627605,8.340380864630118,203.92803605411612,0.3617175621210939,0.14691198685157786,0.12179401169418028,Transport,1
ett2/H/medium,RegLab-AH-1,229.9768787202381,229.9768787202381,9.391153390066965,1.011392540747923,0.1699436611535717,0.16458616710844495,7.132063064922958,15.164988582924753,0.20435797339413617,0.12655183115590737,0.10143743646696417,Energy,7
m4_daily/D/short,RegLab-AH-1,352064.90793876105,352064.90793876105,173.4333211349657,3.2457734559060287,0.036366232000136486,0.029624651080190866,25.074175648922438,593.3505776004276,0.09165626573668553,0.026790654917415686,0.021235604927219338,Econ/Fin,1
ett2/H/long,RegLab-AH-1,216.61028439153438,216.61028439153438,9.042188533399472,1.002961583686834,0.17497569851989073,0.17029887204447752,8.085748492005383,14.71768610860873,0.2015473836895911,0.12382581258263833,0.10090230161008305,Energy,7
ett2/D/short,RegLab-AH-1,103388.89523809524,103388.89523809524,191.3840277777778,1.2536092005206814,0.4206308031839038,0.12980700296068948,11.363842702539547,321.5414362692548,0.18402664756153125,0.10953412859447087,0.08982954916043509,Energy,7
ett2/W/short,RegLab-AH-1,2801742.0,2801742.0,1186.946010044643,0.8077252520280922,0.13580713953290666,0.14418235846928187,8.984394941383353,1673.8404941929205,0.1404095559240043,0.09956657325135104,0.08298824137623258,Energy,7
ett2/H/short,RegLab-AH-1,104.1844494047619,104.1844494047619,6.28050769624256,0.7199899456108848,0.11726966865870472,0.10742128463018508,5.018349401587598,10.207078397110601,0.12945415428445928,0.07965431249399155,0.06302008337193886,Energy,7
ett2/15T/long,RegLab-AH-1,10.657069692460318,10.657069692460318,2.0584866381448412,0.8543591812335561,0.12982205657107157,0.15836895655071925,6.789637133106098,3.2645167624719464,0.1739720074760121,0.10970047907777676,0.0885032717409972,Energy,7
ett2/15T/medium,RegLab-AH-1,10.931039341517858,10.931039341517858,2.058225853329613,0.8464362357457663,0.12742488325001355,0.15510097261459108,6.180012005219822,3.3062122347964684,0.17619402302649298,0.10968657413416344,0.08621908269402805,Energy,7
jena_weather/H/medium,RegLab-AH-1,1143.6642857142858,1143.6642857142858,9.67351345486111,0.7712003917675327,2.137989466355733,0.6714933849516369,5.561781548712373,33.818105885964194,0.20693898766194707,0.05919394445784195,0.04734687028407046,Nature,21
jena_weather/H/long,RegLab-AH-1,1216.5013227513227,1216.5013227513227,10.716734871031745,0.9135246157884778,2.047971488466962,0.6516702964823082,6.6261527747190945,34.87837901553515,0.21000648432501579,0.06452661726929017,0.05204397111326136,Nature,21
ett2/15T/short,RegLab-AH-1,7.070705014183408,7.070705014183408,1.6463147844587054,0.7078200443414683,0.09973878941001017,0.12013047082083565,4.637383791223963,2.6590797306931973,0.12623598482558412,0.0781564259808359,0.0614418716210093,Energy,7
jena_weather/D/short,RegLab-AH-1,364.99630456349206,364.99630456349206,9.497507440476191,1.009555185572516,0.6104651126764753,0.4485201881045387,6.550517249614053,19.10487646030437,0.11504258176373287,0.05719051774780418,0.04474497439278162,Nature,21
jena_weather/H/short,RegLab-AH-1,1081.1920611669148,1081.1920611669148,8.177684557666954,0.514638331935714,1.2578634842244922,0.6040415433216015,4.239257795785213,32.88148508153053,0.20156139480893384,0.05012868189085173,0.0401683628762961,Nature,21
jena_weather/10T/long,RegLab-AH-1,1326.7990141369048,1326.7990141369048,9.261687489666006,0.6156493196620627,0.7886763103429807,0.6278742391596396,5.4517717498489935,36.42525242379117,0.2228923598347824,0.05667385243089215,0.04651816561571945,Nature,21
jena_weather/10T/medium,RegLab-AH-1,1386.4974905303031,1386.4974905303031,9.073130368979978,0.5671439820442234,0.7283521938151063,0.6362863119546469,5.024753445985588,37.23570182674557,0.2285148782020559,0.05568164904816154,0.04555374616949198,Nature,21
solar/10T/long,RegLab-AH-1,18.784351556163827,18.784351556163827,1.7933557911027473,0.7848378523050609,3.543886271683717,1.4406790851676552,4.007946078417771,4.3340917798500564,0.9367445863263366,0.38760515789783345,0.2885938109560004,Energy,1
jena_weather/10T/short,RegLab-AH-1,776.7755257016137,776.7755257016137,5.264192163376581,0.2602358290960338,0.34346781082590244,0.5395540184208325,2.1139884144379266,27.870692953380505,0.17311194896841298,0.032697233853162345,0.026907675730072928,Nature,21
electricity/H/long,RegLab-AH-1,6833744.101021021,6833744.101021021,256.5730043168168,1.13300933643492,0.28411063274140774,0.13541059137751033,9.122727913938249,2614.1430911526286,1.0310173040844013,0.10119232114984295,0.07984974221535901,Energy,1
kdd_cup_2018/H/short,RegLab-AH-1,4438.3173257296185,4438.3173257296185,23.16736127861403,0.9664853054367447,0.9355028404988175,0.5040505582535239,7.383407303736272,66.62069742752337,1.3944918493598055,0.4849348283894457,0.3828708233860022,Nature,1
bizitobs_application/10S/short,RegLab-AH-1,361502.5422222222,361502.5422222222,319.54875,0.940249993701324,0.013370963202582466,0.013474975162082249,5.6865331499819005,601.2508147372627,0.023187840656226096,0.01232371801464274,0.00962590071971417,Web/CloudOps,2
bizitobs_application/10S/medium,RegLab-AH-1,3879851.0933333333,3879851.0933333333,1083.5580208333333,2.3420894640404737,0.033575242360432946,0.03428513526916504,26.859325767390093,1969.7337620433207,0.07734564756258858,0.04254813437631872,0.036952955308995304,Web/CloudOps,2
bizitobs_application/10S/long,RegLab-AH-1,6224709.973333334,6224709.973333334,1515.5470833333334,3.212843300679014,0.046688643561469186,0.04771000332302518,60.77550059035612,2494.936867604736,0.09621974243584684,0.05844859318934673,0.05294241716146274,Web/CloudOps,2
bitbrains_fast_storage/H/short,RegLab-AH-1,2810566.424210001,2810566.424210001,308.7719399686132,0.921087094845042,3.3722265929270065,0.5667442608952542,26.125593572067327,1676.474403088219,4.778496681956215,0.8801003390825763,0.6461697654144852,Web/CloudOps,2
bitbrains_rnd/H/short,RegLab-AH-1,1918614.9439921572,1918614.9439921572,150.384566699456,5.741131855254042,1.3697873984424038,0.5236638459671104,193.49137759441797,1385.1407668508486,6.062053701451529,0.6581564423046012,0.6269600373589169,Web/CloudOps,2
bizitobs_service/10S/medium,RegLab-AH-1,21223.619047619046,21223.619047619046,38.14994295634921,1.0018070636958616,0.060243409171937004,0.05377520364428323,9.375548636472992,145.6832833499405,0.10964467209172367,0.0287125460765405,0.021648210303203217,Web/CloudOps,2
bizitobs_service/10S/long,RegLab-AH-1,131013.45862433863,131013.45862433863,75.97809523809524,1.2875770161180913,0.07423320467509921,0.07172606130125661,19.983903855667116,361.9578133213022,0.2681499196088584,0.0562870019110329,0.05206465164853251,Web/CloudOps,2
bizitobs_l2c/5T/medium,RegLab-AH-1,56.35915178571429,56.35915178571429,4.72503055909864,0.46075590607887607,0.35298966272135485,0.6173804873511904,3.078014273081959,7.507273259027827,0.39499297265919325,0.24860609199212624,0.19271352359933244,Web/CloudOps,7
solar/10T/medium,RegLab-AH-1,20.467063663839582,20.467063663839582,1.8664013331665767,0.8179337855215982,3.873483283641938,1.4471133651682773,3.9444858342792313,4.524053897097113,1.0039055509702974,0.41416187811258276,0.3080073582221056,Energy,1
bizitobs_l2c/H/short,RegLab-AH-1,54.10101609002976,54.10101609002976,4.354256766183036,0.42629747901753356,0.37089761784322545,0.5857935708666605,2.620313613769893,7.355339291292398,0.3964716251501462,0.2347055911415713,0.18319885910120626,Web/CloudOps,7
bizitobs_l2c/H/medium,RegLab-AH-1,73.69624255952381,73.69624255952381,4.772063627697173,0.482046940708471,0.4712196322817342,0.7545447939918155,3.2211663190784017,8.584651568906208,0.5198136918342151,0.2889557010054751,0.22951797253794945,Web/CloudOps,7
bizitobs_l2c/H/long,RegLab-AH-1,79.26278521825397,79.26278521825397,5.070534939236111,0.543803100932047,0.5995841737966394,0.7659930516803075,4.511308465842902,8.902964967821337,0.5438187957737843,0.309722908553583,0.2494710146226146,Web/CloudOps,7
bizitobs_l2c/5T/long,RegLab-AH-1,58.950967261904765,58.950967261904765,4.876691158234127,0.4762464465739744,0.38871371785053843,0.701772228422619,2.8216410727707335,7.677953325066828,0.4311056006416617,0.27381891786846796,0.2062885983988733,Web/CloudOps,7
