dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,Reverso-Nano,45.02896309017028,45.02896179262206,3.691918164264061,0.5845054870553053,0.10145548809669581,0.07745615714166643,23.3802194822122,6.7103623665321,0.11506790001862337,0.0633082458141561,0.0633082462780446,Transport,1
loop_seattle/5T/medium,Reverso-Nano,87.9164322513545,87.91643364212462,5.554338368828206,0.885615348117569,0.18053271814273483,0.12433544106543584,35.424613924702754,9.376376285716914,0.16682500273574297,0.09882309384132826,0.09882309267759877,Transport,1
loop_seattle/5T/long,Reverso-Nano,103.94671733459465,103.94672077456714,5.972382467606926,0.9476768526373339,0.1920870574506758,0.13199319250643626,37.90707410549335,10.195426294892954,0.18025723293746165,0.10559294986952156,0.10559295391707796,Transport,1
loop_seattle/D/short,Reverso-Nano,17.949386851780186,17.94938886738906,2.911961731649897,0.8796738429090301,0.05400655882277356,0.053670114447669545,35.18695371636121,4.236671671463365,0.07571498250184007,0.05204064620890138,0.05204064476662936,Transport,1
loop_seattle/H/short,Reverso-Nano,64.04596871859894,64.04597084029248,4.30391747773707,0.8739181746553026,0.11532578497589278,0.09840592476656967,34.956726986212104,8.002872529198434,0.1416589841234693,0.07618371721191763,0.07618371700216295,Transport,1
loop_seattle/H/medium,Reverso-Nano,71.55280250257998,71.55280089009288,4.530345898639061,0.9299851977239831,0.11629117605486891,0.10348046624463161,37.19940790895932,8.458888963840344,0.14950991572778974,0.08007335672789759,0.0800733537493393,Transport,1
loop_seattle/H/long,Reverso-Nano,63.24698464912281,63.24698787409701,4.265092744883041,0.8941511926630756,0.12319111491053385,0.09806198416858648,35.76604770652303,7.952797284548551,0.14212712656515541,0.07622291310528845,0.07622291123479591,Transport,1
m_dense/D/short,Reverso-Nano,11439.43925925926,11439.444444444445,52.3100462962963,0.7497701530756641,0.13717015678569774,0.10862372049263454,29.99080612302656,106.95531431050661,0.18515546983490322,0.09055642780832666,0.09055642977357019,Transport,1
m_dense/H/short,Reverso-Nano,48488.98055555556,48488.98,94.28799262152778,0.8329249110928778,0.2977629102229839,0.22308788786153275,33.31699644371511,220.20213567437432,0.3905837418865972,0.16724341414903868,0.16724341440500776,Transport,1
m_dense/H/medium,Reverso-Nano,37359.78666666667,37359.79111111111,82.40608506944444,0.7172976365549745,0.26406201345398406,0.19942579128189236,28.69190546219899,193.28679899741385,0.3362946110630543,0.14337617711817233,0.14337617897431099,Transport,1
