dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,Reverso-Small,43.75723339037506,43.757232502247405,3.5229588275354344,0.558668839304035,0.0965507611647725,0.07489226447539434,22.346753575174166,6.614925047978629,0.11343136070382752,0.06041096620331596,0.06041096591391552,Transport,1
loop_seattle/5T/medium,Reverso-Small,76.93987553615196,76.939876906766,5.0159103724240515,0.7983577861042669,0.15944609351694522,0.11410882003044073,31.934311443563793,8.771537809081824,0.15606368328304177,0.0892433533066025,0.08924335504653313,Transport,1
loop_seattle/5T/long,Reverso-Small,95.50581885678248,95.50581914344686,5.566188492575392,0.8822885010948113,0.17282327510911163,0.12489817759843339,35.291540042837596,9.772707856923919,0.17278348404889257,0.09841135688289684,0.09841135531872222,Transport,1
loop_seattle/D/short,Reverso-Small,18.830176083591333,18.830172455495354,2.9157576270639836,0.8797196977694665,0.05404603956161515,0.053835065938124836,35.18878791178839,4.339375079846329,0.07755042961023248,0.05210848393085474,0.05210848389919511,Transport,1
loop_seattle/H/short,Reverso-Small,59.65899186457824,59.65899356193308,4.0314456665576115,0.8200326278155772,0.10800497481775183,0.09253099495503044,32.801305112906356,7.723923346627557,0.1367212998506173,0.07136068900134214,0.07136068923886166,Transport,1
loop_seattle/H/medium,Reverso-Small,71.21657314241486,71.21656991744067,4.417604630256708,0.906166762156268,0.11458704331341912,0.101060693699509,36.246670488946855,8.438991239621881,0.14915822567915638,0.07808066742709878,0.07808066880185406,Transport,1
loop_seattle/H/long,Reverso-Small,63.98738067595459,63.98738067595459,4.159932450227898,0.8708501790041169,0.11924734729075293,0.09632517759193863,34.83400716099939,7.999211253364583,0.14295660627956033,0.07434355795850013,0.07434355398147857,Transport,1
m_dense/D/short,Reverso-Small,10346.973333333333,10346.98074074074,47.25668692129629,0.7127961109578637,0.1320300261297431,0.10264967176649306,28.51184441778208,101.72007340408939,0.1760924934323238,0.08180831524043321,0.08180831301592918,Transport,1
m_dense/H/short,Reverso-Small,51496.04777777778,51496.05111111111,95.16591796875,0.8339446417618248,0.29460345032108554,0.2229584969414605,33.35778566752827,226.9274064051713,0.4025126970676654,0.16880063504594323,0.16880063447480712,Transport,1
m_dense/H/medium,Reverso-Small,36440.555555555555,36440.56,78.489765625,0.6844872011166516,0.2534226130528796,0.18992119683159722,27.37948804283342,190.8940951301416,0.3321316086200155,0.13656227605922966,0.13656228216460467,Transport,1
