dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,Reverso,43.80251800568603,43.80251599637594,3.488529376176612,0.5531433084095438,0.0961459005826275,0.07428676295448422,22.125732336381763,6.618347075039661,0.11349004091306387,0.05982057712292707,0.05982057732298052,Transport,1
loop_seattle/5T/medium,Reverso,77.57443480311532,77.57443367437436,5.029979644869872,0.8008178953037198,0.16204114971023104,0.1139276844949546,32.03271581214881,8.807635028945928,0.15670592700482533,0.08949367457600797,0.08949367592621568,Transport,1
loop_seattle/5T/long,Reverso,97.49600497362688,97.49600332530673,5.597015698457746,0.8879720415943456,0.18056594210006738,0.12477731576539769,35.51888166377382,9.874006530969426,0.17457446543167435,0.09895638822055948,0.09895638912505651,Transport,1
loop_seattle/D/short,Reverso,18.51081253224974,18.510810113519092,2.9306207269091846,0.8817787960999898,0.054522173618753625,0.05413446269034368,35.27115184399959,4.302419381260937,0.07688998190771562,0.052374107380574124,0.052374106318217664,Transport,1
loop_seattle/H/short,Reverso,59.39276926306793,59.39276923654676,3.983688804523281,0.8113060034478188,0.10532337628184768,0.09141274780246145,32.45224013791275,7.7066704395003125,0.13641590584516425,0.07051534396604073,0.07051534283202439,Transport,1
loop_seattle/H/medium,Reverso,72.04073868034055,72.040737874097,4.39297116873065,0.9009445375532195,0.11261933349357424,0.10051546081854473,36.03778150212877,8.487681584528284,0.1500188220760156,0.07764527375157138,0.0776452756974171,Transport,1
loop_seattle/H/long,Reverso,63.75357112143103,63.75356789645683,4.135087786485208,0.8667830845768202,0.1168474898782841,0.09565607283257589,34.67132338307281,7.984583340502561,0.142695185907792,0.07389955058073298,0.07389955200122543,Transport,1
m_dense/D/short,Reverso,10055.814814814816,10055.813333333334,47.25265914351852,0.7038465636783665,0.13025933923855634,0.1011588112531833,28.153862547134658,100.27868574535077,0.17359723818588335,0.0818013425613135,0.08180134652604248,Transport,1
m_dense/H/short,Reverso,50039.80777777778,50039.80944444444,92.76318142361112,0.8145597882863347,0.3002545031100734,0.21717322084114174,32.58239153145339,223.6957929371444,0.3967806196888175,0.1645387788759568,0.16453878575127057,Transport,1
m_dense/H/medium,Reverso,36443.59111111111,36443.6,76.8553125,0.6702526195151011,0.2510717281787854,0.18362906312698593,26.810104780604046,190.9020458536553,0.3321454418744621,0.1337185341129417,0.13371852594741818,Transport,1
m_dense/H/long,Reverso,34284.578765432096,34284.58271604938,76.87847222222223,0.6776546764911341,0.25183111137825476,0.18509257186164804,27.106187059645368,185.16095367391068,0.3205409825757143,0.13308800012139407,0.13308799122669057,Transport,1
sz_taxi/15T/short,Reverso,16.59412828382555,16.59412843287355,2.7267669565948376,0.5441355161815703,929068305558.614,0.3949454100569787,21.76542064726281,4.073589115733882,0.3808980202654615,0.2549643830008951,0.25496437418317236,Transport,1
sz_taxi/15T/medium,Reverso,16.489693509615385,16.48969184027778,2.77663323818109,0.5419706879559428,9167397533587.473,0.40624196866338086,21.678827518237707,4.060750362878194,0.37792060129474514,0.2584120689961874,0.258412049815078,Transport,1
sz_taxi/15T/long,Reverso,15.776486823361823,15.776486823361823,2.73033937633547,0.5148471708638769,6052103269576.132,0.4011150543991844,20.59388683455507,3.9719625908814677,0.3676377820867103,0.25271534907311993,0.25271537195499216,Transport,1
sz_taxi/H/short,Reverso,7.315856542342749,7.315857455261752,1.8688604566786025,0.5697590142308887,1.3297162341256428,0.2981639463706057,22.790360569235546,2.704784010294121,0.251967327599879,0.1740958882980056,0.17409588450371388,Transport,1
bitbrains_fast_storage/5T/short,Reverso,1855366.1347209099,1855366.1284729813,158.45201267471398,0.6702749114085718,2.000959349249067,0.6056207134350697,26.810996456342874,1362.1182528403729,4.276714434962789,0.49750013146198596,0.49750012731182,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,Reverso,3097520.8357739323,3097521.0042476617,258.4743272250524,0.9882707766257894,3.225565412257406,0.6900064911587486,39.530831065031585,1759.977510019356,5.347297646002276,0.7853163768594656,0.785316362344733,Web/CloudOps,2
bitbrains_fast_storage/5T/long,Reverso,3160702.244190001,3160702.248880369,289.5727190279395,0.8827872465017299,2.976312917512364,0.7043259855436445,35.3114898600692,1777.8363941009873,4.6982908013624725,0.7652542419812827,0.7652542542012558,Web/CloudOps,2
bitbrains_fast_storage/H/short,Reverso,3524802.606414244,3524802.54499653,331.9495674069695,1.0029178485116805,3.49608636746071,0.5515694941007725,40.11671394046721,1877.4457665707002,5.351330341762807,0.9461641042471411,0.9461641044246425,Web/CloudOps,2
