dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_l2c/H/short,STAEformerLite-JP-28000,257.8734654017857,257.8734654017857,11.375261579241071,1.0869606631151587,1.059299240295264,1.0343057541620164,10.71886467994174,16.058439071148406,0.8655910827129765,0.6131557957092556,0.5012686254486541,Web/CloudOps,7
bizitobs_l2c/H/medium,STAEformerLite-JP-28000,290.9941220238095,290.9941220238095,12.713103376116072,1.2255014819106427,1.2467116188046286,1.138384283156622,12.05127879348009,17.058549821828628,1.0329211021609852,0.7697977195189668,0.6282364421660044,Web/CloudOps,7
bizitobs_l2c/H/long,STAEformerLite-JP-28000,264.1587301587302,264.1587301587302,12.344324311755953,1.2458958198851233,1.9983861073192928,0.9102318173363095,13.818199460619422,16.25296065825332,0.9927777459392769,0.754026956876024,0.6297356963012092,Web/CloudOps,7
m4_weekly/W/short,STAEformerLite-JP-28000,3326961.176987358,3326961.176987358,1003.3013340843958,15.186215802514297,0.19104727100758934,0.19833386314740292,86.69541312526654,1823.99593666964,0.33230377190344407,0.18278594319719,0.14431605672567038,Econ/Fin,1
loop_seattle/5T/short,STAEformerLite-JP-28000,73.41586177144872,73.41586177144872,4.566125825954788,0.7096221616341191,0.15417396928288496,0.09454647680923296,10.727534862530582,8.568305653479497,0.14692752497752953,0.07829897688944765,0.06658479297451282,Transport,1
loop_seattle/5T/medium,STAEformerLite-JP-28000,186.7627182387912,186.7627182387912,8.035889568191072,1.2496844547131194,0.3322569467187297,0.16688759204403905,20.726076192632227,13.666115696817117,0.24314828014497578,0.14297498801328629,0.12343670604628465,Transport,1
loop_seattle/5T/long,STAEformerLite-JP-28000,193.94714759318384,193.94714759318384,8.210199464374337,1.277279325495788,0.33974876820665206,0.16834344900415765,22.531335139349828,13.926490857110554,0.24622322112313122,0.1451580142422958,0.12658337640226755,Transport,1
loop_seattle/D/short,STAEformerLite-JP-28000,32.9480711189955,32.9480711189955,4.2657234766658,1.2546718153873746,0.0761543447388215,0.0780255302679182,16.241037313471303,5.7400410380933256,0.10258220114442355,0.07623417686490523,0.06523916356308243,Transport,1
loop_seattle/H/short,STAEformerLite-JP-28000,146.41329986341657,146.41329986341657,7.15096713824389,1.4249195081000148,0.2656151013632256,0.149385992453586,17.791984305711438,12.100136357224102,0.2141847190242205,0.12657939068114546,0.10651554437287399,Transport,1
loop_seattle/H/medium,STAEformerLite-JP-28000,162.89948439465218,162.89948439465218,7.413835509372078,1.48920362739509,0.27851163516718785,0.15242315057138417,21.06649098440818,12.763208232832847,0.22558827988615324,0.13103871451503515,0.11182029454945293,Transport,1
loop_seattle/H/long,STAEformerLite-JP-28000,176.98646612702098,176.98646612702098,7.645887391543446,1.5522005593614083,0.2996231154883732,0.15887520314083092,24.436054272154767,13.303626051833424,0.2377535703153991,0.13664222208939983,0.11809779521257473,Transport,1
m_dense/D/short,STAEformerLite-JP-28000,19411.17546875,19411.17546875,88.19048267505786,1.2322317568391838,0.20619982874243237,0.18101622652124474,8.787543061632988,139.3239945908457,0.24119044063684295,0.152670768871069,0.11919783237787278,Transport,1
m_dense/H/short,STAEformerLite-JP-28000,304115.24466362846,304115.24466362846,317.27563937717014,2.501714339082169,1.8791798463335563,0.6204914538065592,13.235850862832413,551.4664492638046,0.9781641608467179,0.5627679797434326,0.4406523429114418,Transport,1
m_dense/H/medium,STAEformerLite-JP-28000,360274.5284722222,360274.5284722222,333.22225260416667,2.601199465556705,2.391146952445877,0.6157233217027452,21.672755487669246,600.2287301289585,1.0443221970411944,0.5797646421687173,0.47169541110328095,Transport,1
m_dense/H/long,STAEformerLite-JP-28000,355021.5466666667,355021.5466666667,328.9038662229938,2.566943234869012,2.335892343924154,0.6092915909378617,24.48810136384829,595.8368456772934,1.0314817122376234,0.5693812417854586,0.4696733227183664,Transport,1
sz_taxi/15T/short,STAEformerLite-JP-28000,18.21759845107175,18.21759845107175,2.914655376848866,0.5840240469635506,1449844971500.1938,0.41900804606112807,5.196966403938155,4.268207873460681,0.3990957055290255,0.27253275343740857,0.21988947101292586,Transport,1
