dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,Super-Linear,43.86001919,43.86001919,4.023444529,0.637858979,0.107861685,0.084380559,25.51435917,6.622689725,0.113564511,0.068993193,0.068993195,Transport,1
loop_seattle/5T/medium,Super-Linear,93.23833051,93.23833051,6.345981299,0.99967292,0.193021848,0.14314567,39.9869168,9.655999716,0.171800072,0.112908044,0.112908049,Transport,1
loop_seattle/5T/long,Super-Linear,104.8177732,104.8177732,6.666972036,1.048920947,0.204229932,0.149154666,41.95683787,10.23805515,0.181010909,0.117873429,0.117873443,Transport,1
loop_seattle/D/short,Super-Linear,19.25787055,19.25787055,3.164025614,0.942963466,0.058805968,0.058285022,37.71853864,4.388379034,0.078426203,0.056545369,0.056545372,Transport,1
loop_seattle/H/short,Super-Linear,70.88108587,70.88108587,5.057145694,1.02165685,0.13950241,0.115469515,40.86627399,8.41909056,0.149026464,0.089516621,0.089516621,Transport,1
loop_seattle/H/medium,Super-Linear,78.3118937,78.3118937,5.539168924,1.133117457,0.138235962,0.123481667,45.32469828,8.849400754,0.15641215,0.09790418,0.097904191,Transport,1
loop_seattle/H/long,Super-Linear,68.78005246,68.78005246,5.125711644,1.06284774,0.155900342,0.11632592,42.51390958,8.293374009,0.148213697,0.091603329,0.091603337,Transport,1
m_dense/D/short,Super-Linear,11908.21481,11908.21481,59.8623669,0.848282749,0.148022006,0.122813709,33.93130999,109.1247672,0.188911114,0.103630612,0.103630603,Transport,1
m_dense/H/short,Super-Linear,51453.89778,51453.89778,104.3207639,0.912087421,0.370527942,0.274303741,36.48349683,226.8345163,0.402347908,0.18503904,0.185039038,Transport,1
m_dense/H/medium,Super-Linear,41655.07111,41655.07111,98.36981771,0.861090893,0.362925697,0.279672123,34.44363571,204.0957401,0.355100803,0.171151055,0.171151053,Transport,1
m_dense/H/long,Super-Linear,46027.97037,46027.97037,106.7183488,0.924046269,0.409042692,0.304381179,36.96185078,214.5413022,0.371402709,0.184745238,0.184745242,Transport,1
sz_taxi/15T/short,Super-Linear,18.12103875,18.12103875,2.915210468,0.582178911,1.41713E+12,0.416859707,23.28715646,4.256881341,0.398036611,0.272584647,0.272584655,Transport,1
sz_taxi/15T/medium,Super-Linear,17.28796074,17.28796074,2.90402999,0.5647189,1.23235E+13,0.422822688,22.58875599,4.157879356,0.386960075,0.270268463,0.270268465,Transport,1
sz_taxi/15T/long,Super-Linear,16.14661903,16.14661903,2.803532597,0.528183745,7.82539E+12,0.412680149,21.12734979,4.018285584,0.371925356,0.259489983,0.259489955,Transport,1
sz_taxi/H/short,Super-Linear,7.872743786,7.872743786,2.008096157,0.610622638,1.287946,0.320903354,24.4249055,2.805841012,0.261381405,0.187066549,0.187066548,Transport,1
bitbrains_fast_storage/5T/short,Super-Linear,1773816.265,1773816.265,221.4268634,1.088522326,3.757010467,0.808724426,43.54089305,1331.846938,4.181670049,0.695225597,0.695225603,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,Super-Linear,2968583.967,2968583.967,321.1820925,1.234288292,5.740495558,0.840500897,49.37153167,1722.957912,5.234822301,0.97583996,0.975839919,Web/CloudOps,2
bitbrains_fast_storage/5T/long,Super-Linear,3512549.497,3512549.497,393.728277,1.179291605,6.037827879,0.85482616,47.17166419,1874.179687,4.952897359,1.040506285,1.040506344,Web/CloudOps,2
bitbrains_fast_storage/H/short,Super-Linear,3236532.651,3236532.651,398.4311793,1.357513756,5.954600413,0.654354276,54.30055029,1799.03659,5.127838536,1.135658255,1.135658254,Web/CloudOps,2
bitbrains_rnd/5T/short,Super-Linear,1560016.949,1560016.949,169.0649788,2.071022037,2.719038226,0.773425177,82.8408814,1249.006385,5.110573537,0.691765084,0.691765092,Web/CloudOps,2
bitbrains_rnd/5T/medium,Super-Linear,2794729.654,2794729.654,256.8086142,4.705386108,4.684616227,0.818532025,188.215444,1671.744494,7.033880359,1.08052461,1.080524501,Web/CloudOps,2
bitbrains_rnd/5T/long,Super-Linear,2507091.188,2507091.188,226.7169192,3.648978545,4.024417517,0.784995381,145.9591419,1583.379673,6.06557106,0.868501477,0.868501527,Web/CloudOps,2
bitbrains_rnd/H/short,Super-Linear,2013255.406,2013255.406,252.8349601,6.166212489,5.392929943,0.692863081,246.6484989,1418.892317,6.209767269,1.106529538,1.106529569,Web/CloudOps,2
bizitobs_application/10S/short,Super-Linear,1064200.036,1064200.036,579.7135764,1.55214917,0.02323096,0.023336069,62.0859668,1031.600715,0.039784716,0.022357235,0.022357234,Web/CloudOps,2
bizitobs_application/10S/medium,Super-Linear,5197609.387,5197609.387,1292.029688,3.062634664,0.043389854,0.044192619,122.5053866,2279.826613,0.089522081,0.050734203,0.050734202,Web/CloudOps,2
bizitobs_application/10S/long,Super-Linear,7447791.502,7447791.502,1676.697222,3.808987391,0.054219666,0.055405735,152.3594956,2729.064217,0.105249098,0.06466351,0.064663514,Web/CloudOps,2
bizitobs_l2c/5T/short,Super-Linear,24.71660621,24.71660621,3.233195278,0.332813204,0.189127056,0.226295399,13.31252817,4.971579851,0.170744176,0.111041013,0.111041016,Web/CloudOps,7
bizitobs_l2c/5T/medium,Super-Linear,184.1836735,184.1836735,8.611395886,0.830462652,0.465908301,0.756627006,33.21850606,13.57142857,0.714056719,0.45308606,0.453086025,Web/CloudOps,7
bizitobs_l2c/5T/long,Super-Linear,226.9024603,226.9024603,10.2363089,0.9795113,0.689786983,0.891967696,39.180452,15.06328186,0.845780757,0.574753442,0.574753466,Web/CloudOps,7
bizitobs_l2c/H/short,Super-Linear,66.48960658,66.48960658,5.146033877,0.532393669,0.540988108,0.628064413,21.29574679,8.154115929,0.439527732,0.277384405,0.27738442,Web/CloudOps,7
bizitobs_l2c/H/medium,Super-Linear,70.13871838,70.13871838,4.997999791,0.507342893,0.545322035,0.759970311,20.29371574,8.374886171,0.507112078,0.302636479,0.302636467,Web/CloudOps,7
bizitobs_l2c/H/long,Super-Linear,84.01501736,84.01501736,5.475880844,0.585768696,0.702891905,0.763546995,23.43074785,9.165970618,0.55988394,0.334482606,0.334482616,Web/CloudOps,7
bizitobs_service/10S/short,Super-Linear,5810.993016,5810.993016,26.36889881,0.938911077,0.170022011,0.085450078,37.55644306,76.22986958,0.056473524,0.019534923,0.019534923,Web/CloudOps,2
bizitobs_service/10S/medium,Super-Linear,64437.98349,64437.98349,59.39317956,1.38965231,0.139352117,0.094884237,55.58609239,253.8463777,0.191050766,0.044700707,0.044700707,Web/CloudOps,2
bizitobs_service/10S/long,Super-Linear,133600.4131,133600.4131,82.51873677,1.573524202,0.14955423,0.107998292,62.94096806,365.5139028,0.270784384,0.061132518,0.061132518,Web/CloudOps,2
car_parts/M/short,Super-Linear,1.356189807,1.356189807,0.625203726,1.120194494,0.627095991,1.775226437,44.80777979,1.164555627,2.792484932,1.499174402,1.499174382,Sales,1
covid_deaths/D/short,Super-Linear,8398875.717,8398875.717,532.5066416,62.75110511,0.20570869,0.495451825,2510.044206,2898.081386,1.090417225,0.200358215,0.200358213,Healthcare,1
