dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/5T/long,TSOrchestra,5264177.712564898,5264177.712564898,388.0607584403318,0.901473426367395,3.4958704288678635,0.8225785367482992,19.78252062537251,2294.379592082552,6.063360328637647,1.0255287381162714,0.8569765170641817,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,TSOrchestra,2629666.35881228,2629666.35881228,267.13693240499754,0.9755113575078024,3.497072296304505,0.8046394155192599,22.31743248298805,1621.6246047751863,4.926943452114991,0.8116357855296321,0.6244223901352561,Web/CloudOps,2
bitbrains_fast_storage/5T/short,TSOrchestra,1598900.2355052335,1598900.2355052335,146.95083760491636,0.6656270729567958,1.701972644929568,0.727685243571386,13.181080607240563,1264.4762692534937,3.970142760173626,0.4613892867780263,0.365964340187127,Web/CloudOps,2
bitbrains_fast_storage/H/short,TSOrchestra,2912910.151516303,2912910.151516303,287.49859311070884,1.0675768306007718,3.659132051164256,0.5831312763838772,22.55778526125413,1706.7249782892095,4.864720434315338,0.8194643533866295,0.6087710720492973,Web/CloudOps,2
bitbrains_rnd/5T/long,TSOrchestra,2195425.021583008,2195425.021583008,172.2106230296033,3.333250711252761,1.8806075964333708,0.7172136397691566,120.6746930735072,1481.6966698967128,5.676046120403083,0.6597000982714744,0.6188268065990985,Web/CloudOps,2
bitbrains_rnd/5T/medium,TSOrchestra,2319427.3742827107,2319427.3742827107,149.38444791950795,4.398683090057088,0.6034995579301339,0.7158910108844455,163.85520814343516,1522.966635971619,6.4078972973992325,0.6285365532556089,0.5979848836750823,Web/CloudOps,2
bitbrains_rnd/5T/short,TSOrchestra,1473726.8591539084,1473726.8591539084,108.79970436662305,1.641868127256456,0.9423694118471172,0.6508360180064867,53.01885007776693,1213.971523205511,4.967221013854713,0.4451769810909985,0.3750148337304279,Web/CloudOps,2
bitbrains_rnd/H/short,TSOrchestra,1845706.057453438,1845706.057453438,172.64039404718713,5.82570641067154,2.346208482457765,0.5546866192080948,196.37279957948388,1358.5676492002294,5.945756719893324,0.7555588296507487,0.6334180543872927,Web/CloudOps,2
bizitobs_application/10S/long,TSOrchestra,6300652.343285634,6300652.343285634,1510.8551271272145,3.273066065427611,0.0475715841818773,0.0486614762046312,48.19020274993594,2510.110026131451,0.0968049105113743,0.0582676431927616,0.051692036906652,Web/CloudOps,2
bizitobs_application/10S/medium,TSOrchestra,3141437.0235548923,3141437.0235548923,972.3970452281378,2.112017627778224,0.0300273240536565,0.0307198523157431,11.472651662318707,1772.4099479394974,0.069597322141417,0.0381831700306023,0.0305904860945084,Web/CloudOps,2
bizitobs_application/10S/short,TSOrchestra,287095.4478290099,287095.4478290099,298.5058670468253,1.0443476467186994,0.0143907985096621,0.0145381525319758,6.394522497266609,535.8128850905042,0.0206641612726306,0.0115121781299457,0.0089604197896585,Web/CloudOps,2
bizitobs_l2c/5T/long,TSOrchestra,83.0697872504921,83.0697872504921,5.642939220666352,0.5696564400947636,0.3978218093830707,0.7564623852529254,13.804302889347444,9.114262847344929,0.5117522330309839,0.3168426010311262,0.2892075038115793,Web/CloudOps,7
bizitobs_l2c/5T/medium,TSOrchestra,61.70962552958317,61.70962552958317,4.927370302463452,0.48960438687586,0.3476752288925723,0.6210855772084146,7.861138640933592,7.855547436657942,0.41331731599612,0.2592521380279029,0.2234929985028826,Web/CloudOps,7
bizitobs_l2c/5T/short,TSOrchestra,14.642827870443844,14.642827870443844,2.349119750534425,0.2440084874488821,0.1430302911092752,0.1886742734370725,2.0339245158186103,3.826594813988521,0.1314207547992615,0.0806782807525158,0.0652488445674679,Web/CloudOps,7
bizitobs_l2c/H/long,TSOrchestra,101.02002269874252,101.02002269874252,5.79270528052348,0.6140380201230761,0.7098728268221247,0.8065474676895348,13.48080129651983,10.0508717382495,0.6139362543744982,0.3538351573113746,0.3186120537518076,Web/CloudOps,7
bizitobs_l2c/H/medium,TSOrchestra,73.83455529516395,73.83455529516395,5.058936382243523,0.5084998332319391,0.5583875041249089,0.7863359079229258,8.072527822902423,8.592703608013252,0.5203012550324917,0.3063262820279485,0.2657579988717222,Web/CloudOps,7
bizitobs_l2c/H/short,TSOrchestra,49.411486134753,49.411486134753,4.253030272676025,0.4223228430760049,0.3861958512891212,0.586142903277352,2.661657162434647,7.029330418663857,0.3788989119923153,0.229249223896013,0.1791046004349885,Web/CloudOps,7
bizitobs_service/10S/long,TSOrchestra,129831.95913686778,129831.95913686778,75.44123178895673,1.2994572040936647,0.0828167071728293,0.077985466375148,18.741404874106536,360.322021443136,0.266938072690561,0.055889276304818,0.0511866544270041,Web/CloudOps,2
bizitobs_service/10S/medium,TSOrchestra,39670.67651103585,39670.67651103585,44.52470586583992,1.0328695904209553,0.0713432420459128,0.0634714228586425,8.594384075020741,199.17498967248835,0.1499037908080025,0.0335103428642107,0.0256455515962885,Web/CloudOps,2
bizitobs_service/10S/short,TSOrchestra,2000.266305347596,2000.266305347596,18.217186367952937,0.7267567470449694,0.0586501257235197,0.047384793134761,5.983825966646507,44.7243368351907,0.0331332195026727,0.0134958744469421,0.010455704230382,Web/CloudOps,2
car_parts/M/short,TSOrchestra,1.3700726447974214,1.3700726447974214,0.4408185728037948,0.8195973504475315,0.8654278847865639,1.920954398310368,14.72832418262796,1.1705010229800832,2.8067413825967145,1.0570377182205044,0.9327451811489212,Sales,1
covid_deaths/D/short,TSOrchestra,311992.3614518785,311992.3614518785,98.59279415444828,36.69020130413997,0.0950309243678922,0.3752581449153261,757.462743110833,558.5627641114994,0.2101619582759646,0.0370960186083255,0.0309701459662416,Healthcare,1
electricity/15T/long,TSOrchestra,310425.9014339793,310425.9014339793,56.07605102932675,0.8395787020321144,0.1221391154146066,0.1270251062617314,7.107499451353006,557.1587757847661,0.8789862963787067,0.088466847426724,0.0707787446331732,Energy,1
electricity/15T/medium,TSOrchestra,245566.43095452964,245566.43095452964,50.36244413874705,0.7903216412228886,0.1196486336044607,0.1249713373077373,7.083785740611692,495.54659816664025,0.8538767067306245,0.0867795644308659,0.0701145340638231,Energy,1
electricity/15T/short,TSOrchestra,116434.440520035,116434.440520035,44.29597434719481,0.8624967938156302,0.1467345147876314,0.1499845461587394,10.16103748067126,341.2249119276537,0.6726215644733806,0.0873160971658479,0.0734790224803248,Energy,1
electricity/D/short,TSOrchestra,1224080519.5167174,1224080519.5167174,4072.5329783997927,1.3610285160018476,0.3025935440578299,0.0918415183145351,10.85786686999034,34986.862098746686,0.5749503632197721,0.0669252449261329,0.0527147867229691,Energy,1
