dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss
bitbrains_fast_storage/5T/long,Taichu-TimeSeries-Agent,4520753.965597799,4520753.965597799,375.688655337133,0.8656439779691396,4.543278575342388,0.8264428972149889,15.067551178551435,2126.2064729460776,5.618928910886309,0.992832950997866,0.7474144488210427
bitbrains_fast_storage/5T/medium,Taichu-TimeSeries-Agent,3018155.9494486265,3018155.9494486265,272.3036912428823,0.9471244484520195,3.7771324713298746,0.8066612446714008,20.46647540143359,1737.2840727551227,5.2783491365469635,0.8273338690494138,0.6210484005057453
bitbrains_fast_storage/5T/short,Taichu-TimeSeries-Agent,1966911.7294117648,1966911.7294117648,166.69322942666386,0.6486507354036165,2.097781135928936,0.7373959445763061,12.589445798400824,1402.466302415771,4.40339739206599,0.5233755210147111,0.4028115813753529
bitbrains_fast_storage/H/short,Taichu-TimeSeries-Agent,4889753.594643179,4889753.594643179,381.01478167448573,0.9761329797505943,3.319689238835444,0.5852732634905912,19.235463386981273,2211.2787238706883,6.30286249776639,1.086015866108066,0.8055166380336267
bitbrains_rnd/5T/long,Taichu-TimeSeries-Agent,2201374.1467905627,2201374.1467905627,154.9543018981376,3.3128384516164857,0.9577909740965238,0.691582176914819,116.99051590225613,1483.7028498963539,5.683731592139983,0.593595045731674,0.6369256600221341
bitbrains_rnd/5T/medium,Taichu-TimeSeries-Agent,2204715.3580986094,2204715.3580986094,148.05398990668954,4.383913922827235,0.5385129105292282,0.713872993535976,160.41283912170425,1484.8283934847857,6.24742914378229,0.6229385264013533,0.7000353215854729
bitbrains_rnd/5T/short,Taichu-TimeSeries-Agent,1557908.458293817,1557908.458293817,118.08426559829277,1.6343950529869655,1.0476622911450633,0.6543482864237746,51.63001040170116,1248.162032067078,5.107118690553829,0.4831667238736787,0.39231413140587956
bitbrains_rnd/H/short,Taichu-TimeSeries-Agent,1921273.6257000475,1921273.6257000475,160.69923331077854,5.820945580665052,1.7241756724143038,0.5631227310291552,196.15955982931777,1386.1001499531149,6.066252696525924,0.7032985007859157,0.7480437001666177
bizitobs_application/10S/long,Taichu-TimeSeries-Agent,5127906.208247059,5127906.208247059,1386.1897057878969,2.8714013425857674,0.041639954657623164,0.04251768605091289,45.08509229614354,2264.488067587696,0.0873322533493685,0.05345979619363438,0.0472745483702797
bizitobs_application/10S/medium,Taichu-TimeSeries-Agent,2952579.916009569,2952579.916009569,947.0112490606039,2.073871452723604,0.029769099201924026,0.03030772587903756,23.902920062739337,1718.3072821848743,0.06747286969089265,0.03718634452996563,0.03157095187553048
