dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
m4_hourly/H/short,TiRex-2,2735924.972624799,2735924.972624799,274.13352958937196,0.7419439182389933,0.08749635361626912,0.08123207732684108,5.473133131330267,1654.063170687504,0.22581613246750787,0.03742527766083388,0.0290645478351972,Econ/Fin,1
hierarchical_sales/W/short,TiRex-2,468.0,468.0,8.952389474642478,0.7229401236570634,0.5346424392231268,0.4563716622864947,6.736882009297888,21.633307652783937,0.9931957359771438,0.41100857972023297,0.3484094691711162,Sales,1
electricity/15T/short,TiRex-2,122465.69444819819,122465.69444819819,49.285010557432436,0.9394809187300088,0.1619774548785007,0.1529433031237386,9.969919577841162,349.9509886372636,0.6898223789018113,0.09715047058252188,0.08044891389738694,Energy,1
electricity/15T/medium,TiRex-2,267435.3852702703,267435.3852702703,53.47612682995496,0.8221889886246854,0.1263991920206702,0.12431317125815226,7.144108773136996,517.1415524498783,0.8910869701381757,0.0921447514822314,0.07421144456232331,Energy,1
electricity/15T/long,TiRex-2,330048.6916396396,330048.6916396396,57.904783596096095,0.866318436990398,0.1313392786854205,0.126076343883345,7.206440582229634,574.4986437230637,0.9063420178428268,0.09135189261218972,0.0731714648520933,Energy,1
us_births/M/short,TiRex-2,53760512.0,53760512.0,5961.65234375,0.6734442379902473,0.018370466927687328,0.01861603234076324,3.6619369354757176,7332.156026708652,0.022773626628948822,0.018516851533655312,0.013913057847699436,Healthcare,1
bizitobs_application/10S/short,TiRex-2,371382.7911111111,371382.7911111111,315.1425,0.8120974750327924,0.012099929385715061,0.012123103450099487,5.926582770119361,609.4118403108945,0.023502578792049585,0.012153786564427336,0.009822963161196427,Web/CloudOps,2
bizitobs_application/10S/medium,TiRex-2,4158993.066666667,4158993.066666667,1126.4161458333333,2.450093689833996,0.03512014389038086,0.03585457102084038,30.292152236670653,2039.3609456559343,0.08007970213801013,0.04423104680606996,0.0383724077420928,Web/CloudOps,2
bizitobs_application/10S/long,TiRex-2,6185949.297777778,6185949.297777778,1517.5309722222223,3.254956093319394,0.04710794236924913,0.048130068658116074,65.31864844873816,2487.1568703597645,0.09591969903964602,0.05852510385396066,0.05338696670429768,Web/CloudOps,2
jena_weather/D/short,TiRex-2,361.02720734126984,361.02720734126984,9.569070870535715,1.0514905529518717,0.5775311723376692,0.45571283752111424,6.725121139199016,19.00071596917521,0.11441536536470644,0.057621446561765474,0.045102764226988466,Nature,21
saugeen/W/short,TiRex-2,1070.11875,1070.11875,14.060226440429688,1.14081485589053,0.3662555456161499,0.3743517967611254,17.176551747705325,32.71266956394724,0.9874591322010298,0.4244196265387699,0.36449206766183456,Nature,1
