dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
m4_yearly/A/short,TiRex-2-Zeroshot,3925752.972461623,3925752.972461623,945.9092669974754,3.565310531663481,0.1691560802524474,0.159569355775755,33.09361634918049,1981.351299608836,0.3177188651366359,0.15168093557765205,0.12393123470237974,Econ/Fin,1
m4_quarterly/Q/short,TiRex-2-Zeroshot,1805140.6866666668,1805140.6866666668,561.00865625,1.1902769296544624,0.11176770369211833,0.1023809876901841,9.1061822629413,1343.5552413900468,0.2248874881696951,0.09390297001483086,0.0750439460234444,Econ/Fin,1
m4_monthly/M/short,TiRex-2-Zeroshot,1894708.7681111111,1894708.7681111111,564.4636552372685,0.9451225157862497,0.1610596431096395,0.13314482971049318,7.687750775483862,1376.484205543642,0.2860806732791468,0.11731492586804414,0.09352542604180264,Econ/Fin,1
m4_weekly/W/short,TiRex-2-Zeroshot,262766.8583672595,262766.8583672595,261.9853224769659,2.064760132194989,0.06361218818842738,0.06351536993354064,14.264154829555096,512.6078992439147,0.0933892151838018,0.047729665679921776,0.03773484955269001,Econ/Fin,1
m4_daily/D/short,TiRex-2-Zeroshot,360299.0735746392,360299.0735746392,175.61151420291324,3.290214060862409,0.036935874990276125,0.030074489008788827,26.173371487155997,600.2491762382012,0.09272190956718832,0.027127125839516045,0.021460839272318906,Econ/Fin,1
m4_hourly/H/short,TiRex-2-Zeroshot,3084036.3285024157,3084036.3285024157,284.49076590177134,0.7445135392163762,0.08728793968900966,0.08059150389061331,5.49825161460385,1756.1424567791805,0.23975220818623966,0.03883926902982491,0.030272192270531455,Econ/Fin,1
electricity/15T/short,TiRex-2-Zeroshot,123817.23977477477,123817.23977477477,51.50886208474099,0.9913067720463019,0.1690069505767124,0.15860901977101932,9.986028513983076,351.87673946252085,0.6936184133711639,0.10153412029548933,0.08350562702586567,Energy,1
electricity/15T/medium,TiRex-2-Zeroshot,261771.33581081082,261771.33581081082,53.94533009572072,0.8317570403290815,0.12924391153463058,0.12585259868075158,7.235878905350341,511.63594069495434,0.8816002466787844,0.09295323595710964,0.07491384668942075,Energy,1
electricity/15T/long,TiRex-2-Zeroshot,327501.0835975976,327501.0835975976,58.55276661036036,0.879442109489505,0.1374557466979041,0.1280798910425497,7.345243199954292,572.2771038558135,0.9028372664426261,0.09237416523039846,0.07416215534539335,Energy,1
electricity/H/short,TiRex-2-Zeroshot,1532454.2069369368,1532454.2069369368,168.07000351914414,0.9381835650021294,0.17448969788421761,0.12022988347553581,10.049656401936238,1237.9233445318562,0.5843882235269777,0.07934104419193143,0.0648753058328166,Energy,1
