dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
solar/H/short,Toto-2.0-4m,607.2456020297093,607.2456020297093,11.197790000545243,0.8639841227139131,4.9422555466258835,1.4149860403551549,6.58289683798531,24.642353824862376,0.9083253577375008,0.4127542636715416,0.3328654631237825,Energy,1
solar/H/medium,Toto-2.0-4m,821.5905717761557,821.5905717761557,12.808282010340632,0.9774009964383048,6.992344401066106,1.42225444929467,7.463217188192942,28.66340125972763,1.0325226140813386,0.4613842126889849,0.3890657890943294,Energy,1
solar/H/long,Toto-2.0-4m,871.1173560421736,871.1173560421736,14.104281984995945,1.070799620045558,8.299496074752511,1.426011304263003,8.737452714730393,29.51469728867592,1.023328344005707,0.4890211607433,0.4163569046108424,Energy,1
ett2/D/short,Toto-2.0-4m,115933.14285714286,115933.14285714286,206.2813492063492,1.341062929032021,0.449334474593874,0.1369174283485981,10.930529788651825,340.4895635069346,0.1948711385801822,0.1180602452940638,0.0948886710955291,Energy,7
car_parts/M/short,Toto-2.0-4m,1.4652814686464666,1.4652814686464666,0.4998462789005154,0.8934632456300222,0.8013489244228845,1.8752725064039824,15.926917318227492,1.210488111732811,2.902626319532612,1.1985801023523988,1.0297717469972845,Sales,1
ett2/W/short,Toto-2.0-4m,3095963.4285714286,3095963.4285714286,1272.45703125,0.8911317677781644,0.1395550455365862,0.1554014923281728,9.505756605835812,1759.535003508435,0.1475979838420517,0.1067396169804258,0.0883926497450238,Energy,7
m4_monthly/M/short,Toto-2.0-4m,1854671.7533148148,1854671.7533148148,560.5466488715277,0.938665429443416,0.1606089453167385,0.1319967233423983,7.78747065507118,1361.863338707234,0.2830419537112455,0.1165008368559925,0.0931933717498077,Econ/Fin,1
bitbrains_rnd/H/short,Toto-2.0-4m,1780065.5230382336,1780065.5230382336,140.74693224260474,5.8249473408156165,0.9553673606688144,0.5461258249481259,199.55928664035832,1334.1909619834162,5.839072444237619,0.6159774403261082,0.5910309983453605,Web/CloudOps,2
bizitobs_l2c/H/short,Toto-2.0-4m,56.763113839285715,56.763113839285715,4.637992253379216,0.4485401482268448,0.3686871425710993,0.631991039836573,2.584712542043993,7.534129932466371,0.4061089410153631,0.2499996866712781,0.1946483905210013,Web/CloudOps,7
bizitobs_l2c/H/medium,Toto-2.0-4m,97.99285714285716,97.99285714285716,5.717781575520833,0.5761210678214528,0.5113450218203714,0.8284352735393472,3.8732384541911697,9.89913416127174,0.5994076093863512,0.3462203592092711,0.2745276352669882,Web/CloudOps,7
bizitobs_l2c/H/long,Toto-2.0-4m,111.11857638888888,111.11857638888888,6.6055330791170634,0.699018638858312,0.7914339522799662,0.8395349533655004,5.171905747360834,10.541279637164024,0.6438917842445557,0.4034850252149646,0.3223858898171151,Web/CloudOps,7
bizitobs_service/10S/short,Toto-2.0-4m,35404.63500175678,35404.63500175678,49.053878826161544,1.17504239200847,0.0929534361097547,0.0835941679056791,8.591755039523957,188.16119419730728,0.1393958301792491,0.0363406822095038,0.0272112715787051,Web/CloudOps,2
bizitobs_service/10S/medium,Toto-2.0-4m,117425.12761904762,117425.12761904762,93.43437624007936,1.8931135793544005,0.1546583532908606,0.1190551908266233,15.590598013094018,342.6735000245097,0.2579041435545079,0.0703209112494073,0.0555983105959347,Web/CloudOps,2
bizitobs_service/10S/long,Toto-2.0-4m,142911.88994708995,142911.88994708995,106.36412863756614,2.06147548504175,0.1491853130683697,0.1234698459058535,17.042328507381583,378.0368896643421,0.280061807910077,0.0787979453260921,0.0614492689892756,Web/CloudOps,2
loop_seattle/H/short,Toto-2.0-4m,68.73542651132475,68.73542651132475,4.791941532066428,0.967435624006094,0.1480034752611062,0.1090247008139889,7.105511476651371,8.290683114878094,0.146753523142684,0.0848222387444173,0.0667408572845607,Transport,1
loop_seattle/H/medium,Toto-2.0-4m,89.7561516382869,89.7561516382869,5.617549805695305,1.1399215114064625,0.1797722532038103,0.1248967156392432,8.302683260703224,9.47397232623607,0.1674513957788427,0.0992895612768339,0.0776432548331724,Transport,1
loop_seattle/H/long,Toto-2.0-4m,91.84911528207776,91.84911528207776,5.605218411377709,1.1551900520865204,0.1923943308648843,0.1258873255088679,8.756769716841715,9.583794409422488,0.1712752402632367,0.1001727592562668,0.0786305518353229,Transport,1
ett1/W/short,Toto-2.0-4m,1266567.7142857143,1266567.7142857143,897.2620675223214,1.559026991109954,0.6516675267900739,0.5368391609699591,8.302125925763024,1125.4189061348286,0.4478310439669485,0.3570419922928897,0.2653675460208302,Energy,7
jena_weather/10T/short,Toto-2.0-4m,881.9960317460317,881.9960317460317,6.399733770461309,0.345281654711948,0.3577317881267515,0.5699147782519293,2.88529906329938,29.698418000729124,0.1844644116553743,0.0397503706995501,0.0321612839466999,Nature,21
jena_weather/10T/medium,Toto-2.0-4m,1557.152380952381,1557.152380952381,11.122451073232323,0.7527083482766947,1.015418435974016,0.6704423260308339,6.460456476995644,39.46077015153634,0.2421700450179498,0.0682582845385684,0.0569809842505064,Nature,21
jena_weather/10T/long,Toto-2.0-4m,1489.996164021164,1489.996164021164,11.226995494378308,0.8285904971599055,1.1661917037327971,0.6802907415962404,6.904715696143162,38.60046844302753,0.2362028852818552,0.0686999105394938,0.0576325776203665,Nature,21
m4_quarterly/Q/short,Toto-2.0-4m,1899445.1366666667,1899445.1366666667,585.02766015625,1.2360947495895058,0.1203117129007975,0.1067021662907511,9.646709112084377,1378.2035904272875,0.2306870112587107,0.0979233281370865,0.0784418166699943,Econ/Fin,1
