dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
saugeen/D/short,toto_v2,1231.006875,1231.006875,13.130796712239583,2.9169695338498896,0.2795050048828125,0.3227000201073349,29.199424556609404,35.085707560201776,1.136434427585727,0.4253096341242126,0.341313210340949,Nature,1
kdd_cup_2018/D/short,toto_v2,2909.506642625008,2909.506642625008,21.233932855305373,1.1950286346682366,0.5208733619087768,0.46694560599415424,9.30815873674513,53.939842812386914,1.2083097730794659,0.4756626503198978,0.37803835926421553,Nature,1
kdd_cup_2018/H/short,toto_v2,4904.620725515922,4904.620725515922,23.51611104224351,0.9615669816718788,0.8338480547489764,0.5203929513888899,7.889869148327324,70.0329974049085,1.465917462936695,0.4922347909496598,0.39466017515790214,Nature,1
kdd_cup_2018/H/medium,toto_v2,5703.013453682211,5703.013453682211,27.67460544806115,1.0936560927344443,0.903834004595673,0.6278517493483391,9.655610889653815,75.51829880023921,1.5807347502883178,0.5792796080852671,0.4607502012287218,Nature,1
kdd_cup_2018/H/long,toto_v2,4280.921786842121,4280.921786842121,24.548326904429903,1.0279333081332636,0.9124605100089,0.6244338072425957,7.739515843237341,65.428753517411,1.5352229152245713,0.5760029340017285,0.4517254629872005,Nature,1
loop_seattle/D/short,toto_v2,19.497521204205366,19.497521204205366,2.9385875721587977,0.8818352131410512,0.05411627093335793,0.05428208443703455,7.833614794736133,4.415599755888816,0.07891267094709262,0.05251648857479056,0.04286291140923923,Transport,1
sz_taxi/H/short,toto_v2,7.146346654647436,7.146346654647436,1.8333304641593215,0.5585087415553339,1.16682616665832,0.2922900728066225,3.883124058582078,2.6732651672902628,0.2490311467524495,0.17078604601300426,0.13447484102435692,Transport,1
hierarchical_sales/W/short,toto_v2,457.54601430084745,457.54601430084745,8.878895905058263,0.7262008843720253,0.5315811202874287,0.45544689357367485,6.811389406317605,21.3903252500014,0.9820402950138641,0.40763445399224285,0.34721307423836245,Sales,1
loop_seattle/H/short,toto_v2,61.20180021454565,61.20180021454565,4.022257758821153,0.8159929687006904,0.1094666799531095,0.0922174285225759,6.849237349045776,7.823157943857816,0.13847785212083716,0.07119805315387209,0.05687263702129212,Transport,1
loop_seattle/H/medium,toto_v2,67.82694465944273,67.82694465944273,4.3197142168956395,0.8838532879128354,0.11182527965313387,0.09872602460110783,6.940586868119738,8.235711545424763,0.14556527568633965,0.0763504631506838,0.06054733451986097,Transport,1
loop_seattle/H/long,toto_v2,60.77318863949088,60.77318863949088,4.139939424234606,0.8664948257839215,0.11786072386225598,0.09563806827330737,6.8053651296643425,7.795716044052072,0.13931988536359338,0.07398626152329536,0.05864764444537413,Transport,1
