dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
m4_daily/D/short,Toto-2.0-2.5B,352903.6562235966,352903.6562235966,171.75375297830274,3.2277510499541595,0.03640685529005266,0.02958608339093308,25.884781190389447,594.0569469534016,0.09176538078871603,0.026531208202807757,0.02123106576352982,Econ/Fin,1
kdd_cup_2018/H/short,Toto-2.0-2.5B,4855.2501195736595,4855.2501195736595,23.465047741703344,0.9595931083505193,0.8364030812088283,0.5187587998846638,7.826400017196133,69.67962485241765,1.4585207354680152,0.4911659435955443,0.3938672465833166,Nature,1
kdd_cup_2018/H/medium,Toto-2.0-2.5B,5607.939502310294,5607.939502310294,27.15317382362556,1.0769120519040152,0.8909912736181574,0.6140884868773921,9.380681635982349,74.88617697753234,1.5675032958270427,0.5683650999231471,0.45237663366261116,Nature,1
kdd_cup_2018/H/long,Toto-2.0-2.5B,4242.2762836812535,4242.2762836812535,24.40253345422162,1.023704952812656,0.9175062555625348,0.6202821019096566,7.576954319049674,65.13275891347804,1.5282776858825546,0.5725820305973889,0.4479496002582582,Nature,1
bizitobs_application/10S/short,Toto-2.0-2.5B,417513.62666666665,417513.62666666665,334.25252604166667,1.0565798528574672,0.014469617472754584,0.014661322815212482,6.5747657586205035,646.1529437112135,0.024919538427472476,0.012890784988666307,0.010065398836824219,Web/CloudOps,2
bizitobs_application/10S/medium,Toto-2.0-2.5B,4482434.133333334,4482434.133333334,1155.614375,2.4668204107422835,0.035443722407023114,0.03624735076684845,37.37932779362392,2117.17598071897,0.08313526954160307,0.04537757532992181,0.04044405462846265,Web/CloudOps,2
bizitobs_application/10S/long,Toto-2.0-2.5B,6687886.222222222,6687886.222222222,1561.0034722222222,3.314861491410384,0.048148193359375,0.04924846630713858,78.07842653109377,2586.0947821420277,0.0997353388309524,0.0602016644144121,0.0562987637724013,Web/CloudOps,2
solar/H/short,Toto-2.0-2.5B,686.2523740635805,686.2523740635805,11.192705613364787,0.8644678145555112,3.6686041945052708,1.4083920785902735,5.0517503681296265,26.196419107648673,0.9656087209245878,0.4125668514690635,0.309162389648627,Energy,1
solar/H/medium,Toto-2.0-2.5B,782.9344890510949,782.9344890510949,11.215145034975668,0.8580781942887515,4.510220271500431,1.4039882640311678,4.866123781378678,27.98096654962253,1.0079397230129443,0.4039957004364408,0.30341474291745135,Energy,1
solar/H/long,Toto-2.0-2.5B,719.7978102189782,719.7978102189782,11.567249594484997,0.8801698452230019,5.025467820376725,1.4013512711306553,4.878709223665024,26.829047881335224,0.9302119845962437,0.4010576241541406,0.2997051342414823,Energy,1
sz_taxi/15T/short,Toto-2.0-2.5B,16.662945385235425,16.662945385235425,2.714195633400345,0.541443348457186,1123639681615.4724,0.3880851347506071,3.83456549097844,4.082027117160716,0.3816869935614086,0.2537888998568583,0.1992960257761699,Transport,1
sz_taxi/15T/medium,Toto-2.0-2.5B,16.224681156517093,16.224681156517093,2.7400951939770297,0.5342499814206358,10176506523879.057,0.4030062379891592,4.003849492937235,4.0279872339069165,0.37487144527808564,0.2550115941081066,0.2027022269111409,Transport,1
sz_taxi/15T/long,Toto-2.0-2.5B,15.450155804843305,15.450155804843305,2.6800597622863247,0.5054476943630791,6561442339935.106,0.39533449449764674,4.344848286616541,3.9306686205839467,0.36381568575363127,0.24806155756067233,0.20059663840209702,Transport,1
ett1/D/short,Toto-2.0-2.5B,42671.368253968256,42671.368253968256,137.39107142857142,1.6330336160627024,1.5246250697544643,0.46793046173322184,10.489161180927924,206.57049221505054,0.5425642498160604,0.3608622064155418,0.27385010760236206,Energy,7
ett1/W/short,Toto-2.0-2.5B,1110543.7857142857,1110543.7857142857,834.7005440848214,1.5323220009977343,0.6086300441196987,0.5479042911144155,8.16016148968993,1053.8234129655148,0.4193414884116226,0.33214726891437396,0.2528938653039026,Energy,7
hierarchical_sales/D/short,Toto-2.0-2.5B,28.78833583092187,28.78833583092187,2.3168909382751135,0.7460114938164332,0.6370128227196044,1.0584396867990284,7.129813320402598,5.365476291152713,1.646068707060129,0.7107964818434603,0.5788883526560438,Sales,1
electricity/15T/short,Toto-2.0-2.5B,149585.77279420046,149585.77279420046,51.21445008973818,0.9853465307537749,0.15965214454732787,0.16223225515285883,11.414421192701456,386.76319989652643,0.7623865066753635,0.10095377664074888,0.08393767406459864,Energy,1
electricity/15T/medium,Toto-2.0-2.5B,269146.21517004503,269146.21517004503,52.590625598254505,0.8167459891744625,0.12023375173369304,0.12804889229936528,7.163844871514077,518.7930369328843,0.8939326624174814,0.09061894553787266,0.07291322717050974,Energy,1
electricity/15T/long,Toto-2.0-2.5B,337014.10053153156,337014.10053153156,57.83510280593093,0.8655878308413604,0.12437750105249876,0.130012361616755,7.467438180016205,580.5291556257373,0.9158559366216424,0.09124196732693185,0.07298959020413062,Energy,1
electricity/D/short,Toto-2.0-2.5B,1498651425.1923604,1498651425.1923604,4424.702558558559,1.426517788580446,0.4498766455276096,0.09500169787485703,11.376538215873293,38712.41952129007,0.6361736471839595,0.07271256096081363,0.056994341671998,Energy,1
m4_quarterly/Q/short,Toto-2.0-2.5B,1740647.8353333334,1740647.8353333334,546.107822265625,1.1506933560454036,0.11056019028027853,0.09931132622855449,8.938456332956708,1319.336134324128,0.22083363574643902,0.09140883264162909,0.07310687187853698,Econ/Fin,1
