dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_rnd/5T/short,large_pretrained-95fb2190,1682790.2690141932,1682790.2690141932,113.04913078643357,1.5784259121290463,0.9426178053883008,0.6342403868219622,51.353062855574755,1297.2240627640983,5.307866372138508,0.4625644072792061,0.3682199994276057,Web/CloudOps,2
bitbrains_rnd/5T/medium,large_pretrained-95fb2190,2214973.831034571,2214973.831034571,138.13226601653238,4.310945601314368,0.28300892500263447,0.6879415086324494,159.04203309164197,1488.2788149518794,6.261947755638392,0.5811928682136335,0.580798097387083,Web/CloudOps,2
bitbrains_rnd/5T/long,large_pretrained-95fb2190,2300769.0640104394,2300769.0640104394,152.3544349082838,3.2388848974655398,1.1556968095751161,0.6596128832583721,114.94213279125302,1516.8286205140116,5.810628771512414,0.5836355214906175,0.5587315193430407,Web/CloudOps,2
ett2/D/short,large_pretrained-95fb2190,116517.25714285714,116517.25714285714,202.20585317460316,1.3152503871168448,0.43489321754092264,0.13214697264830153,11.12701464270623,341.3462423154196,0.19536143840930925,0.11572773165163269,0.09261788353772066,Energy,7
kdd_cup_2018/D/short,large_pretrained-95fb2190,2936.9071590946874,2936.9071590946874,21.38677738660732,1.2000317000532803,0.5222672597470535,0.4695438616205457,9.392462594297188,54.19323905336059,1.213986118030916,0.47908653017020175,0.381352188511203,Nature,1
jena_weather/H/short,large_pretrained-95fb2190,1164.048663324979,1164.048663324979,8.369009274488304,0.5256927610351271,1.1187202709737412,0.6108100016679651,4.340150871788426,34.11815738466805,0.20914212508489993,0.051301492187508124,0.04123971367619203,Nature,21
jena_weather/H/medium,large_pretrained-95fb2190,1449.5757936507937,1449.5757936507937,10.653329613095238,0.8083107052717476,2.0142212687918857,0.6821931319222794,5.998184765437606,38.073295019617014,0.23297722696279893,0.06518960835674377,0.051643483085350765,Nature,21
jena_weather/H/long,large_pretrained-95fb2190,1365.8298941798942,1365.8298941798942,11.489936755952382,1.0481492918914275,2.1945517098106366,0.6670568786357876,8.288231643632676,36.95713590336641,0.22252292605123003,0.06918215615418419,0.057234105003891624,Nature,21
ett1/15T/short,large_pretrained-95fb2190,4.916434151785714,4.916434151785714,1.0547706240699404,0.6712060972462138,0.4826436227386093,0.22861590889755126,4.711055483195232,2.217303351322438,0.4191625829386102,0.19939553103062685,0.15761647019020533,Energy,7
ett1/15T/medium,large_pretrained-95fb2190,9.759324156746032,9.759324156746032,1.6082359871031746,1.0015944440571725,0.7303951277609892,0.387022212463802,6.563952253937261,3.123991702413121,0.5954358369349977,0.30653133304741614,0.23221895589354094,Energy,7
ett1/15T/long,large_pretrained-95fb2190,8.853843005952381,8.853843005952381,1.5779654947916666,0.9960459569087439,0.7640164162060876,0.3850607874223767,7.223007526234723,2.9755407921842343,0.5671410170343409,0.30076178350904365,0.23245982357390974,Energy,7
ett1/H/short,large_pretrained-95fb2190,117.29573102678572,117.29573102678572,5.139156087239583,0.840364003952766,0.5132561456589472,0.2619679207033038,6.2194163934781015,10.830315370606053,0.5054951270015664,0.23986543974985605,0.1869693178838482,Energy,7
ett1/H/medium,large_pretrained-95fb2190,138.23013392857143,138.23013392857143,6.92061767578125,1.2425867046045764,3772650183813.4194,0.442453617786361,8.911660093148834,11.75713119466528,0.5631387140432718,0.33148118140358496,0.25594178254317573,Energy,7
ett1/H/long,large_pretrained-95fb2190,144.88007605820107,144.88007605820107,7.02991794808201,1.324903548631924,4557491241850.776,0.46668353585212896,9.737348209107424,12.03661397811698,0.5764073739160677,0.3366475447884469,0.26316405179137703,Energy,7
saugeen/M/short,large_pretrained-95fb2190,398.97586495535717,398.97586495535717,12.44127691359747,0.7290623676562341,0.35892273130871,0.351537359309691,4.5338158487895175,19.974380214548766,0.5996908166201634,0.37352445642736565,0.2860055617290743,Nature,1
bitbrains_fast_storage/5T/short,large_pretrained-95fb2190,1610039.9901088076,1610039.9901088076,135.62713819072025,0.6436595915798349,1.493494010573277,0.7085950510023705,12.322640821436405,1268.8735122575488,3.983949027670472,0.4258356724298735,0.33908084691412665,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,large_pretrained-95fb2190,3598436.6988239023,3598436.6988239023,273.427044647792,0.9146429439810086,3.460165159914183,0.7854135919389273,20.05745833682228,1896.9545853351108,5.763471939645819,0.8307468779435441,0.5675287396629567,Web/CloudOps,2
bitbrains_fast_storage/5T/long,large_pretrained-95fb2190,3529547.599426987,3529547.599426987,279.27490140607983,0.8165524021349176,2.4668772507455805,0.8048598869313978,15.012459819984388,1878.709024683436,4.964867034459584,0.7380401825538861,0.5655495561237115,Web/CloudOps,2
m4_monthly/M/short,large_pretrained-95fb2190,2031233.9613333333,2031233.9613333333,555.0316574074074,0.9208172585082769,0.15857352643542819,0.13036766155646293,7.546991200596713,1425.2136546263278,0.2962083241364792,0.11535463230349516,0.09183034244941628,Econ/Fin,1
restaurant/D/short,large_pretrained-95fb2190,147.12239072569346,147.12239072569346,7.255169843618661,0.6962122753168233,0.6132841230474222,0.40817383824979786,4.9306452927531454,12.129401911293625,0.558223179499591,0.3338997262629595,0.26279733801011246,Sales,1
ett2/15T/short,large_pretrained-95fb2190,7.353441220238095,7.353441220238095,1.664937046595982,0.712397799671591,0.10042843513810878,0.11953422933303476,4.762531165816929,2.711722924680561,0.12873513406926645,0.07904048454200788,0.06176440134318051,Energy,7
ett2/15T/medium,large_pretrained-95fb2190,11.858836805555555,11.858836805555555,2.1380585007440476,0.8743492484467054,0.12996540474352064,0.158237302695336,6.551436831733931,3.443666186719548,0.18351919245007914,0.11394100014129202,0.08995216967049866,Energy,7
ett2/15T/long,large_pretrained-95fb2190,10.991173115079365,10.991173115079365,2.0694063120039683,0.8548005726950565,0.12846054907142426,0.15672970823880683,7.0689859763019065,3.31529382032413,0.17667799712614007,0.11028240097564186,0.08950703305207644,Energy,7
us_births/D/short,large_pretrained-95fb2190,159265.34666666668,159265.34666666668,223.91869791666667,0.32960769006746915,0.021834039688110353,0.021478449951115922,2.8172880624518544,399.0806267744235,0.03741057040760129,0.02099056093425663,0.017192199329067733,Healthcare,1
ett2/H/short,large_pretrained-95fb2190,105.38672805059524,105.38672805059524,6.396642485119048,0.7327883053526777,0.11937461281021762,0.10941740379208674,6.246605163007181,10.265803819019494,0.13019895603207451,0.08112722475077071,0.0645056413263638,Energy,7
ett2/H/medium,large_pretrained-95fb2190,260.5010044642857,260.5010044642857,9.961898949032738,1.0622013850906555,0.17449693057303012,0.17120968395993286,7.634252172754358,16.140043508748224,0.21749745192432524,0.1342429861832681,0.10833993622336288,Energy,7
ett2/H/long,large_pretrained-95fb2190,224.9180224867725,224.9180224867725,9.213489996693122,1.0180903403975312,0.17534801990743834,0.17356861565844464,8.426297144675083,14.997267167279928,0.2053760311066186,0.12617165427910168,0.10393177700488931,Energy,7
m4_daily/D/short,large_pretrained-95fb2190,339593.6058670452,339593.6058670452,169.00982047804928,3.1780102416868243,0.03625261125690597,0.029686957790310834,26.363969546253067,582.7466051956418,0.0900182455627513,0.02610734646356604,0.020801617608326797,Econ/Fin,1
m4_hourly/H/short,large_pretrained-95fb2190,1564576.154589372,1564576.154589372,225.61868458132045,0.6937651209045113,0.08734413429542824,0.08016060515110694,5.290631187584977,1250.83018615213,0.17076592963077983,0.03080193046277905,0.022991745772352565,Econ/Fin,1
jena_weather/D/short,large_pretrained-95fb2190,446.14613095238093,446.14613095238093,10.55129665798611,1.1529590576836921,0.7649054874220071,0.48080077371933644,7.126179192613748,21.122171549165603,0.1271899953146184,0.06353605117582792,0.05082751666262749,Nature,21
m4_quarterly/Q/short,large_pretrained-95fb2190,1736968.0603333334,1736968.0603333334,547.6352630208333,1.1542945998958003,0.11125747275352478,0.09981418738889263,8.937329146734722,1317.9408409838938,0.22060008821200836,0.09166449932624753,0.07326682626095354,Econ/Fin,1
us_births/W/short,large_pretrained-95fb2190,1672488.2857142857,1672488.2857142857,1009.0826590401786,0.9177931948329471,0.013692807938371385,0.013717619715635268,5.67953193596447,1293.2471866253125,0.017555703749828493,0.013698198151449847,0.01065834585695474,Healthcare,1
electricity/W/short,large_pretrained-95fb2190,44834629591.40901,44834629591.40901,30744.636486486488,1.624452975821693,0.25086252857504876,0.10219200629766198,12.30579140272673,211741.89380330246,0.48312512660527557,0.07014911469888485,0.05470326934906254,Energy,1
loop_seattle/H/short,large_pretrained-95fb2190,62.074676187129974,62.074676187129974,4.094353940069795,0.8313574899205933,0.10910719254644811,0.0939921669286275,6.999839403468384,7.878748389632072,0.13946185954910376,0.07247422888713402,0.057953851360932944,Transport,1
loop_seattle/H/medium,large_pretrained-95fb2190,71.11179373065015,71.11179373065015,4.43558497000774,0.9099619658404994,0.1126134756302809,0.10157614802773852,7.154060156336581,8.432780901378273,0.14904845439779396,0.07839846568546378,0.06267338715599144,Transport,1
loop_seattle/H/long,large_pretrained-95fb2190,62.43862121603027,62.43862121603027,4.185000980929653,0.8755625630277866,0.11781486036197648,0.09680633592371747,6.8895845550101775,7.901811261731722,0.1412159489812558,0.07479157188575383,0.059507388074803096,Transport,1
car_parts/M/short,large_pretrained-95fb2190,1.4421722099919456,1.4421722099919456,0.4740156485642572,0.880764455815205,0.8041191637391214,1.8868300386267638,978.312643916958,1.2009047464274365,2.87964639259615,1.1366409005234674,3.0353158436506837,Sales,1
loop_seattle/D/short,large_pretrained-95fb2190,19.071161474458204,19.071161474458204,2.9367776057791537,0.8818185798577153,0.05416067495434646,0.054222422906098036,7.7314141164510986,4.367054095664285,0.07804509509715314,0.05248414205580372,0.042714956222772174,Transport,1
temperature_rain/D/short,large_pretrained-95fb2190,185.7029170533695,185.7029170533695,5.86824559607678,1.364427863755373,28.407510971872338,1.5214605403801553,19.30705782174449,13.627285755181385,1.6042918321639075,0.6908476602054267,0.5592023188654903,Nature,1
bizitobs_l2c/H/short,large_pretrained-95fb2190,49.42884269593254,49.42884269593254,4.230119977678571,0.4115362233649716,0.35984721744089104,0.5872869812979754,2.617669112603611,7.030564891666425,0.3789654928289474,0.2280143241358472,0.17799933642701948,Web/CloudOps,7
bizitobs_l2c/H/medium,large_pretrained-95fb2190,73.09636811755952,73.09636811755952,4.7656180245535715,0.48133593531223573,0.45493321197109654,0.7559563273520588,3.3580688213774206,8.549641402863603,0.517693773102947,0.28856540994482105,0.23023064322300357,Web/CloudOps,7
bizitobs_l2c/H/long,large_pretrained-95fb2190,84.38214905753968,84.38214905753968,5.329094974578373,0.5658881882010548,0.6218513095992589,0.8007793936091838,4.771068915403678,9.18597567259677,0.5611059064406625,0.32551650176250524,0.2625467575788172,Web/CloudOps,7
bizitobs_service/10S/short,large_pretrained-95fb2190,2151.6111542587682,2151.6111542587682,17.764304352613983,0.7150676802873334,0.04960129218126731,0.0395898350761261,5.216678292302524,46.385462747058675,0.03436383424041539,0.013160364778472013,0.010307564448585677,Web/CloudOps,2
bizitobs_service/10S/medium,large_pretrained-95fb2190,57502.79420634921,57502.79420634921,49.70299975198413,1.0777627891738566,0.06249165610661583,0.058278169152919335,9.685436766392884,239.7974024178519,0.18047717052164333,0.03740764775276914,0.026433403278607374,Web/CloudOps,2
bizitobs_service/10S/long,large_pretrained-95fb2190,131119.1439153439,131119.1439153439,76.61784391534391,1.300440135739969,0.07422176300533234,0.07196455236297689,20.69844774925101,362.10377506364654,0.26825804747634985,0.05676094707094742,0.052557766420386225,Web/CloudOps,2
us_births/M/short,large_pretrained-95fb2190,54442080.0,54442080.0,6169.403645833333,0.6974079380696997,0.018921067317326862,0.01917467200096572,4.068244574938446,7378.487649918512,0.022917532334753632,0.019162125661495662,0.014391884083672986,Healthcare,1
m4_yearly/A/short,large_pretrained-95fb2190,4241847.737442326,4241847.737442326,909.8462637111518,3.368364808035578,0.16801256151194635,0.1530920266021225,31.097129846376898,2059.5746496406305,0.3302623422905465,0.1458980660059972,0.11857475529592221,Econ/Fin,1
m4_weekly/W/short,large_pretrained-95fb2190,276135.65888150845,276135.65888150845,257.9158720805657,1.9067379813251222,0.062043812230488,0.061955442276400444,13.208688030966622,525.4861167352649,0.09573542683262234,0.04698827488335039,0.03723817342316717,Econ/Fin,1
saugeen/W/short,large_pretrained-95fb2190,934.50546875,934.50546875,14.761074829101563,1.197312385910165,0.3966458082199097,0.38913750206633696,8.198446632027512,30.569682182678967,0.9227712761491624,0.4455753179240166,0.3527709906921045,Nature,1
sz_taxi/15T/short,large_pretrained-95fb2190,16.700100816067614,16.700100816067614,2.7168629218952707,0.5419250687162224,1042429926054.9437,0.3879226013554683,3.8568268813439075,4.086575683389164,0.3821123039571805,0.25403830273865424,0.19953256129098246,Transport,1
sz_taxi/15T/medium,large_pretrained-95fb2190,16.246454326923075,16.246454326923075,2.7412693643162394,0.5345758691236724,10382372198837.607,0.4031586159563064,4.03550940705478,4.030689063537781,0.37512289562283635,0.2551208702568384,0.20205232866709044,Transport,1
sz_taxi/15T/long,large_pretrained-95fb2190,15.585027154558405,15.585027154558405,2.688536658653846,0.506819666650125,6370076462331.479,0.3955184024977311,4.555849513614106,3.9477876278440314,0.3654001905712426,0.2488461639884088,0.20234655432495804,Transport,1
electricity/D/short,large_pretrained-95fb2190,1511391982.8595316,1511391982.8595316,4433.241351351351,1.4288060857276597,0.2790838396794341,0.09463839609981937,11.484117921329116,38876.62514750389,0.6388720910789252,0.07285288169045832,0.056961125590462874,Energy,1
hierarchical_sales/W/short,large_pretrained-95fb2190,465.1089777542373,465.1089777542373,8.91849841101695,0.7237373731317207,0.5308707421131357,0.4546676189200013,6.874217898280508,21.566385365986516,0.990123301056149,0.40945262441183267,0.3481002558496839,Sales,1
solar/10T/short,large_pretrained-95fb2190,21.57237753763686,21.57237753763686,1.970484987430619,0.8724102869380377,4.24165779321772,1.5441676998269886,5.039893469844743,4.644607360976476,1.3511157783283185,0.5732138694532961,0.42537420054584096,Energy,1
solar/10T/medium,large_pretrained-95fb2190,24.838472544790974,24.838472544790974,2.022436053624751,0.8931437472757482,3.6076936596766984,1.4740545332308708,4.786686576322316,4.9838210787297506,1.1059296898036661,0.4487865920746582,0.3381759655264435,Energy,1
solar/10T/long,large_pretrained-95fb2190,20.647168364760745,20.647168364760745,1.7755893530926856,0.7801733033105247,2.882033468624902,1.4563561280524886,5.08456739491448,4.543915532309194,0.9820946497413116,0.3837652331806825,0.3034477419452817,Energy,1
ett2/W/short,large_pretrained-95fb2190,2796921.714285714,2796921.714285714,1185.7749720982142,0.7992775915026614,0.11986022336142403,0.12454846097976614,8.826737276297601,1672.3999863327297,0.14028869313085107,0.09946832249604778,0.08287975849498,Energy,7
m_dense/H/short,large_pretrained-95fb2190,45009.4140625,45009.4140625,86.32827473958334,0.7604072370080684,0.2727097958901979,0.20548880615466492,8.639989634081344,212.15422235369252,0.376308761224673,0.15312486249628685,0.12818750732521364,Transport,1
m_dense/H/medium,large_pretrained-95fb2190,38847.94888888889,38847.94888888889,84.20909722222223,0.7275916413749404,0.2588176343193636,0.19559566821144325,6.810198491582197,197.09883025753575,0.34292707421519114,0.14651319490322118,0.12054602384842147,Transport,1
m_dense/H/long,large_pretrained-95fb2190,37529.22666666667,37529.22666666667,84.96692901234567,0.7343024448740622,0.2549740619388371,0.19485770313112033,7.451008680402689,193.72461554140887,0.33536596512654065,0.147090322375541,0.12356440577120464,Transport,1
electricity/H/short,large_pretrained-95fb2190,2090766.6696396396,2090766.6696396396,186.63011648367117,1.0096765638187446,0.15513570065720705,0.13245357610700265,12.498947647373676,1445.9483634070891,0.6825908914847583,0.08810274337066884,0.07301915983638987,Energy,1
electricity/H/medium,large_pretrained-95fb2190,6387548.625585586,6387548.625585586,245.04783854166666,1.0648926286372489,0.1949533858078692,0.12836604167522697,8.883082233676545,2527.3600110759025,0.9865118562730306,0.09565024255192009,0.07602807120780444,Energy,1
electricity/H/long,large_pretrained-95fb2190,10269428.980468469,10269428.980468469,292.5277807807808,1.21498035177249,0.2902364064193492,0.1424981030526201,9.904841124898,3204.5949791617145,1.263891329909581,0.11537287185765821,0.09062023995421789,Energy,1
ett1/D/short,large_pretrained-95fb2190,43452.57777777778,43452.57777777778,138.2984375,1.6440575053190367,1.5819310748387896,0.4615107091332047,10.284991020334147,208.45281906891492,0.5475082437351548,0.363245433499789,0.2761402536188552,Energy,7
electricity/15T/short,large_pretrained-95fb2190,144104.8238738739,144104.8238738739,51.626049496762384,0.9911555230855503,0.1594779743176683,0.16338720354142927,11.23928382039157,379.61141167498363,0.7482889223132453,0.10176512020744496,0.08492269013013846,Energy,1
electricity/15T/medium,large_pretrained-95fb2190,248608.7424099099,248608.7424099099,53.44891656109234,0.8340526344575072,0.12253893215167035,0.13032571880814464,7.263545964603002,498.606801407592,0.8591497451794357,0.09209786732540187,0.07415773382451794,Energy,1
electricity/15T/long,large_pretrained-95fb2190,320911.2766741742,320911.2766741742,58.24986054804805,0.8808496918403479,0.12772267549738656,0.13209096063346398,7.4157805390828875,566.4903147223032,0.8937079434328455,0.09189629852924383,0.0735930125147017,Energy,1
solar/W/short,large_pretrained-95fb2190,1594970.8613138685,1594970.8613138685,1021.054174270073,1.118678577838671,0.231268026532918,0.20068137365642397,6.473352815987922,1262.9215578625096,0.2577938645569734,0.20842268458273291,0.15094452552520202,Energy,1
bitbrains_rnd/H/short,large_pretrained-95fb2190,1988235.3633689953,1988235.3633689953,145.12128480843208,5.778920489721423,1.0306901970730336,0.5141323609754443,199.8460371883394,1410.048000377645,6.171059959675999,0.6351217474427832,0.587114552007879,Web/CloudOps,2
sz_taxi/H/short,large_pretrained-95fb2190,7.180895161424947,7.180895161424947,1.8405440892928686,0.5610537075926155,1.2177567441239316,0.2931663535271176,3.909534184321094,2.6797192318272725,0.24963238269137994,0.17145803970866536,0.13500226297753212,Transport,1
bizitobs_application/10S/short,large_pretrained-95fb2190,456077.8977777778,456077.8977777778,347.9059157986111,1.1213849448305515,0.015386139684253269,0.015563654065161102,7.2041366467490855,675.335396508859,0.026044989082733814,0.013417341702560192,0.010777586853146328,Web/CloudOps,2
bizitobs_application/10S/medium,large_pretrained-95fb2190,4687710.293333333,4687710.293333333,1185.759375,2.513956482875224,0.03607231775919596,0.03691250826304544,36.54275379565874,2165.1120740814627,0.0850175788435955,0.04656128075788561,0.041445300640323736,Web/CloudOps,2
bizitobs_application/10S/long,large_pretrained-95fb2190,6576910.222222222,6576910.222222222,1554.8158333333333,3.3209891850235964,0.04829207526312934,0.04933957649959724,71.24766894167828,2564.5487365659915,0.09890439397509014,0.059963031915167136,0.05524445869859804,Web/CloudOps,2
bizitobs_l2c/5T/short,large_pretrained-95fb2190,15.285384114583334,15.285384114583334,2.1442467099144347,0.22005071072953614,0.10810671174389701,0.1856045147910569,2.3141916387451977,3.909652684649026,0.13427329827063195,0.07364211127413957,0.059531595880017746,Web/CloudOps,7
bizitobs_l2c/5T/medium,large_pretrained-95fb2190,92.65391156462584,92.65391156462584,6.110768760629251,0.6040366352357613,0.41877727008483673,0.7353429333175783,4.703114736812277,9.625690186403562,0.5064528557092014,0.3215162995554063,0.2503641576690465,Web/CloudOps,7
bizitobs_l2c/5T/long,large_pretrained-95fb2190,115.07108134920635,115.07108134920635,7.187942088293651,0.693956228877084,0.5560228348450158,0.8701098424463357,4.875549615558562,10.727118967794025,0.6023116929699692,0.40359220226496273,0.30021941955064024,Web/CloudOps,7
saugeen/D/short,large_pretrained-95fb2190,1269.6004166666667,1269.6004166666667,13.32103515625,2.9594078718146433,0.28470540364583335,0.3272904472536949,30.170882883965763,35.631452632002905,1.1541112404935434,0.4314715026529524,0.351571177804996,Nature,1
solar/H/short,large_pretrained-95fb2190,720.0958019192599,720.0958019192599,11.58475650216297,0.8931462799624548,3.7141178413139224,1.4284142234157489,5.512227168966318,26.834600833984094,0.9891323116089447,0.4270179776216157,0.3186890809533671,Energy,1
solar/H/medium,large_pretrained-95fb2190,730.9781630170316,730.9781630170316,11.21961868917275,0.8583721521695566,4.145329685799016,1.408862860489999,5.191906451880453,27.036607831180145,0.9739217178306138,0.4041568519021796,0.30736556310454727,Energy,1
solar/H/long,large_pretrained-95fb2190,700.564801297648,700.564801297648,11.696888939578264,0.8899720949286787,4.799949314316044,1.4054171415037735,5.407632742925061,26.468184699704057,0.9177002004346309,0.40555245650951693,0.30322778688287577,Energy,1
ett1/W/short,large_pretrained-95fb2190,1253325.4285714286,1253325.4285714286,885.9347795758929,1.5658734300410562,0.6332191058567592,0.5572111815126347,7.963788450328445,1119.5201778313015,0.4454837991856089,0.35253459406214094,0.2623126662206647,Energy,7
covid_deaths/D/short,large_pretrained-95fb2190,377491.6010025063,377491.6010025063,96.49358552631578,32.505712941790996,0.08528924906527206,0.3539809494370382,995.2140626854202,614.4034513269813,0.23117228859282524,0.036306181146066666,0.030116533609501436,Healthcare,1
