dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/5T/long,GestaltCog/Zeus-100M,4708278.033712326,4708278.033712326,342.3583896949868,0.888523382372227,4.4885836001469235,0.8189838246737496,15.993809210522585,2169.8566850629386,5.734283351167484,0.9047510039141264,0.6735872447379916,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,GestaltCog/Zeus-100M,4785493.521565115,4785493.521565115,328.82185598011205,0.9762238424354128,4.943223428488769,0.8080905818987284,21.498257697429338,2187.57708928511,6.646463385596356,0.9990516159912175,0.7330469101371473,Web/CloudOps,2
bitbrains_fast_storage/5T/short,GestaltCog/Zeus-100M,2237838.06596202,2237838.06596202,177.2682381648119,0.6755739682264444,2.360900985855301,0.7465232337051695,13.348298705932253,1495.94052888543,4.696883270480944,0.5565784241732404,0.42613901752292205,Web/CloudOps,2
bitbrains_fast_storage/H/short,GestaltCog/Zeus-100M,2219579.9085260336,2219579.9085260336,246.88940892507657,0.9933657818824201,2.951666719052028,0.5720131682486518,19.981040075280962,1489.8254624371384,4.246486492481893,0.703715009959707,0.5386469275314731,Web/CloudOps,2
bitbrains_rnd/5T/long,GestaltCog/Zeus-100M,2226317.0233101207,2226317.0233101207,148.41990155313727,3.3042811411306214,0.5765683772401954,0.6735264803722375,117.30324065371946,1492.0847909251406,5.715840802891191,0.5685632173306416,0.5334955421500981,Web/CloudOps,2
bitbrains_rnd/5T/medium,GestaltCog/Zeus-100M,2295346.805681125,2295346.805681125,147.44548853712624,4.4132583511869425,0.4927255827413677,0.6994032779613185,161.50483892750617,1515.0401993614312,6.374546445495845,0.6203783340236718,0.5871490841616223,Web/CloudOps,2
bitbrains_rnd/5T/short,GestaltCog/Zeus-100M,1823592.2396568465,1823592.2396568465,125.95442730931165,1.6470251095566089,1.108965425262292,0.6729320246010304,53.6398435732759,1350.404472614352,5.525465261199268,0.5153691554682824,0.41916805090082176,Web/CloudOps,2
bitbrains_rnd/H/short,GestaltCog/Zeus-100M,1750419.3430536771,1750419.3430536771,141.0778357941374,5.867013368543355,1.1039823574986893,0.5414977455982759,216.59508995378937,1323.0341428147942,5.790244860930543,0.6174256485628413,0.5760612082628266,Web/CloudOps,2
bizitobs_application/10S/long,GestaltCog/Zeus-100M,6616051.76861624,6616051.76861624,1578.2367839602744,3.385429204841375,0.048712065792851145,0.04985194736811511,94.68085999062447,2572.168689766719,0.09919826511221881,0.06086628436463311,0.0578292757047468,Web/CloudOps,2
bizitobs_application/10S/medium,GestaltCog/Zeus-100M,4457675.5923946975,4457675.5923946975,1170.90619855145,2.6329063743008394,0.03775410793645237,0.038600427963526716,33.66746485623844,2111.320817023007,0.08290535449603902,0.045978040234261365,0.04052864573039314,Web/CloudOps,2
