dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,goia-forecast-nano-v0,43.337466843234004,43.337466843234004,3.5929655124282442,0.5700483977649491,0.09593162930294702,0.07668635667794177,4.359828081221057,6.583119841172118,0.11288596860010537,0.0616114246440667,0.0488929885569911,Transport,1
loop_seattle/5T/medium,goia-forecast-nano-v0,79.37929066692466,79.37929066692466,5.272817307227167,0.8339894662416093,0.16841061744650573,0.12017698321337716,5.993352985390698,8.909505635383182,0.15851841500764993,0.09381425596130816,0.07397681737519905,Transport,1
loop_seattle/5T/long,goia-forecast-nano-v0,94.37572640752207,94.37572640752207,5.701185213851622,0.8968266839732988,0.18348928099200207,0.12872051713959115,6.302328437597069,9.71471700089725,0.17175819727427202,0.10079812871208174,0.07907195241375567,Transport,1
loop_seattle/D/short,goia-forecast-nano-v0,21.0359632997936,21.0359632997936,3.3713132498065015,1.0066201598615725,0.06295895414086687,0.061990230597191824,8.185964283439155,4.586497934131618,0.08196684278351651,0.060249869745814144,0.04803064266085509,Transport,1
loop_seattle/H/short,goia-forecast-nano-v0,73.43526373499539,73.43526373499539,5.004484093239096,1.0186179890160172,0.1568544174508446,0.11250750162370743,10.272211160329215,8.569437772397638,0.1516877629478372,0.0885844575774404,0.0729610557924451,Transport,1
loop_seattle/H/medium,goia-forecast-nano-v0,72.82258771929824,72.82258771929824,5.1473236745356035,1.0564160934972826,0.14981592451947884,0.11463239370821966,9.738656056936907,8.533615161190376,0.15083069290269063,0.09097836986550144,0.07456078750313158,Transport,1
loop_seattle/H/long,goia-forecast-nano-v0,78.61730306157551,78.61730306157551,5.172629106467149,1.0792152908043915,0.17914647698443412,0.11754156868656224,9.576936609116563,8.866639896915602,0.1584586891700828,0.09244178598692479,0.07538594559683813,Transport,1
m_dense/D/short,goia-forecast-nano-v0,13772.213333333333,13772.213333333333,64.72967592592593,0.9220013987695213,0.1573848738504216,0.13379396449674613,7.850021206770716,117.3550737434617,0.20315899173928054,0.1120566438010879,0.09119814398809543,Transport,1
m_dense/H/short,goia-forecast-nano-v0,47186.764444444445,47186.764444444445,94.75760416666667,0.8340222764180237,0.3080173527277561,0.22255459445397807,9.141418442246861,217.22514689704883,0.3853033052884634,0.16807638806172012,0.13900608649494958,Transport,1
m_dense/H/medium,goia-forecast-nano-v0,36877.43111111111,36877.43111111111,84.54381944444444,0.7293539614052444,0.2781011966718347,0.20196765820238666,7.52653014481638,192.03497366654625,0.3341166133234176,0.14709557374300916,0.1201932942463339,Transport,1
m_dense/H/long,goia-forecast-nano-v0,36626.6350617284,36626.6350617284,85.94320216049383,0.7475972866270502,0.2859054750147063,0.2041982190222855,7.428606582658214,191.38086388593922,0.33130860202662027,0.14878040355411098,0.1215257004975443,Transport,1
sz_taxi/15T/short,goia-forecast-nano-v0,16.978904938377596,16.978904938377596,2.759648212437519,0.5514094879928146,1090117697856.2172,0.39925540819430655,3.960023999373252,4.120546679553284,0.3852887588649592,0.25803892477423046,0.20329968441666024,Transport,1
sz_taxi/15T/medium,goia-forecast-nano-v0,16.579699185363246,16.579699185363246,2.770756335136218,0.5399704940052895,9566185247021.074,0.40568582854435586,3.8135525903460974,4.0718176758498466,0.378950570060022,0.25786510504258797,0.20357562256840797,Transport,1
sz_taxi/15T/long,goia-forecast-nano-v0,15.672607282763533,15.672607282763533,2.710084468482906,0.5118964979632473,6195880052993.896,0.39956284104691975,4.0068543352707096,3.958864393075814,0.366425436229864,0.25084059088270233,0.2000075181057278,Transport,1
sz_taxi/H/short,goia-forecast-nano-v0,7.388792901976496,7.388792901976496,1.879367926181891,0.5735009190165128,1.104642558301616,0.30008393050197674,4.3030414538814865,2.7182334156537213,0.2532202165815201,0.17507471969241856,0.1386475957140657,Transport,1
bitbrains_fast_storage/5T/short,goia-forecast-nano-v0,1989382.313606352,1989382.313606352,173.4768738605043,0.79765851039929,2.454301915299399,0.7662449762867883,14.31556312875936,1410.454647837481,4.4284787129728596,0.5446744737678663,0.4255338911452475,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,goia-forecast-nano-v0,3148729.078702137,3148729.078702137,295.5825791884284,1.0088210062957848,4.679308664742978,0.8136810566089648,21.722262142331058,1774.4658572940018,5.391317449117568,0.8980615266747946,0.6483489395328774,Web/CloudOps,2
