dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/5T/long,limix_moe,3555155.5445441836,3555155.5445441836,345.37477484286234,0.8224291500118487,4.143304978995875,0.8072921452866152,16.849254486634,1885.5120112436791,4.982845370311053,0.9127224263678093,0.6668924317077208,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,limix_moe,2934249.0204465315,2934249.0204465315,287.2363034974443,0.9211726851805485,3.909227669117818,0.7961878719488944,19.986361653066943,1712.9649793403635,5.204460738823909,0.872703226479869,0.6376231193118007,Web/CloudOps,2
bitbrains_fast_storage/5T/short,limix_moe,1645629.9410975338,1645629.9410975338,150.39481933154445,0.6219829517954211,1.889275103980626,0.7132551671611176,12.708106529037874,1282.8210869398483,4.027740950740843,0.472202537647665,0.36934561217967843,Web/CloudOps,2
bitbrains_fast_storage/H/short,limix_moe,3417779.6248789723,3417779.6248789723,325.5018636094903,0.926074222120437,2.8437564856899735,0.573271331500784,19.51890035022497,1848.7237827428337,5.269463140059484,0.9277860155864472,0.6793340869816239,Web/CloudOps,2
bitbrains_rnd/5T/long,limix_moe,2285004.4606836974,2285004.4606836974,169.35101460507047,3.2513505334379493,1.5730191807554272,0.6903712174014315,114.62417052629216,1511.623121245404,5.790687613177047,0.6487455826585904,0.6642510508468233,Web/CloudOps,2
bitbrains_rnd/5T/medium,limix_moe,2262699.6918835673,2262699.6918835673,161.21548665413053,4.349236655307883,1.1033597328763682,0.7085256373269546,158.41119850120737,1504.227274012663,6.329051245216892,0.6783157666292804,0.7160464765998734,Web/CloudOps,2
bitbrains_rnd/5T/short,limix_moe,1558726.827991258,1558726.827991258,114.34924245884675,1.575099992531879,1.067384056262568,0.6360316762637467,50.851369952339994,1248.4898189377668,5.108459914970754,0.4678840888789084,0.38200392436797936,Web/CloudOps,2
bitbrains_rnd/H/short,limix_moe,2003132.2927411448,2003132.2927411448,161.8845344401347,5.800764687561919,1.709048075355068,0.5360375434397777,196.5734464177888,1415.320561830833,6.194135232251965,0.708485925644453,0.6686053719311545,Web/CloudOps,2
bizitobs_application/10S/long,limix_moe,6234369.137777777,6234369.137777777,1514.4094444444445,3.195312062239463,0.04648044162326389,0.04750974443223741,61.19540789144122,2496.8718705167425,0.09629436776373525,0.058404719004674886,0.0530664498729268,Web/CloudOps,2
bizitobs_application/10S/medium,limix_moe,2968118.4,2968118.4,951.3946875,2.1311980865054854,0.030361525217692056,0.03093823750813802,17.226116153529606,1722.8227999420021,0.06765018078325222,0.03735846925625053,0.030789874044421024,Web/CloudOps,2
bizitobs_application/10S/short,limix_moe,338715.5911111111,338715.5911111111,314.3153819444444,0.9003371689075806,0.01296690199110243,0.013048727247450086,5.5191375659091815,581.9927758238165,0.022445135071915947,0.012121887927109911,0.009420824607445664,Web/CloudOps,2
bizitobs_l2c/5T/long,limix_moe,59.579702380952384,59.579702380952384,4.944773685515873,0.48646561270529387,0.3863116483026594,0.6994446769593254,3.2570321527487485,7.7187889193158,0.4333984582094184,0.2776416499917769,0.21413924962005187,Web/CloudOps,7
bizitobs_l2c/5T/medium,limix_moe,53.744483418367345,53.744483418367345,4.653805936437075,0.4588383900444377,0.3432995744589104,0.6041831918314201,3.06351452152829,7.331062911908978,0.3857217171153667,0.24485862943669184,0.190703342718409,Web/CloudOps,7
bizitobs_l2c/5T/short,limix_moe,12.864262462797619,12.864262462797619,1.9733245849609375,0.20243961045364717,0.09138237053821863,0.17391929626464844,1.547779616081197,3.5866784721797433,0.12318105651348375,0.06777195366268632,0.053206630034736115,Web/CloudOps,7
bizitobs_l2c/H/long,limix_moe,80.39738343253968,80.39738343253968,5.121272786458333,0.5483514937447436,0.6025229388081773,0.7687887524801588,4.342722966579871,8.966458801139929,0.547697182367372,0.31282212270036125,0.25085360956706704,Web/CloudOps,7
bizitobs_l2c/H/medium,limix_moe,74.01072823660714,74.01072823660714,4.7751089913504465,0.4848263733656943,0.4650251337778109,0.7525744483584449,3.242692664408738,8.60294881053044,0.5209216176064765,0.28914010240032256,0.22964317943529228,Web/CloudOps,7
bizitobs_l2c/H/short,limix_moe,54.56727430555556,54.56727430555556,4.388982379247272,0.4331996047649306,0.3765495904058004,0.589346688891214,2.664653768288088,7.386966515800349,0.3981764135498466,0.2365773906195657,0.1838726555640721,Web/CloudOps,7
bizitobs_service/10S/long,limix_moe,131034.94095238096,131034.94095238096,75.9299537037037,1.2878164302699202,0.07350653754340278,0.07126608227926587,20.236998346458048,361.98748728703447,0.2681719030313257,0.05625133712330948,0.052049283499519615,Web/CloudOps,2
bizitobs_service/10S/medium,limix_moe,12663.506031746032,12663.506031746032,33.53589037698413,0.9675886314362225,0.059317408970424104,0.05255588107638889,9.187583920013735,112.53224440908495,0.08469441897696538,0.025239901374654997,0.019585621111190415,Web/CloudOps,2
bizitobs_service/10S/short,limix_moe,1901.240978835979,1901.240978835979,16.979711888227513,0.6755418630765365,0.04853273220163174,0.03901459265007544,4.892203906725857,43.60322211529761,0.03230266185262246,0.012579113764345793,0.009825576869299102,Web/CloudOps,2
car_parts/M/short,limix_moe,1.4081678860561613,1.4081678860561613,0.46538316147156694,0.8768859893849483,0.8132105812211968,1.8900404669491913,27.085064279517635,1.1866624987991157,2.8454949437594594,1.1159410819995172,1.006672169503729,Sales,1
covid_deaths/D/short,limix_moe,319704.89423558896,319704.89423558896,92.56329104010025,29.30452926026128,0.07850079802608449,0.35130110432330824,588.7830148947968,565.4245256756988,0.21274372945766662,0.03482738871861549,0.02850093549652551,Healthcare,1
electricity/15T/long,limix_moe,308677.8584324324,308677.8584324324,55.346847597597595,0.833066549028722,0.12059632077697247,0.1258260644677881,6.874155703659206,555.5878494283621,0.8765079673997647,0.08731643958676959,0.0696781605594381,Energy,1
