dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/5T/long,LiteSpecFormer,3908785.3815149567,3908785.3815149567,352.7844640716197,1.0483342443717238,6.0476166692837605,0.8372937836876875,24.354411209448784,1977.06483998754,5.224792102485775,0.9323040117251249,0.7919727975065101,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,LiteSpecFormer,3293652.034060129,3293652.034060129,306.7126148783842,1.1245149414768532,5.363863937821423,0.8152111164786482,27.874508643706864,1814.842151279314,5.513992013397369,0.9318776884565249,0.7667923721899249,Web/CloudOps,2
bitbrains_fast_storage/5T/short,LiteSpecFormer,1819586.4925134836,1819586.4925134836,175.87609372247954,0.7805136374689461,2.0895518665687933,0.7546468059831557,16.00805661222848,1348.9204915462897,4.235276786577936,0.5522074441933567,0.424446445638075,Web/CloudOps,2
bitbrains_fast_storage/H/short,LiteSpecFormer,2611089.3954707864,2611089.3954707864,303.57678927931863,1.165444521230756,4.135965315502874,0.5933758556270297,22.189069047048065,1615.88656639963,4.605801489455434,0.8652924390244527,0.6542769456980883,Web/CloudOps,2
bitbrains_rnd/5T/long,LiteSpecFormer,4225891.1442557,4225891.1442557,279.27363280470917,3.641067028931521,5.137179782005176,0.7256686481762182,127.74566386412141,2055.6972404164235,7.874913329206055,1.0698344144413492,0.9716393723189003,Web/CloudOps,2
bitbrains_rnd/5T/medium,LiteSpecFormer,2148599.8120602076,2148599.8120602076,169.54238600491803,4.672800508531128,1.2101467044493388,0.7318755078620232,172.15709357071208,1465.8102919751273,6.167410306486216,0.7133511509351163,0.6290615462251721,Web/CloudOps,2
bitbrains_rnd/5T/short,LiteSpecFormer,1783596.2934252135,1783596.2934252135,135.91001491185634,1.8313713648350114,1.2032923340114325,0.6829904517473864,57.37937109869665,1335.5134942879513,5.464535655574485,0.5561045437668695,0.4481882388966478,Web/CloudOps,2
bitbrains_rnd/H/short,LiteSpecFormer,2088625.4028387538,2088625.4028387538,190.92590362729638,6.025253903021877,2.650761288952887,0.5935427702823303,203.95611318288516,1445.207736914923,6.324936427859722,0.8355852048316361,0.6906620475874661,Web/CloudOps,2
bizitobs_application/10S/long,LiteSpecFormer,35217257.81333333,35217257.81333333,3338.4616666666666,8.617822539258526,0.12088763766818576,0.12404880099826389,199.96500908160777,5934.413013376583,0.2288665893992053,0.12875112227068397,0.10873926985928607,Web/CloudOps,2
bizitobs_application/10S/medium,LiteSpecFormer,35635421.86666667,35635421.86666667,3171.0758333333333,7.709790761837979,0.11395131429036458,0.11431617736816406,182.51070888771196,5969.541177231854,0.23440631262042633,0.12451881494116748,0.1177313502741487,Web/CloudOps,2
bizitobs_application/10S/short,LiteSpecFormer,6236636.728888889,6236636.728888889,1070.458125,2.6404543475534608,0.040518680148654514,0.04039794074164497,39.585226794629286,2497.3259156323365,0.09631187846897352,0.041283291137841065,0.034158876196866944,Web/CloudOps,2
bizitobs_l2c/5T/long,LiteSpecFormer,327.1690277777778,327.1690277777778,12.932444196428571,1.2168594588478885,0.9617622685301666,1.2709951636904762,41.54689709026657,18.087814344961025,1.0156037341385395,0.7261374075906596,0.7036986287600195,Web/CloudOps,7
bizitobs_l2c/5T/medium,LiteSpecFormer,180.35752551020408,180.35752551020408,9.679079639668368,0.9534197607852644,0.6688575231895538,1.0074776785714286,27.528455212716427,13.429725444334448,0.7066010510374584,0.509261926076842,0.4805688215059023,Web/CloudOps,7
bizitobs_l2c/5T/short,LiteSpecFormer,23.056045386904763,23.056045386904763,2.913301013764881,0.30819851362685724,0.1738804894237465,0.2203460693359375,3.458823354972703,4.80167110357475,0.16490882139461593,0.10005454896526259,0.0820945828706297,Web/CloudOps,7
bizitobs_l2c/H/long,LiteSpecFormer,238.8420634920635,238.8420634920635,11.399224950396825,1.1441206603193277,1.3324151716068642,0.9735245961991568,28.878380020926862,15.454515957870163,0.9440064391865576,0.6962975601594753,0.6395989718860089,Web/CloudOps,7
bizitobs_l2c/H/medium,LiteSpecFormer,271.846875,271.846875,12.027383277529761,1.1681511647317135,1.1596470174687128,1.0489583333333334,23.584175303161928,16.48777956548425,0.9983600961890987,0.7282763260005474,0.6368904146842831,Web/CloudOps,7
bizitobs_l2c/H/short,LiteSpecFormer,221.32355220734127,221.32355220734127,9.825687468998016,0.9434289721328741,0.8272081553507195,0.9519440181671627,9.413369267184576,14.87694700559699,0.8019055441214404,0.5296297185995044,0.4283785771292782,Web/CloudOps,7
bizitobs_service/10S/long,LiteSpecFormer,205189.10645502646,205189.10645502646,131.33973544973546,3.7626408741130146,0.21939628802910052,0.16530779803240742,100.09042309790173,452.9780419126588,0.3355806147929034,0.09730067484696724,0.09447075620792152,Web/CloudOps,2
bizitobs_service/10S/medium,LiteSpecFormer,198987.35746031746,198987.35746031746,146.74897817460317,4.569613603115958,0.45868795727926587,0.17776927160838293,104.90186605389941,446.07998997973164,0.33573031238265977,0.1104467391299803,0.1012355279578288,Web/CloudOps,2
bizitobs_service/10S/short,LiteSpecFormer,25987.951746031747,25987.951746031747,47.100839947089945,1.6304986995208735,0.11962978463955026,0.09671037300553902,24.99839625410758,161.20779058727823,0.11942788495058096,0.03489380800880908,0.02989088804008518,Web/CloudOps,2
car_parts/M/short,LiteSpecFormer,2.019426427166887,2.019426427166887,0.5491150640247193,1.0315657542618266,0.7967440017211804,1.8554881463190847,16.44141275025127,1.4210652438107432,3.4075686811607087,1.3167215950666016,1.1306592542165754,Sales,1
covid_deaths/D/short,LiteSpecFormer,263592.4210526316,263592.4210526316,97.28997493734336,29.366421350772868,0.08224014993114903,0.3517306755658678,421.65282200886855,513.4125252198583,0.19317396116665358,0.03660582653764237,0.028288340603390638,Healthcare,1
electricity/15T/long,LiteSpecFormer,388299.80142942944,388299.80142942944,66.64197484984984,0.9996404535177107,0.16091991528312882,0.15269109795830987,10.389492087671691,623.1370647212614,0.9830750878227893,0.10513588259672162,0.08631843660597734,Energy,1
electricity/15T/medium,LiteSpecFormer,279667.8493063063,279667.8493063063,59.031544059684684,0.9349712057873306,0.15494831203353998,0.14783145993894284,9.63576098842349,528.8363161757202,0.911238225680443,0.10171729479003894,0.08385636188339696,Energy,1
electricity/15T/short,LiteSpecFormer,135620.55466216218,135620.55466216218,51.31188819679054,0.9531291791235393,0.16144161388512615,0.1638920022775461,10.540788043964135,368.2669611330375,0.7259267710286507,0.10114584593599506,0.08384651377434488,Energy,1
electricity/D/short,LiteSpecFormer,1111232180.4823062,1111232180.4823062,4175.446342342342,1.4169321092811653,0.3286971095814554,0.09727422050957207,11.810032410275278,33335.14932443391,0.547807209745648,0.06861645010135481,0.05460554705944449,Energy,1
electricity/H/long,LiteSpecFormer,11596535.961753754,11596535.961753754,320.95899099099097,1.296974409939896,0.3369289762391759,0.15939044317755255,13.449644973911278,3405.368696889333,1.3430764068345795,0.12658613111561157,0.1048604022017993,Energy,1
electricity/H/medium,LiteSpecFormer,6723602.639279279,6723602.639279279,270.0730602477478,1.1700988807141597,0.2737395621231107,0.14593929256404842,11.054931620174642,2592.991060393244,1.012129861008677,0.10541841547625153,0.08615759300893835,Energy,1
electricity/H/short,LiteSpecFormer,1455455.9255855856,1455455.9255855856,174.26626759572073,0.9461931288356109,0.21817485101157214,0.13001562341913447,10.717657160327878,1206.422780614485,0.5695177077805185,0.08226612333532861,0.0674008726137742,Energy,1
electricity/W/short,LiteSpecFormer,38598391464.821625,38598391464.821625,27565.782882882882,1.5275217789024162,0.2509264557960883,0.09782591037922077,12.618307864342409,196464.73338699143,0.4482676880147067,0.06289601980058714,0.04988268696386969,Energy,1
ett1/15T/long,LiteSpecFormer,11.967781498015873,11.967781498015873,1.8910591827876984,1.2232324881190393,0.9020960903795304,0.4503966316344246,15.430246437563234,3.4594481493463483,0.6593742377692725,0.3604377500101635,0.3050555479114486,Energy,7
ett1/15T/medium,LiteSpecFormer,13.66350818452381,13.66350818452381,1.8996981956845238,1.2274866725409905,0.893953299891648,0.44999996124751984,15.12230994147117,3.6964182913360615,0.704540981134993,0.36208435441005876,0.30647375454312586,Energy,7
ett1/15T/short,LiteSpecFormer,5.397376650855655,5.397376650855655,1.1307498023623512,0.7310486341131371,0.5630603674410921,0.24083112080891927,6.148134387844625,2.3232254842902473,0.43918632115562484,0.21375878028416462,0.17296924430052218,Energy,7
ett1/D/short,LiteSpecFormer,48247.955555555556,48247.955555555556,148.91860119047618,1.826446755209939,1.2348297603546627,0.5094260079520089,11.050790561976335,219.65417263406482,0.5769289704267148,0.39113964570725335,0.30100753890669474,Energy,7
ett1/H/long,LiteSpecFormer,166.82566137566138,166.82566137566138,7.911366877480159,1.533413593991929,5363428119799.415,0.5168659190021495,17.646759494132194,12.916100858063217,0.6185240957603576,0.3788582249314849,0.3106549428157821,Energy,7
ett1/H/medium,LiteSpecFormer,142.67412574404761,142.67412574404761,7.170703125,1.3362512386203445,4358649398339.129,0.44773824782598587,12.40942154972235,11.944627484524062,0.57211934186912,0.3434596815956967,0.27600564468775857,Energy,7
ett1/H/short,LiteSpecFormer,97.46004464285714,97.46004464285714,4.975142415364584,0.8458114642121527,0.475814456031436,0.2643031710670108,6.10492147685122,9.872185403590086,0.4607752815688807,0.23221025067572598,0.18242228284552814,Energy,7
ett1/W/short,LiteSpecFormer,1777122.0,1777122.0,973.7735770089286,1.6636487048670803,0.6674863951546806,0.5472520419529506,8.230254306768773,1333.0873939843555,0.5304672918616054,0.3874877480751099,0.28998186712186363,Energy,7
ett2/15T/long,LiteSpecFormer,14.34102554563492,14.34102554563492,2.513243427579365,1.0842423615509302,0.16646130624735483,0.19522026909722223,15.027647730314703,3.786954653231924,0.2018136683557754,0.13393529155622858,0.11531553751119707,Energy,7
ett2/15T/medium,LiteSpecFormer,16.276974206349205,16.276974206349205,2.608156001984127,1.0842078696260997,0.1662991133058909,0.19229755704365079,14.08120336856058,4.034473225385094,0.21500438110692588,0.13899335445047745,0.11867051226314455,Energy,7
ett2/15T/short,LiteSpecFormer,10.060370163690477,10.060370163690477,2.049637858072917,0.8520476057152906,0.12015328217473048,0.1410456067039853,6.502931083426288,3.171808658114559,0.1505770405700789,0.09730360061898419,0.07760679716714101,Energy,7
ett2/D/short,LiteSpecFormer,130846.09523809524,130846.09523809524,217.7668898809524,1.4321065633105219,0.44597100151909724,0.14972589886377727,12.60486233666812,361.72654759928145,0.20702564702410478,0.12463373666445458,0.10293067701398456,Energy,7
ett2/H/long,LiteSpecFormer,274.988955026455,274.988955026455,10.692983217592593,1.1643100480442539,0.19698465851182917,0.19762176029265874,16.33146659472782,16.582790929950693,0.2270885587271833,0.14643217523724042,0.1246098194427784,Energy,7
ett2/H/medium,LiteSpecFormer,269.7892113095238,269.7892113095238,10.489962332589286,1.126990186201604,0.18881443126549238,0.18607502891903832,12.412826942466394,16.425261377205654,0.2213409597481779,0.1413589882739847,0.11779051254100306,Energy,7
ett2/H/short,LiteSpecFormer,109.93630952380953,109.93630952380953,6.563943336123512,0.7569314647955064,0.12213292152449136,0.11281616574242001,5.267640142872651,10.485051717746057,0.13297962942401462,0.08324906503995513,0.06596462224278703,Energy,7
ett2/W/short,LiteSpecFormer,4136773.1428571427,4136773.1428571427,1449.877232142857,1.0360371087234548,0.17023641722542898,0.20586277757372176,7.685561452783948,2033.905883480635,0.17061352194638732,0.12162247180407837,0.09717143158039035,Energy,7
hierarchical_sales/D/short,LiteSpecFormer,28.19286895411327,28.19286895411327,2.3140676674245557,0.7469483800601077,0.6506585629289711,1.055466731474783,6.610071496483762,5.309695749674671,1.6289558546668987,0.7099303336123477,0.5735492418882326,Sales,1
hierarchical_sales/W/short,LiteSpecFormer,469.75768008474574,469.75768008474574,8.926059528932733,0.7221197036639497,0.5175564132827373,0.4560875326900159,6.992003649604326,21.67389397604283,0.9950590739302069,0.40979975903376414,0.34930536049151,Sales,1
hospital/M/short,LiteSpecFormer,3075.107344632768,3075.107344632768,18.13167848218166,0.7765938269668962,0.19667288636394503,0.18069411588202142,5.1036159199182425,55.45365041755834,0.20130962813911435,0.06582220332297983,0.05154980642447274,Healthcare,1
jena_weather/10T/long,LiteSpecFormer,2657.5216931216933,2657.5216931216933,12.92689525462963,0.6623801449586957,0.7027475375677137,0.7172732075686177,17.090593635130904,51.55115607939063,0.3154503636021751,0.07910188865677813,0.07383759751426495,Nature,21
jena_weather/10T/medium,LiteSpecFormer,2405.046608946609,2405.046608946609,12.91343456890332,0.6903309319830583,0.9375599617913037,0.7245893646284272,15.656525026457032,49.04127454447538,0.3009654635027975,0.07924952718996696,0.07218556426742613,Nature,21
jena_weather/10T/short,LiteSpecFormer,1602.7936507936508,1602.7936507936508,9.049276103670636,0.3455303288430677,0.3598106870468807,0.6318274603949653,3.2124504546562123,40.034905405079336,0.2486669391688919,0.056207346255112596,0.04958386716378225,Nature,21
jena_weather/D/short,LiteSpecFormer,832.9698412698413,832.9698412698413,13.377574714781746,1.1089212218297426,0.8769946412991751,0.47484557136656746,7.086361415869636,28.861216905561022,0.17379169724324595,0.0805548644150304,0.06244843522813913,Nature,21
jena_weather/H/long,LiteSpecFormer,1234.3656084656084,1234.3656084656084,11.918375909391534,1.0336752359223302,3.1902774979854955,0.6627530536954365,19.25236331234151,35.13353965181431,0.21154283405443564,0.07176182764917051,0.06132990804572534,Nature,21
jena_weather/H/medium,LiteSpecFormer,1910.7134920634921,1910.7134920634921,12.460736762152777,0.8420039462527961,3.0976635611000423,0.7005105639260912,10.198857131951245,43.71170886688705,0.2674796989633194,0.07624945819783853,0.06443198875334832,Nature,21
jena_weather/H/short,LiteSpecFormer,1141.5989974937343,1141.5989974937343,8.586263836675021,0.5319216682888206,1.5145702032203714,0.6116621611809472,4.871946530557866,33.78755684410659,0.20711554831935816,0.05263324456257074,0.043763226433581826,Nature,21
kdd_cup_2018/D/short,LiteSpecFormer,2755.011104461733,2755.011104461733,20.698255369372962,1.1815906606293747,0.5629967553111909,0.45842132071198216,8.741883062268274,52.48819966870394,1.1757913700170959,0.4636628840640074,0.3654012253627822,Nature,1
kdd_cup_2018/H/long,LiteSpecFormer,4005.7687030190823,4005.7687030190823,23.721850996888932,1.0215205505419933,1.0322441142430192,0.6036922497231678,16.83500716439351,63.291142374103835,1.4850659529185557,0.5566104818815993,0.4857295556587671,Nature,1
kdd_cup_2018/H/medium,LiteSpecFormer,5002.937905069484,5002.937905069484,25.01870834119521,1.0515306558531032,0.9585502091223882,0.5584082359923297,14.813100372164177,70.73144919390161,1.4805373322506585,0.5236868765729191,0.4497934277937063,Nature,1
kdd_cup_2018/H/short,LiteSpecFormer,4496.68390319141,4496.68390319141,22.187216732468745,0.9379064448173874,0.8734282734072247,0.49044546510382614,7.9273011214501246,67.05731804353205,1.4036311171407427,0.46441863046508647,0.376602050724614,Nature,1
loop_seattle/5T/long,LiteSpecFormer,169.15142873523678,169.15142873523678,8.199187449833735,1.2850757758039906,0.27760779700220733,0.17776215456943012,20.998460568870655,13.005822878051076,0.22994560832261707,0.14496331094013085,0.12540433322869654,Transport,1
loop_seattle/5T/medium,LiteSpecFormer,151.6353270123839,151.6353270123839,7.627874862938596,1.1941624842043705,0.26427299255434084,0.1672104086546214,18.299941554170665,12.314029682130212,0.21909188557148426,0.13571556425998815,0.11629130714515301,Transport,1
loop_seattle/5T/short,LiteSpecFormer,47.81952893204979,47.81952893204979,3.7136526007401316,0.5879122643477142,0.10151328351598529,0.07955167079488559,4.7514110192446735,6.915166587440233,0.11857984363912061,0.06368094523212156,0.050739057037495615,Transport,1
loop_seattle/D/short,LiteSpecFormer,18.70173664860681,18.70173664860681,2.992458599393705,0.9051631562237307,0.05520474303002451,0.055216030439725235,10.020227847521452,4.324550456244766,0.07728550046386501,0.05347923739392928,0.044843483536257216,Transport,1
loop_seattle/H/long,LiteSpecFormer,90.17005503955968,90.17005503955968,6.062133965428276,1.2579586718687967,0.18394994168171655,0.13561885743195304,10.942990771962565,9.495791438293056,0.16970250605946685,0.10833845000562899,0.0869049446552516,Transport,1
loop_seattle/H/medium,LiteSpecFormer,98.72420020639835,98.72420020639835,6.402699706527348,1.3047322250696904,0.1652281644051535,0.1425052103489422,10.289766461970187,9.93600524387937,0.17561776063970883,0.11316698782959148,0.09096733056689682,Transport,1
loop_seattle/H/short,LiteSpecFormer,76.12702070093965,76.12702070093965,5.165480109547281,1.0411760831137855,0.15819851860438816,0.1167380374541502,8.429699385915002,8.72507998249527,0.15444278834121974,0.09143425078510721,0.07403907964281806,Transport,1
m4_daily/D/short,LiteSpecFormer,324273.6318226368,324273.6318226368,163.95968835546995,3.062987166958537,0.03649402039415827,0.028916814206455425,24.352198953762045,569.4502891584451,0.08796433265475298,0.02532724074964375,0.0201155040901881,Econ/Fin,1
m4_hourly/H/short,LiteSpecFormer,2898782.6086956523,2898782.6086956523,299.81161936392914,0.9581248024392136,0.10558308034703351,0.0968482467479368,9.552982821156018,1702.5811606780019,0.23243990902508493,0.04093090370027579,0.030597083751188428,Econ/Fin,1
m4_monthly/M/short,LiteSpecFormer,1525431.9669629629,1525431.9669629629,476.0673642939815,0.8128441830975662,0.12824186127274126,0.111255604284781,6.6392575560223435,1235.0837894503202,0.25669281247041886,0.09894314192269386,0.0791267746284339,Econ/Fin,1
m4_quarterly/Q/short,LiteSpecFormer,1895066.1786666666,1895066.1786666666,574.9123463541666,1.1810640041034113,0.12076047372817993,0.10480904229482015,9.070191768212936,1376.6140267579242,0.23042094669398416,0.09623020290224153,0.07696797298115754,Econ/Fin,1
m4_weekly/W/short,LiteSpecFormer,322009.68502249836,322009.68502249836,287.60159095778874,2.4307511156795285,0.07025418507355502,0.06890733129134749,15.811254605057472,567.458972105031,0.1033822306134211,0.05239655281312859,0.04130368882060351,Econ/Fin,1
m4_yearly/A/short,LiteSpecFormer,3589651.310873161,3589651.310873161,892.4112801427701,3.315204468085784,0.17412204033423312,0.14679643120617214,30.459088781354797,1894.6375143739663,0.3038139077260223,0.14310228540394115,0.11621509199010067,Econ/Fin,1
m_dense/D/short,LiteSpecFormer,10257.33111111111,10257.33111111111,53.61266203703704,0.7716235135558138,0.13554550860880746,0.11071820294415509,8.16788605133039,101.27848296213322,0.17532803505751482,0.0928114483376572,0.07564885234739234,Transport,1
m_dense/H/long,LiteSpecFormer,41904.50172839506,41904.50172839506,94.31827932098766,0.7931143235250311,0.29641297790759774,0.23190007716049382,8.464493906412148,204.70589080042387,0.35437615800879385,0.16327888428163723,0.13270775530333234,Transport,1
m_dense/H/medium,LiteSpecFormer,39576.56444444445,39576.56444444445,90.49940104166667,0.765316335218845,0.2859362887385897,0.22638868543836804,8.373195551874945,198.9385946578603,0.34612802148371696,0.15745752442800748,0.1283388635415544,Transport,1
m_dense/H/short,LiteSpecFormer,48352.24888888889,48352.24888888889,98.28158854166666,0.8542147572743474,0.32365508665059967,0.24000362820095486,9.793280860617548,219.89144796669308,0.39003263525609116,0.17432704787076303,0.1444917901656943,Transport,1
restaurant/D/short,LiteSpecFormer,145.93652517044924,145.93652517044924,7.317514243018586,0.6991361122134361,0.6825865416608293,0.4009295722132717,4.701531250844266,12.080419080911442,0.5559688761533252,0.3367689599738661,0.2634841665619765,Sales,1
saugeen/D/short,LiteSpecFormer,1309.8647916666666,1309.8647916666666,14.545890299479167,3.232038626382645,0.38169344584147136,0.3860477193196615,27.661561243942568,36.19205426149042,1.1722692608446257,0.4711448525827683,0.3923963405773876,Nature,1
saugeen/M/short,LiteSpecFormer,410.93577938988096,410.93577938988096,12.868687220982142,0.7539159396685113,0.406303224109468,0.3792738914489746,5.087056903614884,20.271550986293104,0.6086127746918939,0.3863565960739664,0.3038136853232623,Nature,1
saugeen/W/short,LiteSpecFormer,934.64052734375,934.64052734375,14.41309814453125,1.1692462536842738,0.3558382034301758,0.3849151611328125,13.140106037314712,30.571891131294937,0.9228379550999322,0.43507135234883504,0.35462918121774817,Nature,1
solar/10T/long,LiteSpecFormer,85.23907295468369,85.23907295468369,4.887126165855637,2.1143706234809607,1.187831156496989,1.8543184476853964,51.72796761894192,9.232500904667363,1.9954571660599978,1.0562740290841388,0.9477501495739228,Energy,1
solar/10T/medium,LiteSpecFormer,69.2314794846273,69.2314794846273,4.873377450370493,2.1095914107437954,1.7811676498249405,1.729022893165229,37.99084234722314,8.320545624214034,1.8463620469039128,1.0814217685936187,0.9142045329199835,Energy,1
solar/10T/short,LiteSpecFormer,37.14563754562044,37.14563754562044,2.8019000199589414,1.2345677980351464,1.9500519462078394,1.648454429459398,7.8860992650544,6.094722105692797,1.7729540005286226,0.8150724123791291,0.6534909609173143,Energy,1
solar/D/short,LiteSpecFormer,122067.58150851581,122067.58150851581,247.3599604622871,0.9637502534348418,1.0187612863062652,0.42618393352722017,5.527137880326494,349.3817131856157,0.504737574612969,0.35735089098313727,0.2741293094614454,Energy,1
solar/H/long,LiteSpecFormer,763.7892133008921,763.7892133008921,14.599723742903487,1.1152866369678436,6.285035225393142,1.4355687347931874,6.559887573288095,27.63673666156864,0.9582160265779099,0.5061990294069005,0.38984596300820606,Energy,1
solar/H/medium,LiteSpecFormer,729.1051703163017,729.1051703163017,13.723515434914843,1.0515877533689957,5.224086982431773,1.4262189210766423,8.148388990468854,27.00194752821177,0.9726731728201498,0.4943530568074152,0.3878396186064071,Energy,1
solar/H/short,LiteSpecFormer,726.9207004738123,726.9207004738123,12.412772672157127,0.958113532983949,5.161726610311739,1.4209195719682417,8.110469401353438,26.961466957007595,0.9938086791820882,0.45753894749030877,0.37179261376362216,Energy,1
solar/W/short,LiteSpecFormer,2146354.9197080294,2146354.9197080294,1182.7835310218977,1.300267671786108,0.27104070064795277,0.22821866334789861,6.257708170041989,1465.0443405262617,0.29905217781760624,0.24143568972925314,0.17555652066341543,Energy,1
sz_taxi/15T/long,LiteSpecFormer,17.401530226139602,17.401530226139602,2.9156088630698007,0.5551271183279545,8337214311208.697,0.41812278117209756,7.339184866127394,4.171514140709534,0.3861079180741882,0.2698635627415263,0.22362490734680357,Transport,1
sz_taxi/15T/medium,LiteSpecFormer,18.74455295138889,18.74455295138889,3.024669471153846,0.5943366183460018,11449217296506.53,0.4293113512870593,7.660921289469874,4.329498002238699,0.4029320549394055,0.2814959805719553,0.23328050406794146,Transport,1
sz_taxi/15T/short,LiteSpecFormer,17.75531236883776,17.75531236883776,2.841693286639576,0.5662203988468412,845255889621.3173,0.40539085937798097,4.118271931188561,4.213705301612556,0.39399946697192484,0.26571047571960404,0.20931148347993983,Transport,1
sz_taxi/H/short,LiteSpecFormer,7.450571956797543,7.450571956797543,1.897205841846955,0.5787173263762738,1.1144535684178019,0.3017102428990552,4.263446937272277,2.7295735851589606,0.25427662334984663,0.17673643161239513,0.1400587175355543,Transport,1
temperature_rain/D/short,LiteSpecFormer,179.97759851305108,179.97759851305108,5.758833759897744,1.3479226866742657,23.12567483565831,1.480717140549829,18.89159548210897,13.415572984895244,1.5793676193687787,0.6779669847833394,0.5511523442799225,Nature,1
us_births/D/short,LiteSpecFormer,234011.81333333332,234011.81333333332,326.21807291666664,0.4801719987034352,0.031011053721110026,0.030838667551676434,4.28227071764778,483.74767527434517,0.04534741917099787,0.03058029722895862,0.024633777601598364,Healthcare,1
