dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/5T/long,metis-autocast,3798190.263485408,3661152.56453407,358.33539939651007,0.8738315915871643,4.683073354006227,0.8207279684286848,16.772141900562875,1948.8946260599644,5.150346560577946,0.9469734623601735,0.6961526142442441,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,metis-autocast,2859575.4111253903,2811348.9372868487,274.13445627590085,0.9586685855053463,4.0785873144970015,0.8047221885688993,21.443855913663477,1691.0279155369938,5.137809829674566,0.8328961876773961,0.6134851260318963,Web/CloudOps,2
bitbrains_fast_storage/5T/short,metis-autocast,1574331.5945877917,1574300.2173068298,143.3298329935151,0.6482335455215792,1.6896647856385072,0.7256288739700102,13.979743997614197,1254.7237124513874,3.9395221198701065,0.45002022509964923,0.3618781804866456,Web/CloudOps,2
bitbrains_fast_storage/H/short,metis-autocast,2918317.98877385,2916635.870186366,288.0099614982751,1.0685835868156468,3.8270040248936428,0.5839617442092307,23.14278069522379,1708.3085168592497,4.869234248093621,0.8209219555363673,0.6099616839867709,Web/CloudOps,2
bitbrains_rnd/5T/long,metis-autocast,2304700.6021227944,2297430.8877858883,174.51935271918438,3.2782860471728474,1.7589214365971362,0.6873368604581405,115.4388406801708,1518.12404042713,5.815591320678073,0.6685443388924192,0.6163413232410033,Web/CloudOps,2
bitbrains_rnd/5T/medium,metis-autocast,2296641.9186098576,2285395.3441243847,163.59227322033493,4.343808971430575,1.0917663239761786,0.7182580268862997,159.10293143039507,1515.4675577556445,6.376344444460582,0.6883160758980458,0.6628092154881569,Web/CloudOps,2
bitbrains_rnd/5T/short,metis-autocast,1467649.3204458498,1467622.6017821003,107.56736241356117,1.5778775108115475,0.9597032082946224,0.6327655898366342,51.05687702848229,1211.4657735346261,4.95696823891308,0.44013459618587825,0.35555417748467116,Web/CloudOps,2
bitbrains_rnd/H/short,metis-autocast,2036430.8156712935,2025373.5608445252,187.39125094147371,5.849923358909581,2.839843531701039,0.5617570825971623,202.9569178452147,1427.035674281233,6.245406314224407,0.8201157987516763,0.6426099065458589,Web/CloudOps,2
bizitobs_application/10S/long,metis-autocast,6257294.049636555,6257294.049636555,1512.4592181501494,3.2865874605370875,0.04761066434477025,0.04863881770392821,78.04634826641109,2501.4583845502116,0.09647125127718562,0.0583295065717812,0.05440744025393381,Web/CloudOps,2
bizitobs_application/10S/medium,metis-autocast,3558137.230213679,3558137.230213679,1037.4853508623478,2.284310374583673,0.03264131215373789,0.0333110561526237,30.262237059971667,1886.302528814951,0.07406954858650183,0.04073899622652803,0.03549816259762828,Web/CloudOps,2
bizitobs_application/10S/short,metis-autocast,281041.4898657255,299095.79135471216,305.50355956925273,1.0898773402264166,0.014719348885115311,0.014914844906665614,9.838806081608462,530.1334642009741,0.020445128710215598,0.011782051159959415,0.009100166029209995,Web/CloudOps,2
bizitobs_l2c/5T/long,metis-autocast,82.2633076534855,82.2633075442174,5.754562496997972,0.5829254150669422,0.4031215834745656,0.7636623696282429,5.045706895081505,9.069912218620724,0.5092620115324289,0.32311008112004874,0.2561618537731765,Web/CloudOps,7
bizitobs_l2c/5T/medium,metis-autocast,67.98149833046502,67.9814976775301,5.221666584841884,0.519598061377532,0.36561047368526406,0.637675624396166,3.997128008855909,8.245089346420997,0.433812948911522,0.27473645029526533,0.2149470617221738,Web/CloudOps,7
bizitobs_l2c/5T/short,metis-autocast,12.832924282546209,12.832923882049371,1.9489186687546773,0.20264648926425793,0.09170186363353075,0.17672700603643093,1.704652486575091,3.5823071172843637,0.12303092158014868,0.06693375303997168,0.052783210942763586,Web/CloudOps,7
