dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/long,recursive-moirai-2,80.2426602453847,80.2426602453847,5.097891296869625,0.8053411189879284,0.1511863425925926,0.11648453510676711,6.486501414708255,8.957826759062977,0.15837618499680134,0.09013174700099501,0.07194151009184604,Transport,1
loop_seattle/5T/medium,recursive-moirai-2,67.17954076367388,67.17954076367388,4.725098361713107,0.7509190551261977,0.14621376943046957,0.10902685685249344,5.774437443030272,8.196312632133665,0.14582927593367034,0.08406922767959606,0.06682342426317835,Transport,1
loop_seattle/5T/short,recursive-moirai-2,43.883039860681116,43.883039860681116,3.7234459655572754,0.5870016088447293,0.0955849662284733,0.07993784735010055,4.337273062511557,6.624427511919888,0.11359429608651886,0.0638488718779994,0.050317953698974766,Transport,1
loop_seattle/D/short,recursive-moirai-2,19.030059984520125,19.030059984520125,2.9777456624097005,0.8987597606850943,0.05514130174067983,0.05492372003567252,8.717239203170836,4.362345697502678,0.07796095197387161,0.05321629753240909,0.04394508159672388,Transport,1
loop_seattle/H/long,recursive-moirai-2,65.4484305125559,65.4484305125559,4.615335827313381,0.9611245523381023,0.14135364260835914,0.10620291446160816,9.179960236858527,8.090020427202635,0.14457949603149192,0.0824822302902133,0.06741384289610199,Transport,1
loop_seattle/H/medium,recursive-moirai-2,64.90891382868936,64.90891382868936,4.585484794246646,0.9374148492052068,0.1255660333623581,0.10420505622311411,9.26606738628352,8.056606843373292,0.14239960803758092,0.08104792129705209,0.0667209099337214,Transport,1
loop_seattle/H/short,recursive-moirai-2,62.499436478192386,62.499436478192386,4.427827199092934,0.8970052679797422,0.13471801950090978,0.10155480010505069,8.532201154351249,7.905658510092147,0.1399382097144871,0.07837705238281974,0.06399181346493953,Transport,1
m_dense/D/short,recursive-moirai-2,10316.926666666666,10316.926666666666,54.39917824074074,0.7678203438190989,0.136156674576654,0.11309144893524056,7.342448512098905,101.57227311952148,0.1758366292772108,0.09417302422725483,0.0761847231739648,Transport,1
m_dense/H/long,recursive-moirai-2,34087.34419753087,34087.34419753087,82.07675925925926,0.7053756074150658,0.2662691279141769,0.19808704317292633,7.461376260320339,184.62758243970717,0.3196176381227023,0.1420870034290619,0.11631413773508364,Transport,1
m_dense/H/medium,recursive-moirai-2,34354.82666666667,34354.82666666667,81.28858506944445,0.7038499848674294,0.2701883252909205,0.19903340183394538,7.59837177374037,185.35055075900547,0.3224865417666555,0.14143186829929644,0.11605694539071838,Transport,1
m_dense/H/short,recursive-moirai-2,45981.04888888889,45981.04888888889,93.67848958333333,0.8205038254724176,0.3100578787436371,0.22276485452484893,9.43729837244096,214.43192133842592,0.38034879544438377,0.1661622973374214,0.13738593964162607,Transport,1
sz_taxi/15T/long,recursive-moirai-2,17.11719306445869,17.11719306445869,2.9328052662037036,0.554499519963432,6418745416528.374,0.4244169251827333,4.3911531583526395,4.1372929633346835,0.38294046685514394,0.27145523118335174,0.2190962942082345,Transport,1
sz_taxi/15T/medium,recursive-moirai-2,17.524317240918805,17.524317240918805,2.937390867053953,0.5732635404118742,9784656834538.994,0.4249383487598825,4.33081800884871,4.186205589901051,0.389596304205584,0.2733732496493337,0.21882127178629684,Transport,1
sz_taxi/15T/short,recursive-moirai-2,16.990121098519538,16.990121098519538,2.7699956835699022,0.5525434180408628,1236005976871.6973,0.4004341502648098,3.974200786304473,4.1219074587525055,0.38541595994720373,0.259006432365615,0.2040145134986077,Transport,1
sz_taxi/H/short,recursive-moirai-2,7.364710098657852,7.364710098657852,1.8810338729467146,0.5732977314067194,1.0588001349033453,0.3005425362928496,4.07453656575379,2.7137999371099286,0.25280721069666723,0.17522991291393242,0.13842723549340538,Transport,1
