dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
m4_yearly/A/short,t0-alpha,3727839.740924523,3727839.740924523,929.380547938249,3.556148044284554,0.17167535764536418,0.15535849835265828,33.580654958745725,1930.76144070792,0.3096065467604879,0.14903047886021056,0.12088529707986091,Econ/Fin,1
covid_deaths/D/short,t0-alpha,1074224.697744361,1074224.697744361,183.6496553884712,41.05591386647716,0.10934262927022483,0.39167988330200504,869.9657001277923,1036.44811628193,0.389968647687664,0.06909907658191597,0.057648788788773886,Healthcare,1
restaurant/D/short,t0-alpha,138.12169608667227,138.12169608667227,7.0337352316241715,0.6746684080523234,0.6383212720066311,0.3894329133394041,4.590717967153347,11.752518712457865,0.5408781414595714,0.32370879236013206,0.2538028868454853,Sales,1
m_dense/D/short,t0-alpha,9212.312592592592,9212.312592592592,48.70374421296296,0.6920302536673124,0.12511071388238973,0.10145378960503472,6.8954323490285185,95.98079283165248,0.16615694981063114,0.08431338546012068,0.0686548460121904,Transport,1
bizitobs_application/10S/short,t0-alpha,613412.4088888889,613412.4088888889,401.4974305555556,1.2717204177976773,0.01794456058078342,0.018184439341227213,11.97063002251082,783.2064918582385,0.030205143825155052,0.015484151065432966,0.012196854182549835,Web/CloudOps,2
bizitobs_application/10S/medium,t0-alpha,4083904.0,4083904.0,1105.2459375,2.4669974557774745,0.03552465438842774,0.036276928583780926,37.111382364405905,2020.8671406106835,0.07935350484440364,0.043399755032466,0.03767728077251389,Web/CloudOps,2
bizitobs_application/10S/long,t0-alpha,5798368.711111112,5798368.711111112,1463.6741666666667,3.185167374922166,0.04581840515136719,0.04682565477159288,60.86640603575164,2407.980214019856,0.09286617188275585,0.056448062135487,0.05092774266885786,Web/CloudOps,2
sz_taxi/15T/short,t0-alpha,16.62103070269574,16.62103070269574,2.7333190321776746,0.545442472017606,1207242167257.3594,0.3962002429333362,3.848755082369664,4.076889832052829,0.3812066354325628,0.2555770194299276,0.20072980561197498,Transport,1
sz_taxi/15T/medium,t0-alpha,16.2010016025641,16.2010016025641,2.730808877537393,0.5326280415710155,8916823818716.117,0.40435042422041934,3.692730427844237,4.025046782655339,0.374597787208574,0.25414734736081496,0.20002005625523953,Transport,1
sz_taxi/15T/long,t0-alpha,15.336985844017095,15.336985844017095,2.6522299568198004,0.5010028070887389,5635950305891.482,0.3930927330951745,3.540591736650932,3.9162463972555526,0.36248079045290954,0.24548568034040197,0.19434185039019186,Transport,1
car_parts/M/short,t0-alpha,1.369930100596187,1.369930100596187,0.4677825680415089,0.8510588999161471,0.8109579813754955,1.8868046387172845,13.401870487421203,1.1704401311456247,2.8065953702239943,1.1216946128220573,1.0011703833843952,Sales,1
