dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
m4_yearly/A/short,timer_small,39759987.62009228,39759987.62009228,4836.863882359769,24.89327001929421,0.7566142504658232,1.220438881968702,995.7308009036141,6305.55212650663,1.0111245130632112,0.7756135449654208,0.775613551645266,Econ/Fin,1
m4_quarterly/Q/short,timer_small,18664186.794666667,18664186.794666667,3020.4293802083334,10.641145022729543,0.5126734790802002,0.7175351899464925,425.645800935618,4320.206799988476,0.7231265406875899,0.5055666893323346,0.5055666888210053,Econ/Fin,1
m4_monthly/M/short,timer_small,8373015.086222222,8373015.086222222,1868.3113368055556,7.410703418732782,0.37662889127378113,0.4597884727760598,296.4281367564542,2893.61626450748,0.6013927958250888,0.38829923376327413,0.3882992359753221,Econ/Fin,1
m4_weekly/W/short,timer_small,7684383.869723591,7684383.869723591,1632.2491964859653,24.254692832032756,0.3082916475553085,0.3615830419199968,970.1877130781178,2772.072125635188,0.5050285815489931,0.2973705080804507,0.2973705205450959,Econ/Fin,1
m4_daily/D/short,timer_small,2923069.964649025,2923069.964649025,1003.035021460678,25.093975067827348,0.21267891826189367,0.23134138626923223,1003.7590026677904,1709.6987935449404,0.26410121391269,0.15494119067338688,0.15494119241543267,Econ/Fin,1
m4_hourly/H/short,timer_small,5387735.600644123,5387735.600644123,401.39087661030595,4.085250592254581,0.25908104348297856,0.22366234722536735,163.4100236858846,2321.149629094196,0.3168881584507923,0.05479871444462887,0.05479871375012377,Econ/Fin,1
electricity/15T/short,timer_small,1227497.5416666667,1227497.5416666667,147.47281813063063,2.3304056263156365,0.43974344455402886,0.32238613094295465,93.21622504839587,1107.924880877159,2.183938336989236,0.290697994727167,0.2906979913429274,Energy,1
electricity/15T/medium,timer_small,3141215.834081081,3141215.834081081,188.11441722972972,2.5005139486260286,0.5336252786298759,0.331504626574817,100.0205579481554,1772.3475488969655,3.0539333613290736,0.32414009029007096,0.3241400695715921,Energy,1
electricity/15T/long,timer_small,3136591.219051051,3136591.219051051,183.4549620870871,2.377227181542496,0.501248243833033,0.31164559212532844,95.0890872626786,1771.042410291479,2.794036595329688,0.2894227008272383,0.2894227178656733,Energy,1
electricity/H/short,timer_small,7038666.953873874,7038666.953873874,389.3691740568694,1.9719312715199049,0.4990156775699205,0.22970241374797648,78.87725086187456,2653.048615060394,1.2524284166270934,0.18381005737293774,0.18381005844537127,Energy,1
electricity/H/medium,timer_small,25484588.86198198,25484588.86198198,509.18255208333335,2.2473056017838897,0.5877985440813689,0.24715257111970368,89.89222406961345,5048.226308514901,1.9704890022293775,0.198750721082958,0.1987507223452052,Energy,1
electricity/H/long,timer_small,28657081.479303304,28657081.479303304,542.1184384384385,2.4337778143336304,0.6338985186796352,0.261339623803491,97.35111257453512,5353.230938349597,2.111312728747291,0.21381135481454763,0.21381135921059335,Energy,1
electricity/D/short,timer_small,1920532540.2222703,1920532540.2222703,6378.653621621622,2.439654069965972,0.5325831179338505,0.16092477169552366,97.58616280809697,43823.880935196394,0.7201719374054358,0.10482246753806028,0.10482246460028359,Energy,1
electricity/W/short,timer_small,962597525323.1855,962597525323.1855,116383.2072072072,4.911517976006398,0.37607713461353376,0.2735941087877428,196.4607191032614,981120.5457654964,2.2385933145961108,0.2655480722626513,0.2655480714870493,Energy,1
solar/10T/short,timer_small,45.368817717837594,45.368817717837594,5.6171655808052,2.46665307527535,7.362409735422978,1.5490470719163436,98.66612301563542,6.7356378849992815,1.9593963313220109,1.6340328591549806,1.6340329072763324,Energy,1
solar/10T/medium,timer_small,79.40600254368502,79.40600254368502,7.755473934140677,3.399033922495377,6.478093340286055,1.5096240979595221,135.96135689450745,8.911004575449674,1.977387303895324,1.7209704655871552,1.7209703682556319,Energy,1
solar/10T/long,timer_small,85.80917224249798,85.80917224249798,8.018440874011556,3.5072431092433445,6.462141651982756,1.502645638892057,140.28972436995286,9.26332403851328,2.002119298291773,1.7330577176534419,1.7330576341495654,Energy,1
solar/H/short,timer_small,809.9408815149187,809.9408815149187,18.146788198612978,1.3975427044982365,7.909604461531511,1.4471901302408479,55.90170817501129,28.459460316648993,1.0490251725488637,0.6688966484062668,0.6688966614210766,Energy,1
solar/H/medium,timer_small,1021.6121654501217,1021.6121654501217,21.19882907542579,1.6144808253846954,8.647872362888997,1.4580155347095498,64.57923302081807,31.96266830929673,1.1513699137337972,0.7636313016060436,0.7636313149547531,Energy,1
solar/H/long,timer_small,1198.1257907542579,1198.1257907542579,24.75446319951338,1.8833197341340877,10.307764707334535,1.4685792401662612,75.33278936678225,34.61395370012299,1.2001288569213087,0.8582823528543356,0.8582823111929954,Energy,1
solar/D/short,timer_small,138444.05255474453,138444.05255474453,312.7028892944039,1.221148800494433,0.8656359298965937,0.5431607360097324,48.845952012133075,372.08070704451274,0.5375298893624464,0.45174916705807505,0.45174914524897264,Energy,1
solar/W/short,timer_small,4053874.9197080294,4053874.9197080294,1592.1756386861314,1.7548415211408648,0.30120306641516026,0.36695945349923015,70.1936607925792,2013.4236811232824,0.41099011139360525,0.32500285421135394,0.3250028479023806,Energy,1
hospital/M/short,timer_small,260354.96219035203,260354.96219035203,154.99170197740114,3.329902404794368,0.5146717268816547,0.7097613331754536,133.19609618564772,510.24990170538206,1.8523256304476998,0.5626558694473204,0.5626558501210631,Healthcare,1
covid_deaths/D/short,timer_small,57296272.874185465,57296272.874185465,1425.3981203007518,129.55907247027852,0.5053634170362757,0.9512672672893171,5182.362901441943,7569.430155182454,2.8480349329708075,0.5363129795481434,0.536312988269684,Healthcare,1
us_births/D/short,timer_small,743547.84,743547.84,686.7884375,1.011004995960207,0.062309252421061195,0.06460407892862956,40.440199838408276,862.2922010548397,0.08083289675126619,0.06438084304889857,0.06438084091285301,Healthcare,1
us_births/M/short,timer_small,35487948800.0,35487948800.0,187332.20833333334,21.195619714666815,0.5803610881169637,0.8193675676981608,847.8247779125239,188382.45353535452,0.5851146163054688,0.5818525618684723,0.5818525820897821,Healthcare,1
us_births/W/short,timer_small,101208868.57142857,101208868.57142857,9071.91015625,8.24249359778087,0.12116709777287074,0.13073196581431798,329.69974339757164,10060.261854018938,0.136567068215109,0.12315029083015373,0.12315028325487362,Healthcare,1
saugeenday/D/short,timer_small,1215.0675,1215.0675,18.984072265625,4.215121440671952,0.8936191813151042,0.5810984293619792,168.6048573445104,34.85781834825582,1.129053041712679,0.6148986239315148,0.6148986353092352,Nature,1
saugeenday/M/short,timer_small,367.51102120535717,367.51102120535717,13.108915783110119,0.7682043043664946,0.46039022718157085,0.4021800813220796,30.72817196961434,19.170576965896387,0.5755582317084581,0.39356897818798475,0.3935689759724007,Nature,1
saugeenday/W/short,timer_small,1353.68466796875,1353.68466796875,20.15166320800781,1.6344780966616717,0.6937110424041748,0.5602107048034668,65.37912347233576,36.79245395415683,1.1106108164635586,0.6082947105520705,0.6082947063239135,Nature,1
temperature_rain_with_missing/D/short,timer_small,166.85260817340182,166.85260817340182,6.411371721393925,1.569008548456947,78.26638868409005,1.4024944286607575,62.76034194112626,12.917143963485188,1.5206893674791646,0.7547879651447157,0.7547879624143374,Nature,1
kdd_cup_2018_with_missing/H/short,timer_small,5105.447587244891,5105.447587244891,25.06557206260175,1.0262922621395494,0.9621126348227726,0.5579987902680068,41.051690490114325,71.45241484544026,1.4956284404812115,0.5246678161242134,0.5246678171332164,Nature,1
kdd_cup_2018_with_missing/H/medium,timer_small,5665.422040167973,5665.422040167973,27.77267449801003,1.1401754460389983,1.1676781646150327,0.6137274614964588,45.60701784591628,75.26899786876382,1.5755164303324511,0.5813323708943449,0.5813323994630961,Nature,1
kdd_cup_2018_with_missing/H/long,timer_small,4295.540928691536,4295.540928691536,26.04201707058782,1.1082564515524875,1.3901239026011603,0.6435329884633102,44.33025805931866,65.54037632399996,1.537842037266862,0.6110509403911674,0.6110509641989955,Nature,1
kdd_cup_2018_with_missing/D/short,timer_small,2813.3171010580822,2813.3171010580822,21.104826896683207,1.2154404374373453,0.5680161633463932,0.4699635866181522,48.61761750072823,53.04071173219758,1.188168281839844,0.47277053971237243,0.4727705068127265,Nature,1
car_parts_with_missing/M/short,timer_small,1.2865322108475894,1.2865322108475894,0.5002483754609707,0.9170539466310788,0.8014587849654946,1.8670278695913463,36.68215785685631,1.1342540327667296,2.7198248182972837,1.1995442886571286,1.199544309834029,Sales,1
restaurant/D/short,timer_small,204.67149995330158,204.67149995330158,8.97515023757822,0.8494607274372886,0.714138781689257,0.4713557400021598,33.978429099944485,14.306344744668415,0.658411132617365,0.41305720914751043,0.41305722665577277,Sales,1
