dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
jena_weather/H/short,VisionTSpp,1174.1618029895194,1174.1618029895194,10.299202239674168,0.6511484217819508,2.9852807968664754,0.646991768622006,5.877968210700246,34.266044460799954,0.2100486634136291,0.0631334517511949,0.0566039498340741,Nature,21
jena_weather/H/medium,VisionTSpp,1693.8704934307748,1693.8704934307748,12.762572226009793,0.8806754988343232,4.249886061568171,0.684552464304541,7.228705170704709,41.15665794778258,0.2518448701324742,0.0780964370064681,0.0678706730249409,Nature,21
jena_weather/H/long,VisionTSpp,1487.9557426820377,1487.9557426820377,14.46609623282373,1.0877147071408448,5.849755470747446,0.6734673384643836,9.210155270144186,38.57402938094538,0.2322584171532677,0.0871019353524468,0.0748889281074545,Nature,21
solar/H/short,VisionTSpp,795.3334968625816,795.3334968625816,11.403128178834162,0.8812317987063426,4.887925632337517,1.4006487194205417,4.332535693235781,28.20165769706777,1.0395224822490223,0.420323097216301,0.3172833093223236,Energy,1
solar/H/medium,VisionTSpp,805.8624873148598,805.8624873148598,11.667407217713327,0.8919624791632454,4.675484555297532,1.3978159893263893,4.643234640530992,28.38771719097645,1.0225918304751556,0.4202872398437517,0.3158845153232483,Energy,1
solar/H/long,VisionTSpp,863.0644016144072,863.0644016144072,13.492168046659891,1.0245777530601268,4.292106567988113,1.4297441646048137,4.626774788045526,29.377957750912625,1.0185873350307275,0.4677980549552364,0.325319935965949,Energy,1
ett1/H/short,VisionTSpp,103.39425185689214,103.39425185689214,5.201802920295756,0.8527110936744158,0.5488678656020904,0.2699524976661717,6.041523217605767,10.168296408784125,0.4745959936215848,0.2427894237473971,0.1883899325558409,Energy,7
ett1/H/medium,VisionTSpp,140.3367479116788,140.3367479116788,6.915997858201076,1.283744523494584,4114377490208.8384,0.446117941823607,9.05244541829644,11.846381215868362,0.5674135784924703,0.3312599030927336,0.2658389347044453,Energy,7
ett1/H/long,VisionTSpp,144.28554315161662,144.28554315161662,7.171927403319134,1.3774754466698305,4217227534502.652,0.4792690574994028,9.68249273319514,12.011891739089918,0.5752234794337139,0.3434480700286264,0.270765826305314,Energy,7
m4_daily/D/short,VisionTSpp,442359.9325816815,442359.9325816815,222.55362182960275,4.109818843320757,0.0489370716546241,0.0382311118777978,43.60933346365231,665.1014453312227,0.1027397923834607,0.0343783840216641,0.0283311286113156,Econ/Fin,1
hierarchical_sales/D/short,VisionTSpp,27.931122392379176,27.931122392379176,2.2851019557118017,0.7401517632671668,0.6154205540847432,1.0424625276951678,6.995353581193265,5.284990292552974,1.6213764940183952,0.7010439740347815,0.5673038470122416,Sales,1
m4_monthly/M/short,VisionTSpp,1883056.68098475,1883056.68098475,564.7161064305903,0.9559621189574478,0.1609388505145699,0.1316347996160594,8.13118902562007,1372.2451242342784,0.2851996451440549,0.1173673932716703,0.0940951556628972,Econ/Fin,1
electricity/W/short,VisionTSpp,37822517521.39644,37822517521.39644,26576.96007347272,1.386511772578795,0.1014859714326374,0.0903121962503389,11.62002566502722,194480.1211471148,0.4437394578074928,0.0606398524621092,0.0476927431942808,Energy,1
m4_weekly/W/short,VisionTSpp,378493.9374313135,378493.9374313135,301.14179427014,2.6997866782517086,0.069022906449227,0.0683701624507805,30.836277159426853,615.2186094644029,0.1120832963930032,0.0548633680195167,0.044510998808606,Econ/Fin,1
saugeen/D/short,VisionTSpp,1138.1886770639503,1138.1886770639503,13.11483577072292,2.913474218660515,0.2906089105108957,0.3373249548633953,24.177493699299312,33.737051991304014,1.092751152371145,0.4247926554255474,0.3367543829407629,Nature,1
bizitobs_application/10S/short,VisionTSpp,898608.2102326021,898608.2102326021,439.8699913367811,1.2715994701312423,0.0189609073217217,0.0192268161076399,9.372248913598977,947.9494766244676,0.036558622251059,0.0169640273552559,0.0138759535846112,Web/CloudOps,2
bizitobs_application/10S/medium,VisionTSpp,4001143.906599576,4001143.906599576,1119.631846767231,2.2435478976062595,0.032450451251776,0.0331805286220497,23.403120734002503,2000.285956207156,0.0785453423069221,0.0439646473491293,0.037691354415484,Web/CloudOps,2
bizitobs_application/10S/long,VisionTSpp,6456850.937697184,6456850.937697184,1536.4695608878842,3.1158447035464176,0.0453160527664204,0.046444897183154,48.069413621329765,2541.033438917557,0.0979975029381209,0.0592554895190929,0.0537372146074646,Web/CloudOps,2
ett2/H/short,VisionTSpp,122.21565551058502,122.21565551058502,7.136288048978916,0.8125505155458683,0.1286648545922317,0.1208572895212501,5.756348589735602,11.055118973153796,0.1402096683796242,0.0905079884928064,0.0715964984049951,Energy,7
ett2/H/medium,VisionTSpp,275.89288577648017,275.89288577648017,10.319835035273549,1.1046647166313202,0.1783708730729243,0.1833657241918414,7.603052175556291,16.6100236537002,0.2238307362135946,0.1390664048231835,0.1120509117301028,Energy,7
ett2/H/long,VisionTSpp,318.67319861451784,318.67319861451784,11.41764519438466,1.223452208891834,0.2003475202098365,0.2059469352049752,8.14192617407137,17.851420072770622,0.244461458429003,0.1563558632683595,0.1233244451281774,Energy,7
solar/10T/short,VisionTSpp,30.4804140956427,30.4804140956427,2.5805688429150835,1.1320392965490362,6.954646264166636,1.5492370287129302,4.170015799163622,5.520906999365476,1.6060312482383217,0.7506871969457486,0.5257958747011524,Energy,1
solar/10T/medium,VisionTSpp,23.99885477195316,23.99885477195316,1.9717549171958688,0.8623315803097408,4.184089750171745,1.4535020946585175,4.159694672548301,4.898862599823878,1.087077065935694,0.437540246629212,0.3251834353991367,Energy,1
solar/10T/long,VisionTSpp,22.886186289541573,22.886186289541573,1.9346326902328188,0.8460592111087464,3.888419641886963,1.452097987500614,4.275420110485688,4.7839509079359885,1.0339744561495792,0.4181399061629839,0.3165095521001027,Energy,1
electricity/D/short,VisionTSpp,1464122163.8248663,1464122163.8248663,4522.437032313,1.468678303141591,0.4452819238068626,0.1040781391414385,12.227536522319353,38263.84930747122,0.6288021485157793,0.0743186630177975,0.0586545347782773,Energy,1
kdd_cup_2018/D/short,VisionTSpp,2906.4661068675346,2906.4661068675346,21.141198782175103,1.2028288640498104,0.5146596669620258,0.466324466461591,9.27002189096696,53.91165093806286,1.2076782451496264,0.4735853085810554,0.3762466503672002,Nature,1
