dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
m_dense/H/short,VisionTSpp_large,48004.160634489854,48004.160634489854,95.51139662677804,0.8412021221638601,0.3052520522372388,0.2265695450235608,8.291373977192707,219.09851810199413,0.3886261752615731,0.1694134177013315,0.1390298611630013,Transport,1
m_dense/H/medium,VisionTSpp_large,38582.861152946,38582.861152946,85.42077437246236,0.736882878854362,0.2712562101279305,0.2052611093133286,7.613889700380792,196.42520498384616,0.3417550409839789,0.1486213556398981,0.1228672370897254,Transport,1
m_dense/H/long,VisionTSpp_large,38585.86602553581,38585.86602553581,87.91066060617624,0.7559747243638772,0.2790508183027014,0.2100268992984705,7.060898064794852,196.4328537326071,0.3400543078671409,0.1521863490680125,0.1247057882700845,Transport,1
bitbrains_rnd/5T/short,VisionTSpp_large,1865578.1305999267,1865578.1305999267,137.65306537549537,1.849617378755768,1.051438314620773,0.7169575229851686,55.7228360941946,1365.8616806250648,5.588711672537604,0.5632366030450122,0.4726499343187008,Web/CloudOps,2
bitbrains_rnd/5T/medium,VisionTSpp_large,2295931.5087486263,2295931.5087486263,150.9672285146366,4.506394717685517,0.5825695253005256,0.7532978435096778,161.24145577627758,1515.2331532634264,6.375358363599228,0.6351960956419602,0.6382298796713822,Web/CloudOps,2
bitbrains_rnd/5T/long,VisionTSpp_large,2447520.908840927,2447520.908840927,177.60960129210125,3.423445152588271,1.595282784101926,0.7249920995001239,116.74234845529126,1564.4554671964704,5.993076427540953,0.6803823676209277,0.6399433261504845,Web/CloudOps,2
us_births/D/short,VisionTSpp_large,253880.71662877168,253880.71662877168,345.7970046313073,0.5088888533236017,0.0327812338213796,0.032461904523189,4.240429887650163,503.8657724322736,0.0472333275306112,0.032415663203339,0.0259198110074911,Healthcare,1
ett2/H/short,VisionTSpp_large,117.0651970259981,117.0651970259981,6.882236377093533,0.790580161737349,0.1282557568158001,0.1175043441872074,5.385658012874925,10.819667140258897,0.137223484016549,0.0872859064190775,0.0688672342317412,Energy,7
ett2/H/medium,VisionTSpp_large,246.45204326217143,246.45204326217143,9.743193638450183,1.0529351804034066,0.1748906988086132,0.1750173708289187,7.403171392931583,15.6987911401538,0.211551292871356,0.1312957916637341,0.1059725702593911,Energy,7
ett2/H/long,VisionTSpp_large,261.7992514422447,261.7992514422447,10.18539964632849,1.1056584055173642,0.1873453358393593,0.1877881926863835,8.125953233070073,16.180211724271246,0.2215755463532432,0.1394812088939468,0.1113254856558386,Energy,7
bitbrains_fast_storage/5T/short,VisionTSpp_large,1942277.0458974687,1942277.0458974687,203.708552601884,0.84508216484742,2.653126369617693,0.7886940445955343,15.954840281558976,1393.655999842669,4.375735129010206,0.6395944693672723,0.5038875244469103,Web/CloudOps,2
